### task_name: approx
### 3 5
### input_signal_factor [4.02319e-312, 4.42551e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,100,0.0000,5.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TD_MG,0,100,0.1000,6.0000,0.8600,0.2400,1.0000,0.61128885,0.63724951,0.64967080,0.80602159
TD_MG,0,100,0.2000,6.2000,0.8200,0.2200,0.0000,0.60373191,0.63964481,0.65360669,0.80845945
TD_MG,0,100,0.3000,5.4000,0.9400,0.2200,2.0000,0.60367454,0.64025042,0.65744423,0.81082935
TD_MG,0,100,0.4000,6.6000,0.7800,0.3800,0.0000,0.60021422,0.64488611,0.66332244,0.81444609
TD_MG,0,100,0.5000,5.0000,1.0200,0.3200,0.0000,0.60182417,0.64615752,0.66296338,0.81422563
TD_MG,0,100,0.6000,6.6000,0.7800,0.3000,0.0000,0.60046542,0.64944373,0.66766457,0.81710744
TD_MG,0,100,0.7000,6.2000,0.8200,0.2200,0.0000,0.60498286,0.65541295,0.66806580,0.81735292
TD_MG,0,100,0.8000,5.0000,1.0200,0.2400,0.0000,0.62069277,0.66542182,0.67558883,0.82194211
TD_MG,0,100,0.9000,6.4000,0.8200,0.2600,4.0000,0.66812932,0.71039847,0.70722093,0.84096429
TD_MG,0,100,1.0000,5.8000,0.7800,0.3000,3.0000,0.84883250,0.89718638,0.89570691,0.94641794
TD_MG,1,100,0.0000,5.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TD_MG,1,100,0.1000,6.2000,0.8200,0.2200,2.0000,0.61491882,0.63542676,0.65104345,0.80687264
TD_MG,1,100,0.2000,5.2000,0.9800,0.3000,1.0000,0.60631070,0.64017010,0.65556202,0.80966785
TD_MG,1,100,0.3000,5.0000,1.0200,0.3800,0.0000,0.60019869,0.64445251,0.66231465,0.81382716
TD_MG,1,100,0.4000,6.2000,0.8200,0.2600,0.0000,0.60248236,0.64331089,0.66642705,0.81634983
TD_MG,1,100,0.5000,6.8000,0.7400,0.3400,0.0000,0.60305263,0.64695749,0.67049492,0.81883754
