### task_name: henon
### 7 0
### input_signal_factor [3.20422e-312, 3.52464e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,100,0.0000,3.0000,0.5000,0.2200,0.0000,0.99995149,1.00008956,1.00032319,1.00016158
TD_MG,0,100,0.1000,4.4000,1.4000,0.3200,4.0000,0.87770199,0.90388321,0.86292299,0.92893648
TD_MG,0,100,0.2000,4.2000,1.3000,0.2800,2.0000,0.81534339,0.87122216,0.81512042,0.90284020
TD_MG,0,100,0.3000,3.6000,1.2000,0.2800,1.0000,0.75141402,0.83868604,0.76673653,0.87563493
TD_MG,0,100,0.4000,4.2000,1.2000,0.3800,3.0000,0.72880607,0.81283399,0.74167278,0.86120426
TD_MG,0,100,0.5000,4.2000,1.1000,0.3600,1.0000,0.70860428,0.79903358,0.73081948,0.85487980
TD_MG,0,100,0.6000,3.6000,1.3000,0.3800,3.0000,0.69391159,0.78347010,0.71913937,0.84802086
TD_MG,0,100,0.7000,4.2000,1.2000,0.4000,0.0000,0.69432187,0.77037408,0.70369011,0.83886239
TD_MG,0,100,0.8000,3.8000,1.3000,0.3400,0.0000,0.66859932,0.74700297,0.70122617,0.83739249
TD_MG,0,100,0.9000,4.2000,1.1000,0.3800,0.0000,0.64032912,0.71937181,0.67454977,0.82130979
TD_MG,0,100,1.0000,3.6000,1.1000,0.3400,0.0000,0.58480427,0.69062154,0.64316104,0.80197322
TD_MG,1,100,0.0000,3.0000,0.5000,0.2200,0.0000,0.99995149,1.00008956,1.00032319,1.00016158
TD_MG,1,100,0.1000,4.4000,1.3000,0.3600,1.0000,0.86414837,0.90728339,0.87756913,0.93678660
TD_MG,1,100,0.2000,5.0000,1.2000,0.2600,0.0000,0.81440977,0.86893456,0.83629076,0.91448934
TD_MG,1,100,0.3000,3.6000,1.2000,0.3800,1.0000,0.74143669,0.83460162,0.76409877,0.87412743
TD_MG,1,100,0.4000,3.8000,1.2000,0.3200,1.0000,0.71320860,0.80452354,0.74360496,0.86232532
TD_MG,1,100,0.5000,3.4000,1.4000,0.2600,0.0000,0.71230818,0.80124971,0.73621959,0.85803239
TD_MG,1,100,0.6000,3.2000,1.4000,0.3800,3.0000,0.69331366,0.77735214,0.71812480,0.84742245
TD_MG,1,100,0.7000,4.8000,0.9000,0.3200,1.0000,0.67934575,0.77172487,0.70641686,0.84048608
TD_MG,1,100,0.8000,5.0000,0.9000,0.4000,0.0000,0.65981273,0.74820931,0.69204963,0.83189520
TD_MG,1,100,0.9000,3.2000,1.4000,0.3400,0.0000,0.61632692,0.70764093,0.66816001,0.81741055
TD_MG,1,100,1.0000,4.0000,1.1000,0.3800,0.0000,0.60561387,0.68223038,0.63829504,0.79893369
TD_MG,2,100,0.0000,3.0000,0.5000,0.2200,0.0000,0.99995149,1.00008956,1.00032319,1.00016158
TD_MG,2,100,0.1000,4.8000,1.2000,0.3800,0.0000,0.84657822,0.90539977,0.85282386,0.92348463
TD_MG,2,100,0.2000,5.0000,1.0000,0.2400,3.0000,0.79963582,0.86550282,0.79300106,0.89050607
TD_MG,2,100,0.3000,4.0000,1.1000,0.3600,2.0000,0.75155433,0.82968890,0.77118967,0.87817405
TD_MG,2,100,0.4000,4.2000,1.1000,0.3400,1.0000,0.70593457,0.80269874,0.72665043,0.85243793
TD_MG,2,100,0.5000,3.8000,1.3000,0.2400,0.0000,0.69760775,0.78922869,0.71420697,0.84510767
TD_MG,2,100,0.6000,4.0000,1.2000,0.3600,3.0000,0.68214597,0.77528319,0.69838241,0.83569277
TD_MG,2,100,0.7000,4.0000,1.4000,0.3800,2.0000,0.68366673,0.75911900,0.68291000,0.82638369
TD_MG,2,100,0.8000,3.8000,1.1000,0.2200,0.0000,0.66542918,0.74445676,0.69364668,0.83285453
TD_MG,2,100,0.9000,3.2000,1.2000,0.3800,0.0000,0.61846868,0.70717224,0.64249194,0.80155595
TD_MG,2,100,1.0000,5.0000,0.9000,0.2800,0.0000,0.60550502,0.67996999,0.63590058,0.79743375
TD_ikeda,0,100,0.0000,14.0000,0.5000,0.2200,0.0000,0.99995149,1.00008956,1.00032319,1.00016158
TD_ikeda,0,100,0.1000,16.0000,1.4000,0.2600,4.0000,0.77704826,0.82900762,0.82656707,0.90915734
TD_ikeda,0,100,0.2000,14.5000,0.8000,0.3600,0.0000,0.68917002,0.77364108,0.74688534,0.86422528
TD_ikeda,0,100,0.3000,14.0000,1.4000,0.3200,0.0000,0.68424660,0.71681081,0.70823938,0.84156959
TD_ikeda,0,100,0.4000,16.5000,0.7000,0.3400,0.0000,0.58963981,0.67341092,0.60516028,0.77792049
TD_ikeda,0,100,0.5000,16.5000,0.7000,0.3800,0.0000,0.57612355,0.66009422,0.60237866,0.77613057
TD_ikeda,0,100,0.6000,16.5000,0.7000,0.3800,0.0000,0.57218928,0.64512804,0.61460968,0.78397046
TD_ikeda,0,100,0.7000,16.5000,0.7000,0.3000,2.0000,0.54647886,0.63105510,0.57665558,0.75937841
TD_ikeda,0,100,0.8000,17.0000,1.0000,0.3600,4.0000,0.50775210,0.61000699,0.55375888,0.74414977
TD_ikeda,0,100,0.9000,14.0000,1.2000,0.2800,3.0000,0.48341740,0.59138154,0.54663560,0.73934809
TD_ikeda,0,100,1.0000,15.0000,1.1000,0.3400,4.0000,0.49663262,0.59372640,0.53037056,0.72826545
TD_ikeda,1,100,0.0000,14.0000,0.5000,0.2200,0.0000,0.99995149,1.00008956,1.00032319,1.00016158
TD_ikeda,1,100,0.1000,17.0000,1.3000,0.3400,2.0000,0.80071686,0.83971954,0.82162492,0.90643528
TD_ikeda,1,100,0.2000,16.0000,0.7000,0.2400,3.0000,0.70502585,0.76876298,0.71893305,0.84789920
TD_ikeda,1,100,0.3000,16.0000,0.7000,0.4000,0.0000,0.63646198,0.72521233,0.67365414,0.82076437
TD_ikeda,1,100,0.4000,16.0000,0.7000,0.2600,2.0000,0.59553001,0.68240385,0.63106108,0.79439353
TD_ikeda,1,100,0.5000,19.0000,0.6000,0.3200,2.0000,0.56811456,0.65482516,0.61212425,0.78238370
TD_ikeda,1,100,0.6000,19.0000,0.6000,0.2800,2.0000,0.54913002,0.64129976,0.59011858,0.76819176
TD_ikeda,1,100,0.7000,16.5000,1.2000,0.2200,2.0000,0.59217163,0.62258851,0.62472423,0.79039499
TD_ikeda,1,100,0.8000,18.0000,1.1000,0.2400,3.0000,0.60127523,0.62749201,0.60623389,0.77861023
TD_ikeda,1,100,0.9000,16.5000,0.7000,0.3200,0.0000,0.49668564,0.60420988,0.54857092,0.74065574
TD_ikeda,1,100,1.0000,14.0000,1.2000,0.2800,4.0000,0.49783096,0.58361471,0.50827630,0.71293499
TD_ikeda,2,100,0.0000,14.0000,0.5000,0.2200,0.0000,0.99995149,1.00008956,1.00032319,1.00016158
TD_ikeda,2,100,0.1000,19.0000,0.7000,0.3200,4.0000,0.75608392,0.82264404,0.78435687,0.88563924
TD_ikeda,2,100,0.2000,18.5000,1.2000,0.3600,3.0000,0.69109019,0.74761962,0.72238674,0.84993337
TD_ikeda,2,100,0.3000,16.5000,0.7000,0.2800,1.0000,0.63132989,0.71379948,0.66436686,0.81508702
TD_ikeda,2,100,0.4000,14.0000,0.8000,0.2800,0.0000,0.57304841,0.66170124,0.60559417,0.77819931
TD_ikeda,2,100,0.5000,14.5000,0.8000,0.4000,0.0000,0.57556037,0.65348539,0.61394922,0.78354912
TD_ikeda,2,100,0.6000,16.5000,1.2000,0.3400,0.0000,0.63117661,0.64375487,0.64828678,0.80516258
TD_ikeda,2,100,0.7000,14.0000,0.8000,0.4000,5.0000,0.55264694,0.63322379,0.57986361,0.76148776
TD_ikeda,2,100,0.8000,17.0000,1.0000,0.2800,4.0000,0.50300768,0.61383952,0.53035999,0.72825819
TD_ikeda,2,100,0.9000,19.0000,0.6000,0.4000,2.0000,0.53840515,0.61135004,0.55561497,0.74539585
TD_ikeda,2,100,1.0000,18.5000,0.9000,0.3600,0.0000,0.51687038,0.59426898,0.53386265,0.73065905
