### task_name: laser
### 3 0
### input_signal_factor [4.22497e-312, 4.64746e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,20,0.0000,0.2000,0.7300,0.3200,1.0000,0.99943570,0.99938410,0.99930647,0.99965318
TD_MG,0,20,0.1000,1.0000,0.9400,0.5000,0.0000,0.14661924,0.13208598,0.18118280,0.42565573
TD_MG,0,20,0.2000,0.8000,0.8200,0.4000,0.0000,0.10643350,0.08137155,0.14397628,0.37944207
TD_MG,0,20,0.3000,0.7000,0.8800,0.3600,1.0000,0.09980504,0.07656315,0.15062690,0.38810682
TD_MG,0,20,0.4000,0.8000,0.8200,0.3800,3.0000,0.09097444,0.06839147,0.12328002,0.35111254
TD_MG,0,20,0.5000,0.7000,0.7300,0.4400,0.0000,0.09123873,0.07108312,0.12105006,0.34792249
TD_MG,0,20,0.6000,0.6000,0.9400,0.4200,0.0000,0.09330664,0.07354272,0.15037745,0.38778531
TD_MG,0,20,0.7000,1.0000,1.0000,0.3400,0.0000,0.09928856,0.07327363,0.13061566,0.36140788
TD_MG,0,20,0.8000,0.8000,0.8800,0.4800,0.0000,0.08518824,0.06350748,0.12929719,0.35957919
TD_MG,0,20,0.9000,0.6000,0.8800,0.4800,0.0000,0.09691555,0.07227558,0.11902748,0.34500360
TD_MG,0,20,1.0000,0.8000,0.8200,0.4800,0.0000,0.10038474,0.07760178,0.15231756,0.39027882
TD_MG,1,20,0.0000,0.2000,0.7300,0.3200,1.0000,0.99943570,0.99938410,0.99930647,0.99965318
TD_MG,1,20,0.1000,0.9000,0.7600,0.4600,0.0000,0.18912555,0.17060771,0.22597165,0.47536475
TD_MG,1,20,0.2000,1.2000,0.9400,0.4000,1.0000,0.11800101,0.08197521,0.14888839,0.38586058
TD_MG,1,20,0.3000,1.2000,0.9400,0.4200,0.0000,0.10354480,0.07522474,0.14386372,0.37929371
TD_MG,1,20,0.4000,0.7000,0.9700,0.3600,2.0000,0.09463127,0.07609947,0.13330472,0.36510918
TD_MG,1,20,0.5000,1.0000,1.0000,0.4400,1.0000,0.09124013,0.06926626,0.11343091,0.33679506
TD_MG,1,20,0.6000,0.7000,0.9100,0.4000,0.0000,0.09733606,0.06740004,0.12192369,0.34917573
TD_MG,1,20,0.7000,0.9000,0.7300,0.4200,1.0000,0.08605101,0.06693455,0.10561954,0.32499160
TD_MG,1,20,0.8000,0.6000,0.8500,0.4800,1.0000,0.09493999,0.07865372,0.13323694,0.36501636
TD_MG,1,20,0.9000,0.7000,0.8500,0.4800,0.0000,0.08423087,0.06468766,0.12461083,0.35300260
TD_MG,1,20,1.0000,0.6000,0.9700,0.4400,1.0000,0.10007629,0.06796023,0.17554724,0.41898358
TD_MG,2,20,0.0000,0.2000,0.7300,0.3200,1.0000,0.99943570,0.99938410,0.99930647,0.99965318
TD_MG,2,20,0.1000,1.0000,0.9700,0.5000,0.0000,0.14447786,0.12322360,0.18306191,0.42785734
TD_MG,2,20,0.2000,1.2000,0.9700,0.4200,0.0000,0.12674112,0.09450224,0.14437961,0.37997318
TD_MG,2,20,0.3000,0.7000,0.9700,0.3600,0.0000,0.10517735,0.07741144,0.13488889,0.36727223
TD_MG,2,20,0.4000,0.7000,0.8500,0.4800,0.0000,0.09994285,0.07808954,0.12749230,0.35706064
TD_MG,2,20,0.5000,0.9000,0.7300,0.4200,0.0000,0.09159506,0.07257910,0.14548100,0.38141972
TD_MG,2,20,0.6000,0.7000,0.7900,0.4800,0.0000,0.08602014,0.07295783,0.16141598,0.40176607
