### task_name: narma
### 20 0
### input_signal_factor [0, 0.5]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,50,0.0000,0.0000,0.1500,0.7400,9.0000,0.99799981,1.02235300,1.00027943,1.00013970
TD_MG,0,50,0.1000,0.4000,0.3000,0.7400,0.0000,0.30218631,0.29244313,0.30589540,0.55307812
TD_MG,0,50,0.2000,0.2000,0.5000,0.8000,0.0000,0.29347079,0.28109420,0.29465668,0.54282288
TD_MG,0,50,0.3000,0.3000,0.5000,0.7400,0.0000,0.29190986,0.27686971,0.29293672,0.54123628
TD_MG,0,50,0.4000,0.2000,0.3500,0.8200,0.0000,0.29246809,0.27722871,0.29467044,0.54283556
TD_MG,0,50,0.5000,0.2500,0.5000,0.8800,0.0000,0.28966993,0.27585540,0.29446857,0.54264958
TD_MG,0,50,0.6000,0.2500,0.2500,0.8800,0.0000,0.29416303,0.28011538,0.29674869,0.54474645
TD_MG,0,50,0.7000,0.2000,0.5500,0.9200,0.0000,0.28893838,0.27729667,0.29212121,0.54048239
TD_MG,0,50,0.8000,0.3000,0.3000,0.9200,0.0000,0.29328868,0.28016661,0.29519929,0.54332245
TD_MG,0,50,0.9000,0.2000,0.5000,0.9200,0.0000,0.29590387,0.28778562,0.30398867,0.55135167
TD_MG,0,50,1.0000,0.5000,0.2000,0.9200,0.0000,0.29697551,0.28811874,0.29659814,0.54460825
TD_MG,1,50,0.0000,0.0000,0.1500,0.7400,9.0000,0.99799981,1.02235300,1.00027943,1.00013970
TD_MG,1,50,0.1000,0.5000,0.3500,0.7400,0.0000,0.29573372,0.27766219,0.29184396,0.54022584
TD_MG,1,50,0.2000,0.3000,0.4500,0.7800,0.0000,0.28709434,0.27770024,0.29460536,0.54277561
TD_MG,1,50,0.3000,0.3500,0.2500,0.8200,0.0000,0.28562829,0.27630711,0.29622644,0.54426688
TD_MG,1,50,0.4000,0.4500,0.5000,0.8400,0.0000,0.28826669,0.27896218,0.29578415,0.54386041
