### task_name: approx
### 3 5
### input_signal_factor [1, 51]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,100,0.0000,41.0000,0.0000,0.1000,0.0000,0.97499717,0.97416084,0.98483808
RND_sinc,0,100,0.1000,51.0000,16.0000,0.1000,3.0000,0.00807176,0.00836221,0.00828367
RND_sinc,0,100,0.2000,36.0000,20.0000,0.1400,1.0000,0.00996569,0.01167128,0.01124097
RND_sinc,0,100,0.3000,41.0000,20.0000,0.1200,0.0000,0.06258092,0.06757471,0.06630532
RND_sinc,0,100,0.4000,36.0000,20.0000,0.1400,4.0000,0.57526572,0.62404809,0.60645552
RND_sinc,0,100,0.5000,1.0000,12.0000,0.1400,2.0000,0.89507772,0.94185865,0.95500479
RND_sinc,0,100,0.6000,1.0000,20.0000,0.2000,3.0000,0.88825474,0.94078829,0.95308581
RND_sinc,0,100,0.7000,1.0000,20.0000,0.1800,2.0000,0.89579741,0.94274526,0.95817720
RND_sinc,0,100,0.8000,1.0000,4.0000,0.1200,1.0000,0.88844378,0.94796339,0.96604443
RND_sinc,0,100,0.9000,1.0000,4.0000,0.1200,1.0000,0.89109184,0.95105104,0.96324916
RND_sinc,0,100,1.0000,1.0000,4.0000,0.1000,0.0000,0.90138203,0.96027511,0.97377344
RND_sinc,1,100,0.0000,36.0000,12.0000,0.1000,2.0000,0.97681796,0.97415037,0.98605983
RND_sinc,1,100,0.1000,41.0000,20.0000,0.1200,3.0000,0.00892124,0.00959111,0.00892312
RND_sinc,1,100,0.2000,41.0000,20.0000,0.1200,2.0000,0.01163173,0.01164389,0.01140994
RND_sinc,1,100,0.3000,51.0000,20.0000,0.1000,2.0000,0.06105116,0.06807811,0.06236633
RND_sinc,1,100,0.4000,41.0000,20.0000,0.1400,2.0000,0.42315817,0.47230567,0.44056813
RND_sinc,1,100,0.5000,26.0000,20.0000,0.2200,4.0000,0.77737256,0.82447780,0.82823082
RND_sinc,1,100,0.6000,1.0000,16.0000,0.1600,2.0000,0.89447509,0.94292758,0.95763021
RND_sinc,1,100,0.7000,1.0000,20.0000,0.1800,2.0000,0.89586827,0.94409806,0.95719692
RND_sinc,1,100,0.8000,1.0000,4.0000,0.1200,1.0000,0.88688841,0.95245192,0.96674647
RND_sinc,1,100,0.9000,1.0000,4.0000,0.1000,0.0000,0.88959952,0.94813882,0.96566018
RND_sinc,1,100,1.0000,1.0000,8.0000,0.1600,0.0000,0.89384990,0.95925352,0.97123328
RND_sinc,2,100,0.0000,31.0000,16.0000,0.0800,0.0000,0.97430037,0.97427029,0.98341841
RND_sinc,2,100,0.1000,51.0000,16.0000,0.1000,3.0000,0.02010445,0.02183314,0.02000610
RND_sinc,2,100,0.2000,41.0000,20.0000,0.1200,2.0000,0.00755850,0.00817763,0.00809691
RND_sinc,2,100,0.3000,51.0000,20.0000,0.1000,0.0000,0.09029777,0.10045362,0.09828344
RND_sinc,2,100,0.4000,36.0000,20.0000,0.1400,2.0000,0.45741205,0.53806195,0.49169847
RND_sinc,2,100,0.5000,31.0000,20.0000,0.1600,0.0000,0.81285912,0.89487449,0.86907875
RND_sinc,2,100,0.6000,1.0000,16.0000,0.2200,4.0000,0.90002867,0.94150633,0.95594453
RND_sinc,2,100,0.7000,1.0000,16.0000,0.2200,4.0000,0.89789413,0.94343922,0.95472578
RND_sinc,2,100,0.8000,1.0000,20.0000,0.2000,1.0000,0.89425751,0.94624382,0.96484114
RND_sinc,2,100,0.9000,1.0000,8.0000,0.1600,0.0000,0.87844922,0.95298933,0.96216900
RND_sinc,2,100,1.0000,1.0000,4.0000,0.1200,0.0000,0.89320837,0.96303304,0.97538279
