### task_name: henon
### 5 0
### input_signal_factor [2, 102]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,50,0.0000,32.0000,30.0000,0.1200,1.0000,0.93156293,0.94081568,0.92596767
RND_sinc,0,50,0.1000,72.0000,40.0000,0.0800,4.0000,0.60780794,0.60100759,0.62120579
RND_sinc,0,50,0.2000,72.0000,10.0000,0.1200,6.0000,0.33100707,0.34160724,0.35026203
RND_sinc,0,50,0.3000,32.0000,10.0000,0.2400,5.0000,0.29803703,0.33726566,0.31815786
RND_sinc,0,50,0.4000,92.0000,30.0000,0.0800,0.0000,0.26506323,0.28270843,0.29483202
RND_sinc,0,50,0.5000,102.0000,30.0000,0.0800,4.0000,0.21009164,0.24456288,0.23291768
RND_sinc,0,50,0.6000,72.0000,10.0000,0.1200,9.0000,0.18372550,0.20556326,0.20133571
RND_sinc,0,50,0.7000,102.0000,10.0000,0.0800,9.0000,0.19680054,0.20902933,0.20586209
RND_sinc,0,50,0.8000,32.0000,40.0000,0.2400,6.0000,0.15057912,0.17254538,0.16201841
RND_sinc,0,50,0.9000,32.0000,10.0000,0.2400,8.0000,0.12382355,0.13401053,0.12441578
RND_sinc,0,50,1.0000,22.0000,40.0000,0.2400,0.0000,0.17911277,0.19434205,0.19727119
RND_sinc,1,50,0.0000,72.0000,10.0000,0.0800,1.0000,0.93223043,0.94084905,0.92653334
RND_sinc,1,50,0.1000,32.0000,50.0000,0.1600,4.0000,0.50589007,0.50347572,0.50327359
RND_sinc,1,50,0.2000,72.0000,40.0000,0.1200,2.0000,0.37322449,0.38334995,0.39585229
RND_sinc,1,50,0.3000,22.0000,50.0000,0.2400,3.0000,0.34184597,0.35665942,0.33757864
RND_sinc,1,50,0.4000,32.0000,50.0000,0.2400,3.0000,0.26653778,0.29072540,0.30281352
RND_sinc,1,50,0.5000,22.0000,30.0000,0.3200,0.0000,0.22400070,0.24990534,0.24282706
RND_sinc,1,50,0.6000,102.0000,20.0000,0.1200,6.0000,0.17582935,0.19504823,0.18633555
RND_sinc,1,50,0.7000,102.0000,30.0000,0.0800,0.0000,0.18152454,0.19827606,0.19310648
RND_sinc,1,50,0.8000,22.0000,20.0000,0.3200,7.0000,0.17513574,0.18502522,0.19644789
RND_sinc,1,50,0.9000,12.0000,50.0000,0.4400,0.0000,0.13514996,0.13153783,0.14481553
RND_sinc,1,50,1.0000,22.0000,10.0000,0.2800,8.0000,0.16567019,0.17974112,0.16916277
RND_sinc,2,50,0.0000,12.0000,50.0000,0.1200,1.0000,0.92878740,0.94173612,0.93094535
RND_sinc,2,50,0.1000,72.0000,20.0000,0.0800,2.0000,0.54763804,0.60085049,0.56683778
RND_sinc,2,50,0.2000,62.0000,40.0000,0.1600,0.0000,0.44103284,0.44883604,0.46211422
RND_sinc,2,50,0.3000,42.0000,30.0000,0.2000,0.0000,0.36707867,0.37748816,0.38113752
RND_sinc,2,50,0.4000,62.0000,10.0000,0.1200,5.0000,0.22733531,0.24792302,0.23853460
RND_sinc,2,50,0.5000,32.0000,30.0000,0.1600,0.0000,0.20018216,0.21836691,0.20634010
RND_sinc,2,50,0.6000,52.0000,20.0000,0.1600,7.0000,0.19075658,0.21136362,0.19852252
RND_sinc,2,50,0.7000,32.0000,30.0000,0.2400,0.0000,0.14519842,0.16451702,0.16022718
RND_sinc,2,50,0.8000,32.0000,30.0000,0.2000,0.0000,0.15768579,0.16573791,0.16656794
RND_sinc,2,50,0.9000,22.0000,50.0000,0.2400,4.0000,0.12578482,0.13152328,0.12724490
RND_sinc,2,50,1.0000,22.0000,20.0000,0.2400,0.0000,0.19457973,0.20378472,0.19089098
