### task_name: approx
### 3 5
### input_signal_factor [2.02764e-312, 2.23041e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,50,0.0000,5.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TDE_MG,0,50,0.1000,6.2000,0.8200,0.3000,0.0000,0.61604351,0.63950688,0.65186865,0.80738383
TDE_MG,0,50,0.2000,5.4000,0.9400,0.2200,1.0000,0.61280708,0.63875548,0.65162588,0.80723347
TDE_MG,0,50,0.3000,6.0000,0.8600,0.3800,0.0000,0.61229821,0.64056567,0.65912394,0.81186448
TDE_MG,0,50,0.4000,6.0000,0.8600,0.2400,0.0000,0.61583314,0.64515051,0.65880151,0.81166588
TDE_MG,0,50,0.5000,5.2000,1.0200,0.2800,0.0000,0.61965272,0.65220040,0.65988761,0.81233467
TDE_MG,0,50,0.6000,6.6000,0.7800,0.2200,0.0000,0.63197169,0.65668170,0.66906520,0.81796406
TDE_MG,0,50,0.7000,6.2000,0.7800,0.3400,2.0000,0.65542673,0.68773519,0.69299783,0.83246491
TDE_MG,0,50,0.8000,5.2000,1.0600,0.3200,3.0000,0.66687752,0.70444283,0.70919240,0.84213562
TDE_MG,0,50,0.9000,5.4000,0.9400,0.2400,5.0000,0.81462347,0.83227043,0.83012755,0.91111336
TDE_MG,0,50,1.0000,5.4000,0.7400,0.2200,2.0000,0.90868711,0.92997649,0.94282231,0.97099037
TDE_MG,1,50,0.0000,5.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TDE_MG,1,50,0.1000,5.6000,0.9000,0.2600,0.0000,0.62211781,0.64271685,0.65211120,0.80753403
TDE_MG,1,50,0.2000,5.4000,0.9400,0.3400,0.0000,0.61267751,0.63914251,0.65131810,0.80704281
TDE_MG,1,50,0.3000,6.6000,0.7800,0.2400,0.0000,0.61077446,0.63987526,0.65342718,0.80834843
TDE_MG,1,50,0.4000,5.6000,0.9400,0.2800,0.0000,0.62241426,0.64538423,0.66950953,0.81823562
TDE_MG,1,50,0.5000,5.2000,0.9800,0.2200,0.0000,0.62407384,0.66488814,0.66902172,0.81793748
