### task_name: henon
### 5 0
### input_signal_factor [2.10531e-312, 2.31584e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,20,0.0000,0.0000,0.7500,0.2200,0.0000,0.99995128,1.00009147,1.00029835,1.00014916
TDE_MG,0,20,0.1000,0.4000,1.0000,0.4000,0.0000,0.89770076,0.91422503,0.91265465,0.95532960
TDE_MG,0,20,0.2000,1.6000,1.1000,0.4000,1.0000,0.77538507,0.80098052,0.78609155,0.88661804
TDE_MG,0,20,0.3000,1.6000,1.2000,0.3600,1.0000,0.74830658,0.76822974,0.75901667,0.87121563
TDE_MG,0,20,0.4000,1.4000,1.2000,0.3600,0.0000,0.74939722,0.78147447,0.76954151,0.87723515
TDE_MG,0,20,0.5000,1.6000,1.2000,0.3400,0.0000,0.73546145,0.75602744,0.73744263,0.85874480
TDE_MG,0,20,0.6000,2.0000,1.0000,0.2600,3.0000,0.72692584,0.76875445,0.75816051,0.87072413
TDE_MG,0,20,0.7000,2.0000,1.1500,0.3800,0.0000,0.71322181,0.73425685,0.69830961,0.83564922
TDE_MG,0,20,0.8000,2.0000,1.0000,0.2600,2.0000,0.71418393,0.74679619,0.72723071,0.85277823
TDE_MG,0,20,0.9000,2.0000,0.9500,0.2400,0.0000,0.69226475,0.71393413,0.69236009,0.83208178
TDE_MG,0,20,1.0000,2.0000,1.0000,0.2200,0.0000,0.72891684,0.73905291,0.74354249,0.86228910
TDE_MG,1,20,0.0000,0.0000,0.7500,0.2200,0.0000,0.99995128,1.00009147,1.00029835,1.00014916
TDE_MG,1,20,0.1000,1.0000,0.9000,0.3600,0.0000,0.89327005,0.90963929,0.90809572,0.95294057
TDE_MG,1,20,0.2000,2.0000,1.1500,0.3800,0.0000,0.76998495,0.79502143,0.77069467,0.87789217
TDE_MG,1,20,0.3000,2.0000,0.9500,0.3400,0.0000,0.77326768,0.79286325,0.79457331,0.89138842
TDE_MG,1,20,0.4000,1.8000,1.1500,0.2400,0.0000,0.73876294,0.76181476,0.74125966,0.86096438
TDE_MG,1,20,0.5000,1.8000,1.1000,0.2400,0.0000,0.74566820,0.77761796,0.76407155,0.87411186
TDE_MG,1,20,0.6000,2.0000,0.9000,0.3600,0.0000,0.75841793,0.78851773,0.76135156,0.87255462
TDE_MG,1,20,0.7000,2.0000,1.0000,0.2800,0.0000,0.69547750,0.74132267,0.69948219,0.83635052
TDE_MG,1,20,0.8000,1.6000,0.9500,0.4000,3.0000,0.72621578,0.74425085,0.72797767,0.85321607
TDE_MG,1,20,0.9000,1.8000,1.1500,0.2800,0.0000,0.70308064,0.72718462,0.69308684,0.83251837
TDE_MG,1,20,1.0000,2.0000,0.9500,0.3800,1.0000,0.69901937,0.70697578,0.67776812,0.82326674
TDE_MG,2,20,0.0000,0.0000,0.7500,0.2200,0.0000,0.99995128,1.00009147,1.00029835,1.00014916
TDE_MG,2,20,0.1000,0.4000,0.8500,0.2800,0.0000,0.89537119,0.91492337,0.91504725,0.95658102
TDE_MG,2,20,0.2000,1.8000,1.1500,0.3600,0.0000,0.77049495,0.78402658,0.79120062,0.88949459
TDE_MG,2,20,0.3000,2.0000,1.1000,0.2400,0.0000,0.76528706,0.78331001,0.77705047,0.88150466
