### task_name: laser
### 1 0
### input_signal_factor [2.18002e-312, 2.39802e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,50,0.0000,0.2000,0.7400,0.2200,2.0000,0.99943699,0.99938384,0.99932960,0.99966475
TDE_MG,0,50,0.1000,1.2000,0.9400,0.3600,0.0000,0.00933217,0.00840506,0.01836394,0.13551362
TDE_MG,0,50,0.2000,0.6000,0.8600,0.3800,0.0000,0.00687125,0.00536348,0.01215900,0.11026786
TDE_MG,0,50,0.3000,0.6000,0.9000,0.3200,0.0000,0.00509017,0.00434759,0.01227081,0.11077367
TDE_MG,0,50,0.4000,0.6000,0.8200,0.3800,0.0000,0.00560384,0.00444917,0.01390211,0.11790719
TDE_MG,0,50,0.5000,0.5000,0.9400,0.3400,0.0000,0.00506617,0.00400335,0.01240485,0.11137706
TDE_MG,0,50,0.6000,0.7000,0.8600,0.3800,0.0000,0.00475142,0.00429825,0.01254557,0.11200700
TDE_MG,0,50,0.7000,0.7000,0.8200,0.4000,0.0000,0.00519926,0.00475594,0.01383305,0.11761399
TDE_MG,0,50,0.8000,0.6000,0.9800,0.3600,0.0000,0.00616876,0.00532347,0.01284334,0.11332848
TDE_MG,0,50,0.9000,0.5000,0.8600,0.3400,0.0000,0.00756407,0.00649510,0.01256893,0.11211122
TDE_MG,0,50,1.0000,0.5000,0.9800,0.4000,0.0000,0.00819599,0.00807320,0.01599079,0.12645470
TDE_MG,1,50,0.0000,0.2000,0.7400,0.2200,2.0000,0.99943699,0.99938384,0.99932960,0.99966475
TDE_MG,1,50,0.1000,1.1000,1.0200,0.2600,0.0000,0.01105426,0.01137571,0.01949867,0.13963764
TDE_MG,1,50,0.2000,0.9000,0.9400,0.2400,0.0000,0.00716016,0.00649855,0.01584171,0.12586385
TDE_MG,1,50,0.3000,0.7000,1.0600,0.3400,0.0000,0.00584248,0.00505981,0.01462852,0.12094841
TDE_MG,1,50,0.4000,0.7000,0.7800,0.3600,0.0000,0.00444500,0.00386858,0.01200607,0.10957221
TDE_MG,1,50,0.5000,0.5000,0.8600,0.3800,0.0000,0.00498933,0.00411419,0.00932398,0.09656075
TDE_MG,1,50,0.6000,0.5000,1.1000,0.4000,0.0000,0.00548197,0.00415432,0.01297563,0.11391061
TDE_MG,1,50,0.7000,0.4000,0.9000,0.3800,0.0000,0.00574860,0.00549076,0.01323865,0.11505933
TDE_MG,1,50,0.8000,0.4000,0.9400,0.3800,0.0000,0.00632357,0.00588421,0.01405369,0.11854827
TDE_MG,1,50,0.9000,0.5000,1.0200,0.4000,0.0000,0.00741144,0.00725376,0.01586091,0.12594011
TDE_MG,1,50,1.0000,0.5000,1.1000,0.4000,0.0000,0.00924297,0.00854625,0.01577222,0.12558748
TDE_MG,2,50,0.0000,0.2000,0.7400,0.2200,2.0000,0.99943699,0.99938384,0.99932960,0.99966475
TDE_MG,2,50,0.1000,1.1000,1.0600,0.4000,0.0000,0.01076418,0.00994711,0.03187891,0.17854665
TDE_MG,2,50,0.2000,1.1000,1.0200,0.4000,0.0000,0.00528183,0.00427244,0.01191242,0.10914404
TDE_MG,2,50,0.3000,1.2000,0.9000,0.4000,0.0000,0.00472827,0.00397865,0.01380543,0.11749651
TDE_MG,2,50,0.4000,0.5000,1.0600,0.3200,0.0000,0.00477945,0.00424742,0.01369462,0.11702402
TDE_MG,2,50,0.5000,0.7000,0.7400,0.3800,0.0000,0.00405494,0.00371295,0.00930308,0.09645247
TDE_MG,2,50,0.6000,0.4000,0.8600,0.4000,0.0000,0.00532381,0.00450408,0.01391107,0.11794519
TDE_MG,2,50,0.7000,0.5000,0.8600,0.4000,0.0000,0.00640467,0.00534505,0.01540083,0.12410010
TDE_MG,2,50,0.8000,0.4000,0.9400,0.4000,0.0000,0.00592740,0.00569677,0.01378051,0.11739040
TDE_MG,2,50,0.9000,0.5000,0.9400,0.4000,0.0000,0.00778436,0.00705690,0.01366751,0.11690812
TDE_MG,2,50,1.0000,0.5000,0.7800,0.4000,0.0000,0.00817474,0.00757738,0.01444691,0.12019530
TDE_ikeda,0,50,0.0000,0.6000,0.7400,0.2200,2.0000,0.99943699,0.99938384,0.99932960,0.99966475
TDE_ikeda,0,50,0.1000,1.4000,0.9800,0.3400,0.0000,0.01203101,0.01201636,0.02235839,0.14952723
TDE_ikeda,0,50,0.2000,1.0000,0.9400,0.3200,0.0000,0.00783818,0.00771137,0.01891703,0.13753918
