### task_name: narma
### 20 0
### input_signal_factor [0.4, 0.6]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,300,0.0000,0.4000,0.2200,0.7600,1.0000,0.99796783,1.02195025,1.00016357,1.00008178
TDE_MG,0,300,0.1000,0.4200,0.4000,0.7600,0.0000,0.25021646,0.24322930,0.26008250,0.50998284
TDE_MG,0,300,0.2000,0.4200,0.3000,0.8800,0.0000,0.24532284,0.23999878,0.26061724,0.51050685
TDE_MG,0,300,0.3000,0.6000,0.2200,0.8400,0.0000,0.24543704,0.23891154,0.25619675,0.50615882
TDE_MG,0,300,0.4000,0.4200,0.3800,0.8800,0.0000,0.24104470,0.23861950,0.25525694,0.50522959
TDE_MG,0,300,0.5000,0.5400,0.3400,0.8800,0.0000,0.24068144,0.23927302,0.25785681,0.50779603
TDE_MG,0,300,0.6000,0.4600,0.3200,0.9200,0.0000,0.23540984,0.24088057,0.25382489,0.50381037
TDE_MG,0,300,0.7000,0.4200,0.3800,0.9200,0.0000,0.24035715,0.23850593,0.25619122,0.50615335
TDE_MG,0,300,0.8000,0.4200,0.2200,0.9600,0.0000,0.24263635,0.24195551,0.25516688,0.50514045
TDE_MG,0,300,0.9000,0.4400,0.2400,0.9600,0.0000,0.24376848,0.24037089,0.25598231,0.50594694
TDE_MG,0,300,1.0000,0.5200,0.2400,0.9600,0.0000,0.23850391,0.24172669,0.25445293,0.50443327
TDE_MG,1,300,0.0000,0.4000,0.2200,0.7600,1.0000,0.99796783,1.02195025,1.00016357,1.00008178
TDE_MG,1,300,0.1000,0.4400,0.3000,0.7600,0.0000,0.24932997,0.24272058,0.25910602,0.50902457
TDE_MG,1,300,0.2000,0.4800,0.3800,0.8000,0.0000,0.24247454,0.23887840,0.25808550,0.50802116
TDE_MG,1,300,0.3000,0.4600,0.2400,0.9200,0.0000,0.24753275,0.23732519,0.25622396,0.50618570
TDE_MG,1,300,0.4000,0.4000,0.2400,0.8800,0.0000,0.24642834,0.23907922,0.25820707,0.50814080
TDE_MG,1,300,0.5000,0.4600,0.3000,0.9200,0.0000,0.24248506,0.23986071,0.25667237,0.50662843
TDE_MG,1,300,0.6000,0.5400,0.2200,0.9200,0.0000,0.24245662,0.23932125,0.25464198,0.50462063
TDE_MG,1,300,0.7000,0.4800,0.2800,0.9200,0.0000,0.23957391,0.24212257,0.25555197,0.50552148
TDE_MG,1,300,0.8000,0.5600,0.2600,0.9200,0.0000,0.24028149,0.23839059,0.25520828,0.50518144
TDE_MG,1,300,0.9000,0.5600,0.2400,0.9600,0.0000,0.23733335,0.24108457,0.25938582,0.50929935
TDE_MG,1,300,1.0000,0.4600,0.2200,0.9600,0.0000,0.24430667,0.24319156,0.26041731,0.51031100
TDE_MG,2,300,0.0000,0.4000,0.2200,0.7600,1.0000,0.99796783,1.02195025,1.00016357,1.00008178
TDE_MG,2,300,0.1000,0.5000,0.3400,0.8400,0.0000,0.25124736,0.24452076,0.26186384,0.51172633
TDE_MG,2,300,0.2000,0.5600,0.2800,0.8400,0.0000,0.24666319,0.24095073,0.25790342,0.50784192
TDE_MG,2,300,0.3000,0.4400,0.3000,0.8800,0.0000,0.24216746,0.23743840,0.25583809,0.50580439
TDE_MG,2,300,0.4000,0.6000,0.2600,0.8800,0.0000,0.24137077,0.23894603,0.25622336,0.50618510
TDE_MG,2,300,0.5000,0.4200,0.2200,0.9200,0.0000,0.24599724,0.23964644,0.25637830,0.50633813
TDE_MG,2,300,0.6000,0.5000,0.2800,0.9200,0.0000,0.24468822,0.24163813,0.25849378,0.50842283
TDE_MG,2,300,0.7000,0.4000,0.3800,0.9200,0.0000,0.24377873,0.23951707,0.25465535,0.50463388
TDE_MG,2,300,0.8000,0.5000,0.2200,0.9600,0.0000,0.23761405,0.23281124,0.25305242,0.50304316
TDE_MG,2,300,0.9000,0.5000,0.2400,0.9600,0.0000,0.24269331,0.24305243,0.25951124,0.50942246
TDE_MG,2,300,1.0000,0.4400,0.2600,0.9600,0.0000,0.23994100,0.24168508,0.25509530,0.50506960
TDE_ikeda,0,300,0.0000,0.4000,0.2200,0.7600,1.0000,0.99796783,1.02195025,1.00016357,1.00008178
TDE_ikeda,0,300,0.1000,0.4000,0.2200,0.7600,0.0000,0.25944755,0.24092890,0.26891515,0.51857029
TDE_ikeda,0,300,0.2000,0.4000,0.2600,0.8400,0.0000,0.25167139,0.23948980,0.26368883,0.51350640
TDE_ikeda,0,300,0.3000,0.4400,0.2200,0.8800,0.0000,0.24424153,0.24039462,0.26106832,0.51094846
TDE_ikeda,0,300,0.4000,0.4600,0.2800,0.8800,1.0000,0.25340824,0.24134743,0.25954656,0.50945712
TDE_ikeda,0,300,0.5000,0.4800,0.3000,0.8400,0.0000,0.24571039,0.24471514,0.26088050,0.51076463
TDE_ikeda,0,300,0.6000,0.4800,0.3000,0.8800,1.0000,0.25099290,0.24747514,0.26890419,0.51855973
TDE_ikeda,0,300,0.7000,0.5400,0.3200,0.8800,0.0000,0.24750006,0.25213688,0.26367922,0.51349705
TDE_ikeda,0,300,0.8000,0.4200,0.2200,0.8800,1.0000,0.26882806,0.25604280,0.27413929,0.52358312
