### task_name: approx
### 3 5
### input_signal_factor [4.3486e-312, 4.78346e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,300,0.0000,4.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TD_MG,0,300,0.1000,6.5000,0.7800,0.3200,2.0000,0.60427780,0.64334496,0.65929656,0.81197079
TD_MG,0,300,0.2000,5.0000,1.0200,0.2800,2.0000,0.59572350,0.64848917,0.66664505,0.81648334
TD_MG,0,300,0.3000,5.0000,1.0200,0.2600,3.0000,0.59523237,0.65199015,0.66271228,0.81407142
TD_MG,0,300,0.4000,5.5000,0.9400,0.2400,3.0000,0.60217563,0.64973755,0.66885334,0.81783454
TD_MG,0,300,0.5000,6.0000,0.8600,0.3200,4.0000,0.61031740,0.65626915,0.67230253,0.81994057
TD_MG,0,300,0.6000,5.0000,1.0200,0.2800,3.0000,0.59717489,0.65373834,0.66824383,0.81746182
TD_MG,0,300,0.7000,5.5000,0.9400,0.2200,2.0000,0.59170770,0.66515636,0.67436370,0.82119651
TD_MG,0,300,0.8000,5.5000,0.9400,0.2200,2.0000,0.59858246,0.66650588,0.67644254,0.82246127
TD_MG,0,300,0.9000,4.5000,1.1000,0.2400,2.0000,0.64892737,0.71665732,0.72956634,0.85414656
TD_MG,0,300,1.0000,5.5000,0.8200,0.2400,2.0000,0.84392498,0.90282418,0.91853745,0.95840359
TD_MG,1,300,0.0000,4.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TD_MG,1,300,0.1000,6.0000,0.8600,0.2600,3.0000,0.60538221,0.64580177,0.66106601,0.81305966
TD_MG,1,300,0.2000,5.0000,1.0200,0.2400,2.0000,0.59184043,0.64991676,0.67023337,0.81867782
TD_MG,1,300,0.3000,6.0000,0.8600,0.2400,3.0000,0.59805285,0.64886244,0.66697494,0.81668534
TD_MG,1,300,0.4000,5.0000,1.0200,0.2200,3.0000,0.59964085,0.65077675,0.66877691,0.81778782
TD_MG,1,300,0.5000,4.5000,1.1000,0.2400,3.0000,0.60565467,0.65609127,0.67169336,0.81956901
TD_MG,1,300,0.6000,7.0000,0.7400,0.2200,3.0000,0.60530583,0.65271920,0.66636847,0.81631395
TD_MG,1,300,0.7000,5.0000,1.0200,0.2400,3.0000,0.60279541,0.66351329,0.67866938,0.82381392
TD_MG,1,300,0.8000,4.5000,1.1000,0.2200,2.0000,0.59969521,0.67799263,0.68391788,0.82699328
TD_MG,1,300,0.9000,4.5000,1.1000,0.2600,2.0000,0.62028415,0.68956527,0.70525153,0.83979255
TD_MG,1,300,1.0000,5.5000,0.7800,0.3600,3.0000,0.80190208,0.87500488,0.89353650,0.94527060
TD_MG,2,300,0.0000,4.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TD_MG,2,300,0.1000,5.5000,0.9400,0.3200,2.0000,0.59955792,0.64625530,0.66425376,0.81501765
TD_MG,2,300,0.2000,6.5000,0.7800,0.2200,2.0000,0.59823839,0.64795605,0.66208603,0.81368669
TD_MG,2,300,0.3000,6.5000,0.7800,0.2200,3.0000,0.59965130,0.64891293,0.67063817,0.81892501
TD_MG,2,300,0.4000,6.0000,0.8600,0.2400,4.0000,0.60914477,0.64937117,0.66422765,0.81500163
TD_MG,2,300,0.5000,5.0000,1.0200,0.2200,3.0000,0.60506884,0.65089889,0.66256117,0.81397861
TD_MG,2,300,0.6000,6.0000,0.8600,0.3000,3.0000,0.60206862,0.65723057,0.67670218,0.82261909
TD_MG,2,300,0.7000,6.5000,0.7800,0.2200,2.0000,0.59158054,0.66111469,0.67533292,0.82178642
TD_MG,2,300,0.8000,5.0000,1.0200,0.2400,2.0000,0.60124611,0.67157094,0.67600787,0.82219698
TD_MG,2,300,0.9000,5.5000,0.9000,0.2400,3.0000,0.63369742,0.68916249,0.69999955,0.83665976
TD_MG,2,300,1.0000,5.5000,0.7800,0.4000,3.0000,0.82443303,0.90972172,0.90859986,0.95320505
TD_ikeda,0,300,0.0000,10.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TD_ikeda,0,300,0.1000,16.0000,0.8200,0.4000,0.0000,0.00048830,0.00054097,0.00051993,0.02280204
TD_ikeda,0,300,0.2000,16.0000,0.8200,0.3000,0.0000,0.00053952,0.00064066,0.00059175,0.02432591
TD_ikeda,0,300,0.3000,16.0000,0.8200,0.3400,0.0000,0.00069051,0.00083325,0.00077135,0.02777325
TD_ikeda,0,300,0.4000,16.0000,0.8200,0.4000,0.0000,0.00072480,0.00083681,0.00081577,0.02856175
TD_ikeda,0,300,0.5000,16.0000,0.8200,0.3600,0.0000,0.00061766,0.00078787,0.00073994,0.02720176
TD_ikeda,0,300,0.6000,16.0000,0.8200,0.3000,0.0000,0.00086179,0.00119286,0.00109012,0.03301689
TD_ikeda,0,300,0.7000,16.0000,0.8200,0.3200,0.0000,0.00216466,0.00269966,0.00267389,0.05170971
TD_ikeda,0,300,0.8000,16.0000,0.8200,0.2800,0.0000,0.01394067,0.01707675,0.01719815,0.13114172
TD_ikeda,0,300,0.9000,16.0000,0.8200,0.2800,1.0000,0.09788540,0.12829557,0.13315669,0.36490641
TD_ikeda,0,300,1.0000,18.0000,1.0600,0.3000,6.0000,0.98965628,0.99788139,1.00851960,1.00425077
TD_ikeda,1,300,0.0000,10.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TD_ikeda,1,300,0.1000,16.0000,0.8200,0.3200,0.0000,0.00050580,0.00055896,0.00055120,0.02347758
TD_ikeda,1,300,0.2000,16.0000,0.8200,0.3800,0.0000,0.00054955,0.00063209,0.00058770,0.02424259
TD_ikeda,1,300,0.3000,16.0000,0.8200,0.3400,0.0000,0.00070976,0.00081279,0.00080879,0.02843918
TD_ikeda,1,300,0.4000,16.0000,0.8200,0.4000,0.0000,0.00079169,0.00096312,0.00092463,0.03040767
TD_ikeda,1,300,0.5000,16.0000,0.8200,0.2600,0.0000,0.00127248,0.00160169,0.00154396,0.03929320
TD_ikeda,1,300,0.6000,16.0000,0.8200,0.3800,0.0000,0.00169842,0.00215523,0.00221572,0.04707149
TD_ikeda,1,300,0.7000,14.0000,0.9400,0.3600,0.0000,0.00460692,0.00596698,0.00581766,0.07627357
TD_ikeda,1,300,0.8000,14.0000,0.9400,0.3800,0.0000,0.01054814,0.01393744,0.01368277,0.11697338
TD_ikeda,1,300,0.9000,16.0000,0.8200,0.3200,2.0000,0.03303430,0.03972789,0.03972712,0.19931664
TD_ikeda,1,300,1.0000,11.0000,0.9800,0.3600,8.0000,0.99363150,0.99670477,1.00670846,1.00334862
TD_ikeda,2,300,0.0000,10.0000,0.7400,0.2200,9.0000,0.99999997,1.00031259,1.00000216,1.00000108
TD_ikeda,2,300,0.1000,16.0000,0.8200,0.4000,0.0000,0.00050199,0.00055952,0.00052806,0.02297960
TD_ikeda,2,300,0.2000,16.0000,0.8200,0.3400,0.0000,0.00050839,0.00058730,0.00054255,0.02329262
TD_ikeda,2,300,0.3000,16.0000,0.8200,0.3800,0.0000,0.00072331,0.00090349,0.00084651,0.02909488
TD_ikeda,2,300,0.4000,16.0000,0.8200,0.3200,0.0000,0.00075791,0.00091248,0.00091036,0.03017212
TD_ikeda,2,300,0.5000,16.0000,0.8200,0.3200,0.0000,0.00119139,0.00163033,0.00160654,0.04008161
TD_ikeda,2,300,0.6000,16.0000,0.8200,0.3600,0.0000,0.00155769,0.00209445,0.00195731,0.04424152
TD_ikeda,2,300,0.7000,16.0000,0.8200,0.3400,0.0000,0.00476320,0.00636478,0.00614122,0.07836593
TD_ikeda,2,300,0.8000,16.0000,0.8200,0.4000,0.0000,0.00803059,0.01004266,0.01053401,0.10263531
TD_ikeda,2,300,0.9000,16.0000,0.8200,0.3600,1.0000,0.06217871,0.07699793,0.07648978,0.27656786
TD_ikeda,2,300,1.0000,11.0000,0.9800,0.3200,7.0000,0.98972365,0.99774185,1.00823719,1.00411015
