### task_name: approx
### 5 1.5
### input_signal_factor [5.4445e-313, 5.98895e-312]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,100,0.0000,6.0000,0.2200,0.5500,9.0000,0.99999969,1.00135012,1.00166142,1.00083037
TD_MG,0,100,0.1000,8.4000,0.3200,0.6000,0.0000,0.03487769,0.03737918,0.03713662,0.19270863
TD_MG,0,100,0.2000,9.2000,0.2600,0.7500,0.0000,0.04951401,0.05340687,0.05317545,0.23059802
TD_MG,0,100,0.3000,7.6000,0.3000,0.6500,0.0000,0.05075746,0.05681205,0.05763484,0.24007257
TD_MG,0,100,0.4000,6.4000,0.2800,0.5500,0.0000,0.11392177,0.12674321,0.12264480,0.35020680
TD_MG,0,100,0.5000,10.0000,0.2200,0.6500,0.0000,0.17282600,0.19857715,0.19677804,0.44359671
TD_MG,0,100,0.6000,8.4000,0.3200,0.6500,0.0000,0.22664190,0.26286446,0.24906162,0.49906074
TD_MG,0,100,0.7000,6.4000,0.2400,0.5500,0.0000,0.36000807,0.40945089,0.43850412,0.66219644
TD_MG,0,100,0.8000,6.0000,0.3000,0.8000,0.0000,0.43483242,0.47298399,0.49988112,0.70702271
TD_MG,0,100,0.9000,7.6000,0.2200,0.6000,0.0000,0.53023869,0.59615891,0.58818606,0.76693289
TD_MG,0,100,1.0000,6.0000,0.2600,0.7000,0.0000,0.60911344,0.70967721,0.72127319,0.84927804
TD_MG,1,100,0.0000,6.0000,0.2200,0.5500,9.0000,0.99999969,1.00135012,1.00166142,1.00083037
TD_MG,1,100,0.1000,6.4000,0.4000,0.6000,0.0000,0.02982995,0.03080545,0.03107518,0.17628154
TD_MG,1,100,0.2000,7.2000,0.2800,0.7500,0.0000,0.07049353,0.07458268,0.07325500,0.27065662
TD_MG,1,100,0.3000,7.6000,0.2600,0.6500,0.0000,0.06714750,0.07318835,0.07112073,0.26668471
TD_MG,1,100,0.4000,6.0000,0.3200,0.6500,0.0000,0.09833033,0.11722367,0.11184561,0.33443327
TD_MG,1,100,0.5000,7.6000,0.2400,0.6500,0.0000,0.13287207,0.14481958,0.14399020,0.37946040
TD_MG,1,100,0.6000,6.0000,0.2800,0.9500,0.0000,0.20522014,0.23015210,0.22408562,0.47337683
TD_MG,1,100,0.7000,8.0000,0.2200,0.7500,0.0000,0.41608158,0.45431534,0.45420921,0.67395045
TD_MG,1,100,0.8000,6.8000,0.2200,0.6500,0.0000,0.45339930,0.51642943,0.50156724,0.70821412
TD_MG,1,100,0.9000,6.4000,0.2400,0.6000,0.0000,0.37889137,0.41752451,0.42099163,0.64883868
TD_MG,1,100,1.0000,7.2000,0.2200,0.8000,0.0000,0.62868466,0.72284056,0.73345877,0.85642207
TD_MG,2,100,0.0000,6.0000,0.2200,0.5500,9.0000,0.99999969,1.00135012,1.00166142,1.00083037
TD_MG,2,100,0.1000,9.2000,0.2800,0.7000,0.0000,0.03278615,0.03613145,0.03501637,0.18712662
TD_MG,2,100,0.2000,7.2000,0.3600,0.5500,0.0000,0.05614756,0.06013906,0.05842597,0.24171466
