### task_name: laser
### 1 0
### input_signal_factor [4.36201e-312, 4.79821e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,100,0.0000,0.2000,0.7400,0.2200,3.0000,0.99943699,0.99938384,0.99932960,0.99966475
TD_MG,0,100,0.1000,1.1000,1.1000,0.3400,0.0000,0.00519602,0.00463634,0.01838376,0.13558672
TD_MG,0,100,0.2000,0.6000,0.9800,0.3800,0.0000,0.00388025,0.00332246,0.01144262,0.10697020
TD_MG,0,100,0.3000,1.2000,0.8200,0.3000,0.0000,0.00302187,0.00274584,0.01048428,0.10239279
TD_MG,0,100,0.4000,0.9000,0.7800,0.4000,0.0000,0.00283851,0.00253204,0.01510698,0.12291044
TD_MG,0,100,0.5000,0.6000,1.1000,0.3800,0.0000,0.00304303,0.00283908,0.00967986,0.09838628
TD_MG,0,100,0.6000,0.6000,1.1000,0.3800,0.0000,0.00297664,0.00266104,0.00950882,0.09751319
TD_MG,0,100,0.7000,0.7000,0.7800,0.4000,0.0000,0.00383234,0.00355759,0.00963480,0.09815702
TD_MG,0,100,0.8000,0.7000,0.8200,0.3800,0.0000,0.00453317,0.00428871,0.01008881,0.10044307
TD_MG,0,100,0.9000,0.8000,0.7400,0.3800,0.0000,0.00529569,0.00509223,0.01160608,0.10773150
TD_MG,0,100,1.0000,0.7000,0.8200,0.4000,0.0000,0.00533893,0.00481414,0.01231961,0.11099374
TD_MG,1,100,0.0000,0.2000,0.7400,0.2200,3.0000,0.99943699,0.99938384,0.99932960,0.99966475
TD_MG,1,100,0.1000,1.1000,0.9800,0.3600,0.0000,0.00509813,0.00449041,0.01054089,0.10266885
TD_MG,1,100,0.2000,0.6000,0.9800,0.3800,0.0000,0.00359147,0.00303964,0.01079692,0.10390821
TD_MG,1,100,0.3000,0.7000,0.9800,0.3400,0.0000,0.00311003,0.00273071,0.01407044,0.11861888
TD_MG,1,100,0.4000,1.0000,0.7400,0.2800,0.0000,0.00304916,0.00275556,0.00919427,0.09588674
TD_MG,1,100,0.5000,0.5000,0.9800,0.3800,0.0000,0.00322367,0.00277535,0.01050997,0.10251815
TD_MG,1,100,0.6000,0.6000,1.1000,0.3600,0.0000,0.00317390,0.00308652,0.00817361,0.09040803
TD_MG,1,100,0.7000,0.6000,0.9800,0.4000,0.0000,0.00403480,0.00379600,0.00939674,0.09693680
TD_MG,1,100,0.8000,0.7000,0.7400,0.3800,0.0000,0.00442348,0.00445921,0.01137162,0.10663782
TD_MG,1,100,0.9000,0.6000,0.9400,0.3600,0.0000,0.00496702,0.00510781,0.01294475,0.11377500
TD_MG,1,100,1.0000,0.5000,0.9800,0.4000,0.0000,0.00580913,0.00564248,0.01436874,0.11986966
TD_MG,2,100,0.0000,0.2000,0.7400,0.2200,3.0000,0.99943699,0.99938384,0.99932960,0.99966475
TD_MG,2,100,0.1000,1.2000,0.8200,0.2800,0.0000,0.00555561,0.00536240,0.01674266,0.12939343
TD_MG,2,100,0.2000,0.9000,0.8200,0.3600,0.0000,0.00423967,0.00328389,0.01441576,0.12006565
TD_MG,2,100,0.3000,0.6000,0.9800,0.2800,0.0000,0.00316672,0.00255635,0.01021718,0.10108007
TD_MG,2,100,0.4000,0.7000,0.9400,0.4000,0.0000,0.00260834,0.00257599,0.00978794,0.09893401
TD_MG,2,100,0.5000,0.9000,0.9000,0.3400,0.0000,0.00322919,0.00275090,0.00881943,0.09391182
TD_MG,2,100,0.6000,0.7000,0.9000,0.4000,0.0000,0.00329512,0.00326721,0.00890613,0.09437232
TD_MG,2,100,0.7000,0.8000,0.7400,0.4000,0.0000,0.00337207,0.00357641,0.00892009,0.09444625
TD_MG,2,100,0.8000,0.6000,0.9800,0.4000,0.0000,0.00393602,0.00448310,0.00915143,0.09566313
TD_MG,2,100,0.9000,0.7000,0.7400,0.4000,0.0000,0.00601267,0.00539915,0.01403452,0.11846738
TD_MG,2,100,1.0000,0.6000,1.0200,0.4000,0.0000,0.00599904,0.00632720,0.01624980,0.12747471
