### task_name: narma
### 5 0
### input_signal_factor [4.5566e-312, 5.01226e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,20,0.0000,0.1000,0.2200,0.7400,9.0000,0.99551294,1.00207880,0.99551517,inf
TD_MG,0,20,0.1000,0.2400,0.3400,0.7400,0.0000,0.15645539,0.15368906,0.16429469,0.07674105
TD_MG,0,20,0.2000,0.2200,0.2800,0.9800,0.0000,0.12066460,0.10854651,0.12087956,0.05917694
TD_MG,0,20,0.3000,0.1800,0.3200,1.1000,0.0000,0.10954038,0.09867991,0.10882779,0.05776818
TD_MG,0,20,0.4000,0.2600,0.3600,0.7800,0.0000,0.10900793,0.10100513,0.11109042,0.05696135
TD_MG,0,20,0.5000,0.2400,0.2800,0.7400,0.0000,0.11155552,0.10384277,0.11265527,0.05840146
TD_MG,0,20,0.6000,0.2600,0.3800,0.7800,0.0000,0.08997785,0.08164461,0.08973713,0.05328554
TD_MG,0,20,0.7000,0.1200,0.3600,0.8200,0.0000,0.09127996,0.08136655,0.09024503,0.05139017
TD_MG,0,20,0.8000,0.1800,0.2600,0.8600,0.0000,0.08574673,0.07807945,0.08484136,0.04935115
TD_MG,0,20,0.9000,0.1400,0.2200,1.1000,0.0000,0.09572522,0.08559501,0.09454618,0.05242277
TD_MG,0,20,1.0000,0.1200,0.3800,1.1000,0.0000,0.09165576,0.08183766,0.09003387,0.05160640
TD_MG,1,20,0.0000,0.1000,0.2200,0.7400,9.0000,0.99551294,1.00207880,0.99551517,inf
TD_MG,1,20,0.1000,0.1000,0.2600,0.7800,0.0000,0.15351969,0.14925365,0.16106580,0.07696418
TD_MG,1,20,0.2000,0.1800,0.3600,0.8600,0.0000,0.12527263,0.11515987,0.12224148,0.06229170
TD_MG,1,20,0.3000,0.2600,0.3000,0.8200,0.0000,0.10873190,0.10154333,0.11289896,0.06003920
TD_MG,1,20,0.4000,0.2600,0.3800,0.7400,0.0000,0.08476280,0.07714112,0.08529405,0.04945791
TD_MG,1,20,0.5000,0.2800,0.3000,1.1000,0.0000,0.09169289,0.08314057,0.09017381,0.05111088
TD_MG,1,20,0.6000,0.1800,0.4000,0.7400,0.0000,0.09266161,0.08518536,0.09204278,0.05332732
TD_MG,1,20,0.7000,0.1400,0.4000,1.1000,0.0000,0.09195907,0.08401731,0.09183204,0.05287694
TD_MG,1,20,0.8000,0.1600,0.3800,0.7800,0.0000,0.09122133,0.08282615,0.08932590,0.04952514
TD_MG,1,20,0.9000,0.2000,0.2200,0.8600,0.0000,0.08385664,0.07777843,0.08496548,0.05089800
TD_MG,1,20,1.0000,0.1400,0.4000,1.1000,0.0000,0.08687670,0.07881864,0.08611368,0.04981761
TD_MG,2,20,0.0000,0.1000,0.2200,0.7400,9.0000,0.99551294,1.00207880,0.99551517,inf
TD_MG,2,20,0.1000,0.1200,0.3800,0.7400,0.0000,0.15178736,0.14736456,0.15829462,0.07194207
TD_MG,2,20,0.2000,0.2800,0.3400,0.8600,0.0000,0.13915994,0.12550637,0.14150782,0.06627571
TD_MG,2,20,0.3000,0.1800,0.3800,0.8600,0.0000,0.11236944,0.10499079,0.11252228,0.05552340
TD_MG,2,20,0.4000,0.2400,0.2200,0.8600,0.0000,0.10921610,0.09980896,0.11014305,0.06140880
TD_MG,2,20,0.5000,0.2400,0.3400,0.8200,0.0000,0.10758137,0.09855132,0.10596262,0.05722962
TD_MG,2,20,0.6000,0.2400,0.2200,0.7400,0.0000,0.10835867,0.09735420,0.10704201,0.05724486
TD_MG,2,20,0.7000,0.1600,0.3600,0.7800,0.0000,0.08767117,0.08103208,0.08932232,0.05180493
TD_MG,2,20,0.8000,0.1200,0.3800,1.0600,0.0000,0.09003794,0.08313753,0.09078397,0.05155181
TD_MG,2,20,0.9000,0.1000,0.2600,0.9800,0.0000,0.09472767,0.08828054,0.09717051,0.05253438
TD_MG,2,20,1.0000,0.1800,0.3800,0.8600,0.0000,0.08820588,0.08158598,0.08885981,0.05201562
TD_ikeda,0,20,0.0000,0.1000,0.2200,0.7400,9.0000,0.99551294,1.00207880,0.99551517,inf
TD_ikeda,0,20,0.1000,0.6000,0.4000,0.7400,0.0000,0.14335256,0.14325650,0.15142817,0.07259703
TD_ikeda,0,20,0.2000,0.6000,0.3600,0.9400,0.0000,0.11460482,0.10141350,0.11284049,0.05859035
TD_ikeda,0,20,0.3000,0.3500,0.2800,0.8200,0.0000,0.11136743,0.10113920,0.11129286,0.05650620
TD_ikeda,0,20,0.4000,0.5500,0.2600,0.8200,0.0000,0.10714390,0.09816084,0.10670247,0.05682409
TD_ikeda,0,20,0.5000,0.5000,0.3400,0.8200,0.0000,0.10268858,0.09154565,0.10231220,0.05504712
TD_ikeda,0,20,0.6000,0.5000,0.3000,0.7800,0.0000,0.08529732,0.07742218,0.08514201,0.05347128
TD_ikeda,0,20,0.7000,0.3500,0.2600,0.8200,0.0000,0.08530106,0.07635162,0.08460519,0.04916026
TD_ikeda,0,20,0.8000,0.3000,0.3200,0.9400,0.0000,0.08025762,0.07419418,0.08143829,0.05092969
TD_ikeda,0,20,0.9000,0.3500,0.2200,0.8200,0.0000,0.09089886,0.08091080,0.08771946,0.05247400
TD_ikeda,0,20,1.0000,0.2000,0.3800,0.9000,0.0000,0.08810820,0.07916920,0.08645522,0.05328338
TD_ikeda,1,20,0.0000,0.1000,0.2200,0.7400,9.0000,0.99551294,1.00207880,0.99551517,inf
TD_ikeda,1,20,0.1000,0.4000,0.3000,0.8600,0.0000,0.14351023,0.14227837,0.15247139,0.07552066
TD_ikeda,1,20,0.2000,0.5500,0.3400,1.0600,0.0000,0.11898974,0.11192370,0.12119919,0.05977466
TD_ikeda,1,20,0.3000,0.4500,0.3600,0.7400,0.0000,0.11409556,0.10517104,0.11250210,0.05787318
TD_ikeda,1,20,0.4000,0.2500,0.3400,0.7400,0.0000,0.09171443,0.08420856,0.09062262,0.05264947
TD_ikeda,1,20,0.5000,0.3500,0.3000,0.9800,0.0000,0.09174909,0.08556500,0.09156018,0.05262638
TD_ikeda,1,20,0.6000,0.5000,0.2200,0.7400,0.0000,0.08178726,0.07400133,0.08080055,0.05099113
TD_ikeda,1,20,0.7000,0.4000,0.2800,0.9000,0.0000,0.08326928,0.07714249,0.08377194,0.05080332
TD_ikeda,1,20,0.8000,0.3500,0.2800,0.8200,0.0000,0.08446651,0.07940124,0.08437326,0.05012225
TD_ikeda,1,20,0.9000,0.4500,0.4000,0.8600,0.0000,0.08273860,0.07570284,0.08027780,0.04878289
TD_ikeda,1,20,1.0000,0.5000,0.2800,0.7800,0.0000,0.08547732,0.07841540,0.08442208,0.05154863
TD_ikeda,2,20,0.0000,0.1000,0.2200,0.7400,9.0000,0.99551294,1.00207880,0.99551517,inf
TD_ikeda,2,20,0.1000,0.5500,0.3600,0.7800,0.0000,0.14397123,0.14249630,0.15403258,0.07489375
TD_ikeda,2,20,0.2000,0.3500,0.3800,0.9400,0.0000,0.12187238,0.11403523,0.12324752,0.06293440
TD_ikeda,2,20,0.3000,0.3000,0.4000,0.8600,0.0000,0.10864124,0.09990182,0.10779609,0.05781971
TD_ikeda,2,20,0.4000,0.6000,0.2200,0.7800,0.0000,0.10597068,0.09847619,0.10564168,0.05402291
TD_ikeda,2,20,0.5000,0.3500,0.3400,0.7400,0.0000,0.10025798,0.09296843,0.10143191,0.05679889
TD_ikeda,2,20,0.6000,0.2000,0.2600,0.8200,0.0000,0.09933994,0.08828883,0.09847289,0.05485578
TD_ikeda,2,20,0.7000,0.1500,0.2800,0.9400,0.0000,0.09303864,0.08414366,0.09257303,0.05276957
TD_ikeda,2,20,0.8000,0.3000,0.2800,0.9000,0.0000,0.08304141,0.07601749,0.08297967,0.05289636
TD_ikeda,2,20,0.9000,0.5500,0.2800,0.8200,0.0000,0.08715643,0.07947965,0.08650234,0.05173257
TD_ikeda,2,20,1.0000,0.3500,0.2400,0.8200,0.0000,0.08927556,0.08066221,0.08872691,0.05103018
