### task_name: approx
### 3 0.5
### input_signal_factor [1, 51]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,6.0000,20.0000,0.2000,1.0000,0.66115714,0.67630708,0.66481346
RND_sinc,0,20,0.1000,31.0000,12.0000,0.1000,3.0000,0.65848283,0.67401383,0.66208008
RND_sinc,0,20,0.2000,51.0000,8.0000,0.1200,9.0000,0.65989224,0.67484898,0.66405721
RND_sinc,0,20,0.3000,36.0000,20.0000,0.1600,6.0000,0.65791747,0.67502201,0.66851920
RND_sinc,0,20,0.4000,1.0000,12.0000,0.1000,5.0000,0.66328049,0.67614122,0.66776543
RND_sinc,0,20,0.5000,1.0000,16.0000,0.0400,1.0000,0.66467576,0.67627598,0.66866039
RND_sinc,0,20,0.6000,1.0000,12.0000,0.0800,3.0000,0.66638985,0.67605507,0.67350849
RND_sinc,0,20,0.7000,1.0000,4.0000,0.0400,1.0000,0.66309793,0.68141191,0.66869827
RND_sinc,0,20,0.8000,1.0000,4.0000,0.0400,1.0000,0.66782209,0.68027348,0.67237818
RND_sinc,0,20,0.9000,1.0000,4.0000,0.0400,1.0000,0.65833547,0.68418882,0.66617487
RND_sinc,0,20,1.0000,1.0000,4.0000,0.0400,0.0000,0.65748965,0.68828466,0.67076595
RND_sinc,1,20,0.0000,46.0000,0.0000,0.1400,0.0000,0.66307686,0.67617455,0.66712135
RND_sinc,1,20,0.1000,46.0000,16.0000,0.1400,5.0000,0.65852099,0.67417281,0.66687553
RND_sinc,1,20,0.2000,1.0000,20.0000,0.0800,5.0000,0.66208388,0.67561374,0.66550092
RND_sinc,1,20,0.3000,51.0000,20.0000,0.1000,8.0000,0.66000746,0.67434663,0.66943178
RND_sinc,1,20,0.4000,1.0000,4.0000,0.1000,5.0000,0.66195882,0.67761238,0.66732509
RND_sinc,1,20,0.5000,1.0000,4.0000,0.1600,6.0000,0.66450353,0.67578951,0.66886813
RND_sinc,1,20,0.6000,1.0000,20.0000,0.0600,2.0000,0.66049732,0.67909311,0.66511827
RND_sinc,1,20,0.7000,1.0000,16.0000,0.0600,1.0000,0.67649725,0.68236366,0.67607031
RND_sinc,1,20,0.8000,1.0000,4.0000,0.1000,5.0000,0.66341909,0.67894845,0.66927401
RND_sinc,1,20,0.9000,1.0000,4.0000,0.0400,0.0000,0.65866043,0.67991214,0.66541105
RND_sinc,1,20,1.0000,1.0000,8.0000,0.0800,0.0000,0.65990397,0.69474343,0.67590342
RND_sinc,2,20,0.0000,1.0000,12.0000,0.2000,1.0000,0.66291634,0.67591239,0.66689890
RND_sinc,2,20,0.1000,36.0000,16.0000,0.0800,2.0000,0.65614417,0.67427554,0.66258812
RND_sinc,2,20,0.2000,31.0000,20.0000,0.1000,8.0000,0.66015656,0.67567828,0.66468360
RND_sinc,2,20,0.3000,51.0000,0.0000,0.2000,9.0000,0.65811101,0.67498650,0.66781014
RND_sinc,2,20,0.4000,1.0000,20.0000,0.1200,6.0000,0.66333413,0.67831821,0.67039805
RND_sinc,2,20,0.5000,1.0000,16.0000,0.1800,7.0000,0.66333114,0.67901878,0.66913133
RND_sinc,2,20,0.6000,1.0000,16.0000,0.2000,6.0000,0.66217599,0.67969477,0.67231775
RND_sinc,2,20,0.7000,1.0000,12.0000,0.0600,0.0000,0.66056165,0.68547089,0.66757153
RND_sinc,2,20,0.8000,1.0000,12.0000,0.0600,0.0000,0.66135393,0.68418971,0.67086277
RND_sinc,2,20,0.9000,1.0000,4.0000,0.0600,1.0000,0.65752695,0.69089222,0.66731429
RND_sinc,2,20,1.0000,1.0000,4.0000,0.0600,0.0000,0.66022249,0.69273976,0.66909421
