### task_name: approx
### 3 5
### input_signal_factor [1, 101]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,11.0000,12.0000,0.1000,0.0000,0.97578498,0.97410221,0.98522223
RND_sinc,0,20,0.1000,81.0000,20.0000,0.0600,0.0000,0.10528238,0.10321865,0.10130621
RND_sinc,0,20,0.2000,81.0000,16.0000,0.0600,1.0000,0.57186014,0.60163777,0.54385813
RND_sinc,0,20,0.3000,81.0000,12.0000,0.0600,0.0000,0.34566712,0.34599566,0.32017476
RND_sinc,0,20,0.4000,21.0000,12.0000,0.2200,5.0000,0.90486609,0.92961671,0.91951058
RND_sinc,0,20,0.5000,31.0000,12.0000,0.1600,4.0000,0.95586000,0.96447217,0.97307206
RND_sinc,0,20,0.6000,1.0000,8.0000,0.2200,8.0000,0.97217221,0.97944250,0.98357019
RND_sinc,0,20,0.7000,1.0000,12.0000,0.0400,1.0000,0.97110207,0.98013497,0.98423050
RND_sinc,0,20,0.8000,1.0000,12.0000,0.0400,0.0000,0.97150974,0.98035791,0.98426161
RND_sinc,0,20,0.9000,1.0000,8.0000,0.0600,0.0000,0.96952474,0.98051172,0.98485985
RND_sinc,0,20,1.0000,1.0000,8.0000,0.0600,0.0000,0.96962909,0.98066142,0.98510694
