### task_name: approx
### 5 1.5
### input_signal_factor [0.5, 20.5]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,18.5000,3.0000,0.1200,0.0000,0.97977207,0.98857318,0.99905157
RND_sinc,0,20,0.1000,16.5000,3.0000,0.1000,0.0000,0.08858053,0.08592779,0.08882377
RND_sinc,0,20,0.2000,8.5000,2.0000,0.2000,6.0000,0.92850748,0.96854927,0.97893715
RND_sinc,0,20,0.3000,0.5000,0.0000,0.1600,3.0000,0.97813708,0.99167664,1.00570818
RND_sinc,0,20,0.4000,0.5000,1.0000,0.2000,5.0000,0.97699502,0.99510949,1.00656352
RND_sinc,0,20,0.5000,0.5000,1.0000,0.2200,4.0000,0.98567928,0.99427191,1.00889059
RND_sinc,0,20,0.6000,0.5000,2.0000,0.2200,5.0000,0.99137449,0.99929520,1.00126824
RND_sinc,0,20,0.7000,0.5000,3.0000,0.1400,2.0000,0.99072581,1.00028536,1.01020719
RND_sinc,0,20,0.8000,12.5000,5.0000,0.0200,9.0000,0.99868690,1.00049216,1.00442248
RND_sinc,0,20,0.9000,0.5000,1.0000,0.2200,6.0000,0.98134330,0.99585315,1.00635280
RND_sinc,0,20,1.0000,0.5000,1.0000,0.1400,5.0000,0.98348629,1.00000531,1.00433589
RND_sinc,1,20,0.0000,12.5000,0.0000,0.2200,0.0000,0.98109773,0.98859849,0.99622686
RND_sinc,1,20,0.1000,18.5000,2.0000,0.1000,0.0000,0.21724724,0.22113951,0.23333561
RND_sinc,1,20,0.2000,16.5000,5.0000,0.2000,5.0000,0.97871527,0.99097241,0.99871842
RND_sinc,1,20,0.3000,0.5000,2.0000,0.2200,5.0000,0.97833661,0.99472464,1.00120742
RND_sinc,1,20,0.4000,0.5000,1.0000,0.1000,2.0000,0.97997033,0.99481787,1.00255519
RND_sinc,1,20,0.5000,0.5000,1.0000,0.2200,7.0000,0.98636827,0.99797373,1.00144295
RND_sinc,1,20,0.6000,0.5000,1.0000,0.2000,6.0000,0.97974926,0.99618609,1.00254869
RND_sinc,1,20,0.7000,0.5000,5.0000,0.2000,3.0000,0.98556429,0.99743722,1.00626105
RND_sinc,1,20,0.8000,10.5000,0.0000,0.1800,9.0000,0.99451350,0.99834188,1.00909008
RND_sinc,1,20,0.9000,8.5000,5.0000,0.2000,9.0000,0.99500473,1.00048511,1.00793866
RND_sinc,1,20,1.0000,12.5000,5.0000,0.0200,9.0000,0.99867774,1.00057374,1.00431628
RND_sinc,2,20,0.0000,6.5000,4.0000,0.1200,0.0000,0.97855400,0.98972836,1.00051828
RND_sinc,2,20,0.1000,20.5000,2.0000,0.0800,0.0000,0.27748849,0.28546767,0.28382709
RND_sinc,2,20,0.2000,12.5000,4.0000,0.2200,0.0000,0.98922183,0.99363570,1.00655500
RND_sinc,2,20,0.3000,0.5000,4.0000,0.2000,6.0000,0.98209071,0.99397922,1.00198644
RND_sinc,2,20,0.4000,0.5000,4.0000,0.1000,0.0000,0.97811476,0.99462029,1.00984323
RND_sinc,2,20,0.5000,0.5000,3.0000,0.1600,0.0000,0.98324676,0.99661194,1.00793834
RND_sinc,2,20,0.6000,8.5000,5.0000,0.0200,9.0000,0.99878231,1.00053538,1.00410228
RND_sinc,2,20,0.7000,0.5000,1.0000,0.2200,7.0000,0.98246101,0.99708025,1.00769714
RND_sinc,2,20,0.8000,0.5000,1.0000,0.2200,7.0000,0.98050694,0.99791050,1.00788093
RND_sinc,2,20,0.9000,0.5000,1.0000,0.1400,3.0000,0.98319239,0.99228317,1.00756978
RND_sinc,2,20,1.0000,0.5000,1.0000,0.1600,5.0000,0.98117575,0.99230026,1.00702891
