### task_name: approx
### 7 1
### input_signal_factor [0.1, 10.1]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,5.1000,2.0000,0.1900,0.0000,0.40378979,0.39339962,0.37571687
RND_sinc,0,20,0.1000,7.1000,1.5000,0.2500,1.0000,0.25365817,0.24594065,0.24158041
RND_sinc,0,20,0.2000,0.1000,1.0000,0.4000,3.0000,0.40705317,0.40782186,0.38348052
RND_sinc,0,20,0.3000,0.1000,1.5000,0.3700,0.0000,0.48608271,0.48623937,0.45957542
RND_sinc,0,20,0.4000,0.1000,1.0000,0.4000,0.0000,0.49788154,0.47684209,0.46665889
RND_sinc,0,20,0.5000,0.1000,1.5000,0.4000,0.0000,0.61044213,0.58078095,0.58374975
RND_sinc,0,20,0.6000,0.1000,1.5000,0.3700,0.0000,0.76078269,0.74092417,0.75588512
RND_sinc,0,20,0.7000,0.1000,0.5000,0.4000,0.0000,0.70256638,0.67874121,0.68929184
RND_sinc,0,20,0.8000,0.1000,0.5000,0.4000,0.0000,0.71987129,0.71155373,0.73104041
RND_sinc,0,20,0.9000,0.1000,2.0000,0.4000,0.0000,0.62326445,0.64167637,0.62056326
RND_sinc,0,20,1.0000,0.1000,1.5000,0.4000,4.0000,0.57080540,0.56442862,0.55948562
RND_sinc,1,20,0.0000,6.1000,2.5000,0.2200,0.0000,0.40419602,0.39322717,0.37518590
RND_sinc,1,20,0.1000,6.1000,2.5000,0.1900,0.0000,0.39948001,0.39375468,0.38100717
RND_sinc,1,20,0.2000,0.1000,1.5000,0.3700,2.0000,0.41924303,0.40734732,0.39317907
RND_sinc,1,20,0.3000,0.1000,1.5000,0.4000,1.0000,0.42463835,0.42503927,0.40581252
RND_sinc,1,20,0.4000,0.1000,1.0000,0.4000,0.0000,0.47988028,0.46655445,0.45450449
RND_sinc,1,20,0.5000,0.1000,1.0000,0.4000,0.0000,0.52850871,0.52130424,0.50257893
RND_sinc,1,20,0.6000,0.1000,1.0000,0.4000,0.0000,0.52074668,0.51341959,0.48186089
RND_sinc,1,20,0.7000,0.1000,1.0000,0.4000,0.0000,0.54908435,0.53114144,0.51392851
RND_sinc,1,20,0.8000,0.1000,1.0000,0.4000,0.0000,0.60262550,0.59216420,0.56992157
RND_sinc,1,20,0.9000,0.1000,1.0000,0.4000,0.0000,0.78352738,0.77292845,0.75652308
RND_sinc,1,20,1.0000,0.1000,1.0000,0.4000,0.0000,0.64267857,0.64990076,0.63266046
RND_sinc,2,20,0.0000,1.1000,2.5000,0.2500,0.0000,0.40402338,0.39334447,0.37632742
RND_sinc,2,20,0.1000,0.1000,2.5000,0.4000,1.0000,0.40283812,0.39463722,0.37646814
RND_sinc,2,20,0.2000,0.1000,1.0000,0.4000,3.0000,0.41845889,0.41191585,0.39245349
RND_sinc,2,20,0.3000,0.1000,0.5000,0.4000,0.0000,0.54977521,0.53937640,0.53948359
RND_sinc,2,20,0.4000,0.1000,1.5000,0.4000,4.0000,0.59852848,0.59273352,0.59986326
RND_sinc,2,20,0.5000,0.1000,2.0000,0.4000,4.0000,0.69685612,0.69546164,0.68260626
RND_sinc,2,20,0.6000,0.1000,1.5000,0.3700,3.0000,0.61370134,0.59655650,0.58338029
RND_sinc,2,20,0.7000,0.1000,1.0000,0.4000,0.0000,0.66232050,0.67946339,0.66000526
RND_sinc,2,20,0.8000,0.1000,1.0000,0.4000,0.0000,0.82230689,0.79998934,0.80917597
RND_sinc,2,20,0.9000,0.1000,1.0000,0.4000,0.0000,0.63200961,0.64624008,0.65348414
RND_sinc,2,20,1.0000,0.1000,1.0000,0.4000,0.0000,0.64279726,0.65471938,0.63677545
