### task_name: henon2
### 2 0
### input_signal_factor [2, 102]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,92.0000,10.0000,0.2800,2.0000,0.79730689,0.78343034,0.80669217
RND_sinc,0,20,0.1000,12.0000,10.0000,0.0800,3.0000,0.15491600,0.15590227,0.17819574
RND_sinc,0,20,0.2000,22.0000,20.0000,0.0400,2.0000,0.02133030,0.02142744,0.02435143
RND_sinc,0,20,0.3000,2.0000,10.0000,0.0800,2.0000,0.00385770,0.00378607,0.00390212
RND_sinc,0,20,0.4000,2.0000,20.0000,0.1600,0.0000,0.00125846,0.00130598,0.00158137
RND_sinc,0,20,0.5000,2.0000,10.0000,0.0800,0.0000,0.00130329,0.00136415,0.00141147
RND_sinc,0,20,0.6000,2.0000,40.0000,0.0800,0.0000,0.00034342,0.00034235,0.00034823
RND_sinc,0,20,0.7000,2.0000,10.0000,0.0800,0.0000,0.00034985,0.00035681,0.00035227
RND_sinc,0,20,0.8000,12.0000,40.0000,0.0400,0.0000,0.00030631,0.00029702,0.00031481
RND_sinc,0,20,0.9000,12.0000,40.0000,0.0400,0.0000,0.00029042,0.00029008,0.00029817
RND_sinc,0,20,1.0000,2.0000,20.0000,0.0800,0.0000,0.00033563,0.00032660,0.00034481
RND_sinc,1,20,0.0000,42.0000,20.0000,0.2800,0.0000,0.79738262,0.78391429,0.80731366
RND_sinc,1,20,0.1000,32.0000,10.0000,0.0400,2.0000,0.12103146,0.11675444,0.11738755
RND_sinc,1,20,0.2000,12.0000,10.0000,0.0400,1.0000,0.00296746,0.00300726,0.00303756
RND_sinc,1,20,0.3000,12.0000,10.0000,0.0400,1.0000,0.00134911,0.00141220,0.00137450
RND_sinc,1,20,0.4000,2.0000,20.0000,0.0400,0.0000,0.00102100,0.00104963,0.00108718
RND_sinc,1,20,0.5000,2.0000,20.0000,0.0400,0.0000,0.00088688,0.00086325,0.00094697
RND_sinc,1,20,0.6000,12.0000,20.0000,0.0400,0.0000,0.00034554,0.00032979,0.00033845
RND_sinc,1,20,0.7000,12.0000,30.0000,0.0400,0.0000,0.00027124,0.00027003,0.00027623
RND_sinc,1,20,0.8000,12.0000,20.0000,0.0400,0.0000,0.00027926,0.00028782,0.00028658
RND_sinc,1,20,0.9000,2.0000,20.0000,0.0800,0.0000,0.00028257,0.00028320,0.00029087
RND_sinc,1,20,1.0000,12.0000,10.0000,0.0400,0.0000,0.00027873,0.00028210,0.00028809
RND_sinc,2,20,0.0000,12.0000,50.0000,0.3200,0.0000,0.79731263,0.78319214,0.80643162
RND_sinc,2,20,0.1000,22.0000,20.0000,0.0800,2.0000,0.16286013,0.15622925,0.15789301
RND_sinc,2,20,0.2000,12.0000,40.0000,0.0400,3.0000,0.01160335,0.01132194,0.01349671
RND_sinc,2,20,0.3000,2.0000,20.0000,0.1200,0.0000,0.00199288,0.00193397,0.00200926
RND_sinc,2,20,0.4000,12.0000,10.0000,0.0400,0.0000,0.00123953,0.00126717,0.00132183
RND_sinc,2,20,0.5000,2.0000,10.0000,0.0800,1.0000,0.00057378,0.00057901,0.00067368
RND_sinc,2,20,0.6000,12.0000,10.0000,0.0400,1.0000,0.00035911,0.00034555,0.00035500
RND_sinc,2,20,0.7000,12.0000,40.0000,0.0400,0.0000,0.00033743,0.00034267,0.00034688
RND_sinc,2,20,0.8000,12.0000,30.0000,0.0400,0.0000,0.00032116,0.00032314,0.00035100
RND_sinc,2,20,0.9000,12.0000,20.0000,0.0400,0.0000,0.00027734,0.00027505,0.00029271
RND_sinc,2,20,1.0000,2.0000,10.0000,0.0800,0.0000,0.00034309,0.00033298,0.00035072
