### task_name: henon
### 7 0
### input_signal_factor [2, 102]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,300,0.0000,2.0000,30.0000,0.0800,2.0000,0.96132056,0.98280631,0.96278794
RND_sinc,0,300,0.1000,92.0000,40.0000,0.2000,5.0000,0.42985619,0.53646623,0.47080825
RND_sinc,0,300,0.2000,102.0000,40.0000,0.2000,5.0000,0.25797370,0.35605777,0.29756684
RND_sinc,0,300,0.3000,82.0000,50.0000,0.2400,6.0000,0.18035063,0.25949802,0.20610779
RND_sinc,0,300,0.4000,92.0000,40.0000,0.2000,7.0000,0.13133244,0.21447657,0.17514379
RND_sinc,0,300,0.5000,102.0000,30.0000,0.2000,8.0000,0.10899098,0.16986392,0.13462533
RND_sinc,0,300,0.6000,92.0000,30.0000,0.2000,8.0000,0.09854441,0.14824033,0.11067074
RND_sinc,0,300,0.7000,92.0000,30.0000,0.2400,9.0000,0.09355936,0.13974521,0.11652900
RND_sinc,0,300,0.8000,72.0000,40.0000,0.3600,9.0000,0.06136204,0.10642056,0.08529913
RND_sinc,0,300,0.9000,82.0000,40.0000,0.3600,9.0000,0.06166312,0.11062318,0.09115276
RND_sinc,0,300,1.0000,102.0000,20.0000,0.1600,5.0000,0.10100496,0.15952401,0.12706586
RND_sinc,1,300,0.0000,82.0000,20.0000,0.0400,0.0000,0.96239350,0.98247039,0.96189625
RND_sinc,1,300,0.1000,102.0000,50.0000,0.2000,4.0000,0.43947782,0.53452919,0.49978527
RND_sinc,1,300,0.2000,82.0000,50.0000,0.2000,5.0000,0.25639683,0.37413642,0.31783326
RND_sinc,1,300,0.3000,102.0000,50.0000,0.2000,5.0000,0.17386115,0.24260085,0.21482217
RND_sinc,1,300,0.4000,102.0000,40.0000,0.2000,7.0000,0.12848908,0.20917238,0.17397717
RND_sinc,1,300,0.5000,102.0000,30.0000,0.2400,0.0000,0.09860800,0.14743625,0.13010376
RND_sinc,1,300,0.6000,82.0000,40.0000,0.3200,9.0000,0.09548886,0.15401023,0.13976308
RND_sinc,1,300,0.7000,102.0000,30.0000,0.2400,9.0000,0.07882837,0.11761135,0.10337937
RND_sinc,1,300,0.8000,92.0000,40.0000,0.2800,8.0000,0.06265971,0.11309940,0.08966337
RND_sinc,1,300,0.9000,82.0000,40.0000,0.3600,0.0000,0.05443129,0.10221517,0.09629340
RND_sinc,1,300,1.0000,102.0000,30.0000,0.1600,4.0000,0.09370247,0.14412663,0.11427271
RND_sinc,2,300,0.0000,92.0000,50.0000,0.0400,0.0000,0.96220645,0.98235007,0.96102058
RND_sinc,2,300,0.1000,82.0000,30.0000,0.1600,4.0000,0.46252342,0.59035448,0.49755044
RND_sinc,2,300,0.2000,82.0000,30.0000,0.2400,0.0000,0.26323171,0.39605078,0.31678905
RND_sinc,2,300,0.3000,72.0000,40.0000,0.2800,3.0000,0.16807872,0.26888707,0.21397590
RND_sinc,2,300,0.4000,92.0000,30.0000,0.2000,0.0000,0.13991414,0.21705402,0.16050512
RND_sinc,2,300,0.5000,102.0000,30.0000,0.2000,9.0000,0.11294349,0.19013976,0.14631258
RND_sinc,2,300,0.6000,92.0000,40.0000,0.2000,7.0000,0.10459562,0.15831840,0.12477790
RND_sinc,2,300,0.7000,102.0000,40.0000,0.2000,7.0000,0.09271285,0.13642460,0.11452222
RND_sinc,2,300,0.8000,102.0000,20.0000,0.2000,8.0000,0.08412506,0.11806246,0.10633064
RND_sinc,2,300,0.9000,102.0000,40.0000,0.2800,9.0000,0.05436302,0.08987548,0.08479176
RND_sinc,2,300,1.0000,82.0000,40.0000,0.2000,5.0000,0.09340864,0.15378105,0.11880159
