### task_name: narma2
### 5 0
### input_signal_factor [0.002, 0.052]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
sinc,0,100,0.0000,0.0270,0.0000,0.6400,8.0000,0.13427451,0.13004271,0.13545180
sinc,0,100,0.1000,0.0520,1.2000,0.5000,0.0000,0.00049759,0.00062369,0.00054066
sinc,0,100,0.2000,0.0170,0.4000,0.6400,0.0000,0.00032603,0.00037617,0.00030900
sinc,0,100,0.3000,0.0120,1.6000,0.6400,0.0000,0.00033226,0.00043171,0.00036915
sinc,0,100,0.4000,0.0070,0.4000,0.7100,0.0000,0.00035521,0.00043660,0.00042106
sinc,0,100,0.5000,0.0070,1.2000,0.7100,0.0000,0.00041568,0.00052713,0.00046458
sinc,0,100,0.6000,0.0070,1.6000,0.6400,0.0000,0.00033609,0.00043196,0.00037169
sinc,0,100,0.7000,0.0070,2.0000,0.7100,0.0000,0.00045288,0.00049060,0.00044666
sinc,0,100,0.8000,0.0070,2.0000,0.7100,0.0000,0.00042319,0.00050371,0.00043888
sinc,0,100,0.9000,0.0070,0.8000,0.6400,0.0000,0.00044080,0.00055901,0.00043894
sinc,0,100,1.0000,0.0020,1.6000,0.7800,0.0000,0.00041526,0.00049242,0.00045415
sinc,1,100,0.0000,0.0470,0.0000,0.5700,8.0000,0.13423910,0.13006243,0.13544595
sinc,1,100,0.1000,0.0270,2.0000,0.5000,1.0000,0.00279238,0.00294980,0.00324705
sinc,1,100,0.2000,0.0120,1.6000,0.6400,0.0000,0.00030329,0.00038167,0.00031513
sinc,1,100,0.3000,0.0120,1.6000,0.6400,0.0000,0.00026627,0.00035670,0.00028516
sinc,1,100,0.4000,0.0120,0.0000,0.5700,0.0000,0.00042801,0.00050940,0.00044002
sinc,1,100,0.5000,0.0070,1.2000,0.7100,0.0000,0.00034015,0.00040102,0.00035185
sinc,1,100,0.6000,0.0070,0.0000,0.6400,0.0000,0.00027029,0.00037792,0.00030428
sinc,1,100,0.7000,0.0070,2.0000,0.7100,0.0000,0.00040623,0.00042950,0.00037532
sinc,1,100,0.8000,0.0070,1.2000,0.6400,0.0000,0.00040146,0.00046666,0.00042224
sinc,1,100,0.9000,0.0070,2.0000,0.7100,0.0000,0.00053772,0.00061619,0.00060578
sinc,1,100,1.0000,0.0020,2.0000,0.9200,0.0000,0.00039499,0.00043318,0.00042700
sinc,2,100,0.0000,0.0020,1.2000,0.5000,0.0000,0.13418973,0.13009251,0.13572877
sinc,2,100,0.1000,0.0370,0.0000,0.5000,0.0000,0.00073311,0.00085992,0.00077255
sinc,2,100,0.2000,0.0120,0.4000,0.6400,0.0000,0.00038057,0.00045583,0.00039351
sinc,2,100,0.3000,0.0120,0.0000,0.5700,0.0000,0.00049261,0.00056812,0.00049907
sinc,2,100,0.4000,0.0070,0.0000,0.6400,0.0000,0.00044932,0.00053679,0.00045523
sinc,2,100,0.5000,0.0070,0.0000,0.6400,0.0000,0.00039021,0.00043020,0.00036808
sinc,2,100,0.6000,0.0070,1.6000,0.6400,0.0000,0.00040180,0.00046745,0.00042373
sinc,2,100,0.7000,0.0070,1.6000,0.6400,0.0000,0.00028188,0.00034248,0.00029269
sinc,2,100,0.8000,0.0070,1.6000,0.7100,0.0000,0.00033695,0.00039379,0.00032091
sinc,2,100,0.9000,0.0070,0.8000,0.6400,0.0000,0.00028371,0.00035974,0.00029264
sinc,2,100,1.0000,0.0070,1.2000,0.6400,0.0000,0.00038879,0.00044717,0.00042147
gauss,0,100,0.0000,0.0270,0.0000,0.6400,8.0000,0.13427451,0.13004271,0.13545180
gauss,0,100,0.1000,0.0270,0.8000,0.5000,0.0000,0.00073213,0.00082222,0.00074003
gauss,0,100,0.2000,0.0070,0.4000,0.6400,0.0000,0.00041450,0.00046243,0.00039208
gauss,0,100,0.3000,0.0120,0.0000,0.5700,0.0000,0.00038402,0.00042836,0.00042383
gauss,0,100,0.4000,0.0070,1.2000,0.6400,0.0000,0.00049173,0.00053508,0.00050416
gauss,0,100,0.5000,0.0070,0.0000,0.5700,0.0000,0.00046111,0.00057768,0.00044746
gauss,0,100,0.6000,0.0070,0.4000,0.5700,0.0000,0.00050307,0.00059849,0.00053290
gauss,0,100,0.7000,0.0070,0.4000,0.5700,0.0000,0.00053748,0.00054858,0.00052356
gauss,0,100,0.8000,0.0070,0.4000,0.5000,0.0000,0.00049493,0.00056564,0.00047482
gauss,0,100,0.9000,0.0070,0.0000,0.5700,0.0000,0.00053933,0.00064655,0.00053732
gauss,0,100,1.0000,0.0070,0.0000,0.7100,0.0000,0.00047736,0.00052601,0.00048230
gauss,1,100,0.0000,0.0470,0.0000,0.5700,8.0000,0.13423910,0.13006243,0.13544595
gauss,1,100,0.1000,0.0270,1.6000,0.5000,1.0000,0.00421347,0.00443816,0.00465926
gauss,1,100,0.2000,0.0070,0.0000,0.6400,0.0000,0.00040883,0.00046264,0.00041682
gauss,1,100,0.3000,0.0070,0.0000,0.5700,0.0000,0.00038568,0.00041025,0.00036797
gauss,1,100,0.4000,0.0070,0.0000,0.6400,0.0000,0.00045226,0.00048053,0.00043393
gauss,1,100,0.5000,0.0070,0.0000,0.5700,0.0000,0.00034358,0.00044688,0.00042456
gauss,1,100,0.6000,0.0070,0.0000,0.5700,0.0000,0.00032588,0.00040384,0.00031103
gauss,1,100,0.7000,0.0070,1.2000,0.6400,0.0000,0.00045688,0.00055775,0.00048308
gauss,1,100,0.8000,0.0070,0.4000,0.5700,0.0000,0.00048446,0.00058782,0.00048265
gauss,1,100,0.9000,0.0070,0.0000,0.6400,0.0000,0.00048115,0.00057303,0.00053087
gauss,1,100,1.0000,0.0070,0.0000,0.5700,0.0000,0.00061153,0.00064183,0.00060065
gauss,2,100,0.0000,0.0020,1.2000,0.5000,0.0000,0.13418973,0.13009251,0.13572877
gauss,2,100,0.1000,0.0220,0.0000,0.5000,0.0000,0.00083423,0.00096051,0.00091376
gauss,2,100,0.2000,0.0120,1.6000,0.6400,0.0000,0.00056857,0.00058298,0.00053704
gauss,2,100,0.3000,0.0070,0.8000,0.5700,0.0000,0.00046585,0.00054457,0.00048583
gauss,2,100,0.4000,0.0120,0.8000,0.5000,0.0000,0.00057408,0.00065900,0.00052904
gauss,2,100,0.5000,0.0070,1.6000,0.6400,0.0000,0.00046277,0.00055373,0.00049050
gauss,2,100,0.6000,0.0070,0.4000,0.5700,0.0000,0.00051222,0.00062020,0.00052616
gauss,2,100,0.7000,0.0070,0.0000,0.5700,0.0000,0.00057610,0.00074893,0.00057373
gauss,2,100,0.8000,0.0070,0.0000,0.5700,0.0000,0.00053641,0.00062147,0.00051323
gauss,2,100,0.9000,0.0070,0.8000,0.5700,0.0000,0.00051662,0.00061380,0.00055109
gauss,2,100,1.0000,0.0070,0.8000,0.5700,0.0000,0.00032699,0.00040617,0.00034107
oddsinc,0,100,0.0000,0.0270,0.0000,0.6400,8.0000,0.13427451,0.13004271,0.13545180
oddsinc,0,100,0.1000,0.0270,2.0000,0.5000,1.0000,0.00319972,0.00322713,0.00310870
oddsinc,0,100,0.2000,0.0120,1.6000,0.6400,0.0000,0.00038960,0.00043828,0.00040729
oddsinc,0,100,0.3000,0.0120,1.2000,0.6400,0.0000,0.00037435,0.00046978,0.00043286
oddsinc,0,100,0.4000,0.0120,1.6000,0.5700,0.0000,0.00035989,0.00041419,0.00035579
oddsinc,0,100,0.5000,0.0120,1.6000,0.5700,0.0000,0.00031368,0.00038360,0.00033895
oddsinc,0,100,0.6000,0.0120,1.2000,0.5700,0.0000,0.00029327,0.00038393,0.00032270
oddsinc,0,100,0.7000,0.0120,1.6000,0.5700,0.0000,0.00038276,0.00044684,0.00038840
oddsinc,0,100,0.8000,0.0070,1.6000,0.5700,0.0000,0.00031107,0.00036315,0.00031414
oddsinc,0,100,0.9000,0.0070,1.2000,0.5700,0.0000,0.00046992,0.00051822,0.00050725
oddsinc,0,100,1.0000,0.0120,1.2000,0.5700,0.0000,0.00039049,0.00049156,0.00041466
oddsinc,1,100,0.0000,0.0470,0.0000,0.5700,8.0000,0.13423910,0.13006243,0.13544595
oddsinc,1,100,0.1000,0.0220,1.6000,0.5000,1.0000,0.00218751,0.00224386,0.00228096
oddsinc,1,100,0.2000,0.0320,1.2000,0.5000,0.0000,0.00043722,0.00055043,0.00043933
oddsinc,1,100,0.3000,0.0120,0.8000,0.5700,0.0000,0.00042160,0.00047972,0.00044067
oddsinc,1,100,0.4000,0.0120,0.8000,0.5700,0.0000,0.00030929,0.00036909,0.00029790
oddsinc,1,100,0.5000,0.0120,0.8000,0.5700,0.0000,0.00041149,0.00050274,0.00043472
oddsinc,1,100,0.6000,0.0070,0.4000,0.5000,0.0000,0.00047262,0.00050962,0.00049192
oddsinc,1,100,0.7000,0.0070,0.8000,0.5700,0.0000,0.00037016,0.00045741,0.00038347
oddsinc,1,100,0.8000,0.0070,0.4000,0.5700,0.0000,0.00038409,0.00042038,0.00038851
oddsinc,1,100,0.9000,0.0070,0.4000,0.5000,0.0000,0.00038663,0.00039246,0.00035907
oddsinc,1,100,1.0000,0.0120,0.8000,0.5000,0.0000,0.00036382,0.00041945,0.00038530
oddsinc,2,100,0.0000,0.0020,1.2000,0.5000,0.0000,0.13418973,0.13009251,0.13572877
oddsinc,2,100,0.1000,0.0520,2.0000,0.5000,1.0000,0.00127996,0.00134836,0.00133168
oddsinc,2,100,0.2000,0.0170,1.2000,0.5700,0.0000,0.00045835,0.00057472,0.00049241
oddsinc,2,100,0.3000,0.0120,1.6000,0.5700,0.0000,0.00045078,0.00051215,0.00046505
oddsinc,2,100,0.4000,0.0170,0.8000,0.5000,0.0000,0.00041059,0.00057374,0.00046512
oddsinc,2,100,0.5000,0.0120,0.4000,0.5700,0.0000,0.00050675,0.00060672,0.00050867
oddsinc,2,100,0.6000,0.0120,0.4000,0.5000,0.0000,0.00042824,0.00049616,0.00043712
oddsinc,2,100,0.7000,0.0070,1.2000,0.5700,0.0000,0.00046281,0.00056558,0.00045906
oddsinc,2,100,0.8000,0.0070,1.6000,0.5700,0.0000,0.00045833,0.00053670,0.00048860
oddsinc,2,100,0.9000,0.0070,2.0000,0.5700,0.0000,0.00054241,0.00063429,0.00058377
oddsinc,2,100,1.0000,0.0070,2.0000,0.5700,0.0000,0.00031347,0.00042885,0.00034154
