### task_name: narma
### 10 0
### input_signal_factor [0.002, 0.052]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
sinc,0,20,0.0000,0.0320,0.0000,0.7800,3.0000,0.13944798,0.14276187,0.12857307
sinc,0,20,0.1000,0.0070,0.0000,0.8500,0.0000,0.14202874,0.13775593,0.12853344
sinc,0,20,0.2000,0.0070,1.6000,0.8500,0.0000,0.14004810,0.15192603,0.13286077
sinc,0,20,0.3000,0.0020,2.0000,0.9200,0.0000,0.14595065,0.16817701,0.14382493
sinc,0,20,0.4000,0.0020,0.4000,0.9200,0.0000,0.15616043,0.15127704,0.14279191
sinc,0,20,0.5000,0.0520,0.8000,0.7800,0.0000,0.13555458,0.13902834,0.13119351
sinc,0,20,0.6000,0.0020,0.4000,0.7100,0.0000,0.15629924,0.16802759,0.14594975
sinc,0,20,0.7000,0.0020,0.4000,0.7800,0.0000,0.14541316,0.15526281,0.13637412
sinc,0,20,0.8000,0.0020,0.4000,0.7800,0.0000,0.14523094,0.15520061,0.13652117
sinc,0,20,0.9000,0.0020,0.8000,0.9200,0.0000,0.16888799,0.18102724,0.15891990
sinc,0,20,1.0000,0.0020,0.8000,0.7800,0.0000,0.21610551,0.22320827,0.20162256
sinc,1,20,0.0000,0.0470,0.8000,0.8500,0.0000,0.19250316,0.21685343,0.18298082
sinc,1,20,0.1000,0.0520,0.4000,0.7100,0.0000,0.22777597,0.25111836,0.22114375
sinc,1,20,0.2000,0.0170,0.4000,0.7800,0.0000,0.23207243,0.25871475,0.23481531
sinc,1,20,0.3000,0.0120,0.4000,0.8500,1.0000,0.33350075,0.35262615,0.31987138
sinc,1,20,0.4000,0.0120,1.6000,0.9200,0.0000,0.32175383,0.35609231,0.32487947
sinc,1,20,0.5000,0.0220,1.6000,0.9200,0.0000,0.32684551,0.34617755,0.33760033
sinc,1,20,0.6000,0.0020,1.6000,0.8500,0.0000,0.32527771,0.35303912,0.32019356
sinc,1,20,0.7000,0.0020,0.8000,0.8500,0.0000,0.18784707,0.21539603,0.18378291
sinc,1,20,0.8000,0.0020,0.0000,0.8500,0.0000,0.26939276,0.28788525,0.26089876
sinc,1,20,0.9000,0.0020,0.8000,0.7100,0.0000,0.29728400,0.32438527,0.28661266
sinc,1,20,1.0000,0.0020,1.6000,0.7100,0.0000,0.22712059,0.24008191,0.21571016
sinc,2,20,0.0000,0.0170,2.0000,0.7800,0.0000,0.16446980,0.18148055,0.15527886
sinc,2,20,0.1000,0.0020,0.0000,0.8500,0.0000,0.15920659,0.17718793,0.15210190
sinc,2,20,0.2000,0.0020,0.4000,0.7800,0.0000,0.18217113,0.20148846,0.16949489
sinc,2,20,0.3000,0.0020,0.8000,0.7100,0.0000,0.16996895,0.18887670,0.16036402
sinc,2,20,0.4000,0.0020,1.2000,0.7100,0.0000,0.17378802,0.18475875,0.15896613
sinc,2,20,0.5000,0.0070,2.0000,0.7100,0.0000,0.17449913,0.19561706,0.16664164
sinc,2,20,0.6000,0.0020,1.2000,0.8500,0.0000,0.16665611,0.17477118,0.15382731
sinc,2,20,0.7000,0.0020,1.6000,0.7100,0.0000,0.17340109,0.19161960,0.16103272
sinc,2,20,0.8000,0.0020,1.6000,0.7100,0.0000,0.17269654,0.19102858,0.16058646
