### task_name: approx
### 3 5
### input_signal_factor [1, 51]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,51.0000,4.0000,0.1200,0.0000,0.97398602,0.97421629,0.98611793
RND_sinc,0,20,0.1000,51.0000,20.0000,0.1000,2.0000,0.17288630,0.16555187,0.16803550
RND_sinc,0,20,0.2000,51.0000,20.0000,0.1000,0.0000,0.20394695,0.19748732,0.20160138
RND_sinc,0,20,0.3000,26.0000,20.0000,0.2200,5.0000,0.87673882,0.90996396,0.90418870
RND_sinc,0,20,0.4000,26.0000,20.0000,0.2200,6.0000,0.95954000,0.96940768,0.98295997
RND_sinc,0,20,0.5000,16.0000,20.0000,0.2200,6.0000,0.97360026,0.97787214,0.98685175
RND_sinc,0,20,0.6000,41.0000,20.0000,0.1600,0.0000,0.97092646,0.97289987,0.98925215
RND_sinc,0,20,0.7000,1.0000,20.0000,0.1400,4.0000,0.97068944,0.97871577,0.98386551
RND_sinc,0,20,0.8000,1.0000,16.0000,0.0400,0.0000,0.97233931,0.98034550,0.98459887
RND_sinc,0,20,0.9000,1.0000,4.0000,0.1000,5.0000,0.97012370,0.98009082,0.98524653
RND_sinc,0,20,1.0000,1.0000,4.0000,0.0600,2.0000,0.97014565,0.98042848,0.98534142
RND_sinc,1,20,0.0000,1.0000,20.0000,0.1800,1.0000,0.97467856,0.97404979,0.98667426
RND_sinc,1,20,0.1000,51.0000,4.0000,0.1200,2.0000,0.68591464,0.69827403,0.69489991
RND_sinc,1,20,0.2000,36.0000,12.0000,0.1400,0.0000,0.37159399,0.39978478,0.36634810
RND_sinc,1,20,0.3000,51.0000,20.0000,0.1000,3.0000,0.82372762,0.85427024,0.84596167
RND_sinc,1,20,0.4000,16.0000,12.0000,0.0400,2.0000,0.94268036,0.96357688,0.96700369
RND_sinc,1,20,0.5000,41.0000,20.0000,0.1400,7.0000,0.97171781,0.97112513,0.98430631
RND_sinc,1,20,0.6000,6.0000,16.0000,0.1600,0.0000,0.97261622,0.97844948,0.99347232
RND_sinc,1,20,0.7000,1.0000,4.0000,0.0400,0.0000,0.96949023,0.98056093,0.98635551
RND_sinc,1,20,0.8000,1.0000,4.0000,0.0800,4.0000,0.97184118,0.97991268,0.98440203
RND_sinc,1,20,0.9000,1.0000,20.0000,0.0600,0.0000,0.97035983,0.98076880,0.98475012
RND_sinc,1,20,1.0000,1.0000,20.0000,0.1400,0.0000,0.97043100,0.98167044,0.98822333
RND_sinc,2,20,0.0000,21.0000,16.0000,0.1200,0.0000,0.97607150,0.97380254,0.98313618
RND_sinc,2,20,0.1000,51.0000,20.0000,0.1000,4.0000,0.73805359,0.75076855,0.74802479
RND_sinc,2,20,0.2000,41.0000,20.0000,0.1200,2.0000,0.61126987,0.60043871,0.60859813
RND_sinc,2,20,0.3000,46.0000,20.0000,0.1200,7.0000,0.88602477,0.91096463,0.89896573
RND_sinc,2,20,0.4000,31.0000,12.0000,0.2000,9.0000,0.96981469,0.97184505,0.98245646
RND_sinc,2,20,0.5000,41.0000,16.0000,0.2200,9.0000,0.97876705,0.97464503,0.98944685
RND_sinc,2,20,0.6000,1.0000,20.0000,0.1200,3.0000,0.97216582,0.97929031,0.98421587
RND_sinc,2,20,0.7000,1.0000,12.0000,0.0800,2.0000,0.97026830,0.97961698,0.98450800
RND_sinc,2,20,0.8000,1.0000,4.0000,0.0400,1.0000,0.97124371,0.98014719,0.98375733
RND_sinc,2,20,0.9000,1.0000,4.0000,0.0600,2.0000,0.96990769,0.97999454,0.98457733
RND_sinc,2,20,1.0000,1.0000,4.0000,0.0400,0.0000,0.97033239,0.98027833,0.98413273
