### task_name: approx
### 5 1.5
### input_signal_factor [0.5, 20.5]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,4.5000,2.0000,0.1600,0.0000,0.98111559,0.98939363,0.99800976
RND_sinc,0,20,0.1000,12.5000,1.0000,0.1200,0.0000,0.10367689,0.09849700,0.10328513
RND_sinc,0,20,0.2000,2.5000,3.0000,0.2200,0.0000,0.96872751,0.98321013,1.00197907
RND_sinc,0,20,0.3000,0.5000,3.0000,0.1600,1.0000,0.97890666,0.99272281,1.00537300
RND_sinc,0,20,0.4000,0.5000,4.0000,0.1800,2.0000,0.98243521,0.99530201,1.00319493
RND_sinc,0,20,0.5000,0.5000,1.0000,0.2200,5.0000,0.98624299,0.99713440,1.00558775
RND_sinc,0,20,0.6000,0.5000,1.0000,0.2000,5.0000,0.98770670,0.99844142,1.00787966
RND_sinc,0,20,0.7000,0.5000,1.0000,0.2000,0.0000,0.99000388,0.99495429,1.00238886
RND_sinc,0,20,0.8000,0.5000,1.0000,0.1800,0.0000,0.99056280,0.99536766,1.00370371
RND_sinc,0,20,0.9000,0.5000,1.0000,0.1600,0.0000,0.98609417,0.99551253,1.00805856
RND_sinc,0,20,1.0000,0.5000,1.0000,0.2000,6.0000,0.98605506,0.99589331,1.00457809
RND_sinc,1,20,0.0000,10.5000,3.0000,0.1400,0.0000,0.97833905,0.98957977,0.99965401
RND_sinc,1,20,0.1000,0.5000,3.0000,0.2200,0.0000,0.97891172,0.98895544,0.99977295
RND_sinc,1,20,0.2000,18.5000,1.0000,0.1200,0.0000,0.64906931,0.60674814,0.61375624
RND_sinc,1,20,0.3000,8.5000,5.0000,0.2000,5.0000,0.96225205,0.97968204,0.98855806
RND_sinc,1,20,0.4000,0.5000,4.0000,0.1600,1.0000,0.97996580,0.99136695,1.00079659
RND_sinc,1,20,0.5000,8.5000,1.0000,0.2200,0.0000,0.98606762,0.99421063,1.00375593
RND_sinc,1,20,0.6000,0.5000,1.0000,0.1600,3.0000,0.98475728,0.99761855,1.00869613
RND_sinc,1,20,0.7000,0.5000,2.0000,0.2200,0.0000,0.98895189,0.99738822,1.00593670
RND_sinc,1,20,0.8000,0.5000,1.0000,0.2200,0.0000,0.98226656,0.99412771,1.01015406
RND_sinc,1,20,0.9000,4.5000,5.0000,0.2200,0.0000,0.99459374,0.99889609,1.01483109
RND_sinc,1,20,1.0000,0.5000,1.0000,0.0800,1.0000,0.97855458,0.99373786,1.00716205
RND_sinc,2,20,0.0000,4.5000,3.0000,0.1600,0.0000,0.98268144,0.98921723,0.99912341
RND_sinc,2,20,0.1000,4.5000,4.0000,0.2200,3.0000,0.78643466,0.81272968,0.81891837
RND_sinc,2,20,0.2000,0.5000,3.0000,0.2200,4.0000,0.97956993,0.99312582,1.00142319
RND_sinc,2,20,0.3000,0.5000,2.0000,0.2200,5.0000,0.98461385,0.99660790,1.00478929
RND_sinc,2,20,0.4000,0.5000,3.0000,0.1200,0.0000,0.98962422,0.99702076,1.00758074
RND_sinc,2,20,0.5000,0.5000,2.0000,0.1600,4.0000,0.98858850,0.99960210,1.00845495
RND_sinc,2,20,0.6000,8.5000,5.0000,0.0200,9.0000,0.99875237,1.00054559,1.00433512
RND_sinc,2,20,0.7000,10.5000,0.0000,0.1800,9.0000,0.99483958,0.99956183,1.01077396
RND_sinc,2,20,0.8000,18.5000,0.0000,0.0800,6.0000,0.99318178,0.99959880,1.01481251
RND_sinc,2,20,0.9000,10.5000,5.0000,0.0200,9.0000,0.99875696,1.00051359,1.00443081
RND_sinc,2,20,1.0000,0.5000,1.0000,0.2200,6.0000,0.98808960,1.00021463,1.01115668
