### task_name: henon
### 7 0
### input_signal_factor [2, 102]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,32.0000,20.0000,0.0800,2.0000,0.96209126,0.98251998,0.95998109
RND_sinc,0,20,0.1000,92.0000,20.0000,0.1200,6.0000,0.84573379,0.86988152,0.84027703
RND_sinc,0,20,0.2000,52.0000,40.0000,0.1200,2.0000,0.81869853,0.85650234,0.82908239
RND_sinc,0,20,0.3000,102.0000,30.0000,0.2400,0.0000,0.80758557,0.82484639,0.81437770
RND_sinc,0,20,0.4000,82.0000,40.0000,0.2000,0.0000,0.82418963,0.85414690,0.81686753
RND_sinc,0,20,0.5000,22.0000,50.0000,0.2800,0.0000,0.79670992,0.81865365,0.79753027
RND_sinc,0,20,0.6000,102.0000,40.0000,0.2000,5.0000,0.79213281,0.79757231,0.78127382
RND_sinc,0,20,0.7000,22.0000,50.0000,0.2000,0.0000,0.79123409,0.80606147,0.78602788
RND_sinc,0,20,0.8000,72.0000,30.0000,0.2000,9.0000,0.77746943,0.81148744,0.78512184
RND_sinc,0,20,0.9000,22.0000,50.0000,0.2000,5.0000,0.79437633,0.81544343,0.79784607
RND_sinc,0,20,1.0000,32.0000,20.0000,0.2400,0.0000,0.81165591,0.83281186,0.80538459
RND_sinc,1,20,0.0000,12.0000,50.0000,0.1200,3.0000,0.96087826,0.98316198,0.96275088
RND_sinc,1,20,0.1000,72.0000,30.0000,0.1600,9.0000,0.85962069,0.87053839,0.84490467
RND_sinc,1,20,0.2000,42.0000,40.0000,0.1600,6.0000,0.81832549,0.84765812,0.81353632
RND_sinc,1,20,0.3000,82.0000,30.0000,0.0800,5.0000,0.82001373,0.85083944,0.81811018
RND_sinc,1,20,0.4000,12.0000,30.0000,0.2800,2.0000,0.81701576,0.84578771,0.83542282
RND_sinc,1,20,0.5000,32.0000,20.0000,0.2400,0.0000,0.79770807,0.82278748,0.79699549
RND_sinc,1,20,0.6000,92.0000,40.0000,0.1200,5.0000,0.74570818,0.79468282,0.73499118
RND_sinc,1,20,0.7000,62.0000,40.0000,0.2000,8.0000,0.73403135,0.77450173,0.73741459
RND_sinc,1,20,0.8000,72.0000,50.0000,0.2000,0.0000,0.76141232,0.79099185,0.75979216
RND_sinc,1,20,0.9000,92.0000,40.0000,0.1200,5.0000,0.74825852,0.79194042,0.74799676
RND_sinc,1,20,1.0000,102.0000,30.0000,0.0800,6.0000,0.80816155,0.82231181,0.80705497
RND_sinc,2,20,0.0000,32.0000,50.0000,0.0800,0.0000,0.96113187,0.98278074,0.96288599
RND_sinc,2,20,0.1000,92.0000,20.0000,0.1200,8.0000,0.85679249,0.89163192,0.86203481
RND_sinc,2,20,0.2000,92.0000,20.0000,0.1200,6.0000,0.82843539,0.86841764,0.83547312
RND_sinc,2,20,0.3000,22.0000,10.0000,0.2800,7.0000,0.79781504,0.83004570,0.80290861
RND_sinc,2,20,0.4000,82.0000,50.0000,0.1600,0.0000,0.78596826,0.81280701,0.79282217
RND_sinc,2,20,0.5000,102.0000,30.0000,0.0800,4.0000,0.78503938,0.81449377,0.78927999
RND_sinc,2,20,0.6000,12.0000,50.0000,0.3600,7.0000,0.75544425,0.79567113,0.74843611
RND_sinc,2,20,0.7000,42.0000,30.0000,0.3600,0.0000,0.75772127,0.79774213,0.77977115
RND_sinc,2,20,0.8000,62.0000,40.0000,0.3200,9.0000,0.76173388,0.79851287,0.76888296
RND_sinc,2,20,0.9000,22.0000,30.0000,0.2000,8.0000,0.80279518,0.82796982,0.81487198
RND_sinc,2,20,1.0000,72.0000,50.0000,0.2000,7.0000,0.75137215,0.76386358,0.76302302
