### task_name: laser
### 3 0
### input_signal_factor [0.1, 4.1]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,4.1000,1.5000,0.7000,0.0000,0.24350074,0.22587432,0.27172542
RND_sinc,0,20,0.1000,1.7000,1.0000,0.3000,0.0000,0.14104605,0.11137473,0.21405609
RND_sinc,0,20,0.2000,2.1000,2.5000,0.6000,7.0000,0.12959825,0.11626048,0.19976971
RND_sinc,0,20,0.3000,1.3000,0.5000,0.7000,0.0000,0.11417228,0.09869123,0.15817693
RND_sinc,0,20,0.4000,0.5000,0.0000,0.4000,0.0000,0.13593961,0.12033024,0.18826063
RND_sinc,0,20,0.5000,0.9000,2.5000,0.7000,6.0000,0.13297424,0.12099353,0.18961751
RND_sinc,0,20,0.6000,0.9000,1.5000,0.8000,0.0000,0.11217609,0.09884584,0.15916680
RND_sinc,0,20,0.7000,0.5000,1.0000,0.8000,0.0000,0.12699321,0.11416695,0.16421001
RND_sinc,0,20,0.8000,0.9000,0.0000,1.1000,0.0000,0.13024159,0.11009768,0.15094472
RND_sinc,0,20,0.9000,0.9000,0.5000,0.7000,0.0000,0.12246746,0.11473725,0.16364155
RND_sinc,0,20,1.0000,1.7000,1.5000,0.7000,9.0000,0.12338884,0.11905834,0.16252106
RND_sinc,1,20,0.0000,4.1000,1.5000,0.7000,0.0000,0.24569257,0.22880263,0.27484780
RND_sinc,1,20,0.1000,2.5000,2.0000,0.2000,0.0000,0.11912213,0.10998777,0.17355388
RND_sinc,1,20,0.2000,0.5000,1.0000,0.5000,3.0000,0.12014823,0.11487894,0.16962166
RND_sinc,1,20,0.3000,1.7000,2.0000,0.7000,0.0000,0.12685627,0.11696824,0.18887317
RND_sinc,1,20,0.4000,1.3000,0.5000,0.6000,0.0000,0.12768319,0.11418875,0.16833280
RND_sinc,1,20,0.5000,0.1000,1.5000,0.3000,0.0000,0.12444433,0.11277878,0.17770182
RND_sinc,1,20,0.6000,2.9000,0.5000,0.5000,0.0000,0.14327284,0.12822339,0.19931169
RND_sinc,1,20,0.7000,0.9000,1.0000,0.6000,0.0000,0.13398686,0.12667302,0.17453990
RND_sinc,1,20,0.8000,1.3000,0.0000,0.6000,6.0000,0.13578818,0.12438589,0.19010408
RND_sinc,1,20,0.9000,1.7000,1.5000,1.0000,9.0000,0.11841420,0.11654082,0.18790711
RND_sinc,1,20,1.0000,1.3000,1.0000,0.8000,9.0000,0.13418965,0.11889920,0.17621289
RND_sinc,2,20,0.0000,0.9000,2.5000,0.6000,0.0000,0.24162410,0.22258689,0.26637126
RND_sinc,2,20,0.1000,2.1000,2.0000,0.4000,2.0000,0.10912564,0.10753737,0.16990218
RND_sinc,2,20,0.2000,0.5000,0.5000,0.5000,4.0000,0.11689384,0.11016157,0.19678665
RND_sinc,2,20,0.3000,2.9000,1.5000,0.7000,9.0000,0.10999823,0.10613269,0.14383816
RND_sinc,2,20,0.4000,0.5000,1.0000,0.7000,0.0000,0.12061684,0.10885551,0.16644677
RND_sinc,2,20,0.5000,1.3000,1.0000,0.9000,9.0000,0.12392445,0.10954193,0.15527100
RND_sinc,2,20,0.6000,0.5000,1.0000,0.9000,0.0000,0.10694827,0.09612081,0.13426179
RND_sinc,2,20,0.7000,2.5000,0.0000,0.5000,9.0000,0.12360945,0.11811557,0.17603768
RND_sinc,2,20,0.8000,0.9000,2.0000,1.1000,9.0000,0.13421789,0.11665427,0.17314912
RND_sinc,2,20,0.9000,0.5000,1.5000,0.9000,0.0000,0.11577124,0.10315175,0.13330814
RND_sinc,2,20,1.0000,1.3000,1.0000,0.5000,7.0000,0.12703342,0.11848471,0.17509017
