### task_name: narma
### 20 0
### input_signal_factor [0.002, 0.052]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,100,0.0000,0.0520,0.0000,0.9200,0.0000,0.13510583,0.13443776,0.14706937
RND_sinc,0,100,0.1000,0.0070,1.2000,0.9900,2.0000,0.12548306,0.12679041,0.14270776
RND_sinc,0,100,0.2000,0.0320,2.0000,0.9900,3.0000,0.12720474,0.12472145,0.14240564
RND_sinc,0,100,0.3000,0.0120,1.6000,0.9900,1.0000,0.12247634,0.12232692,0.14250467
RND_sinc,0,100,0.4000,0.0020,0.4000,0.9900,0.0000,0.11359488,0.11419777,0.13281456
RND_sinc,0,100,0.5000,0.0020,0.4000,0.9900,0.0000,0.12612816,0.12159589,0.14327485
RND_sinc,0,100,0.6000,0.0020,0.8000,0.9200,0.0000,0.11906956,0.12172250,0.14021071
RND_sinc,0,100,0.7000,0.0020,0.8000,0.9900,2.0000,0.12830522,0.12617751,0.14193283
RND_sinc,0,100,0.8000,0.0020,0.4000,0.9200,0.0000,0.14333881,0.14939256,0.16906037
RND_sinc,0,100,0.9000,0.0020,1.6000,1.0600,1.0000,0.12368961,0.11863269,0.14194647
RND_sinc,0,100,1.0000,0.0020,1.2000,0.9200,0.0000,0.13551472,0.15563820,0.16130733
RND_sinc,1,100,0.0000,0.0270,0.0000,0.8500,5.0000,0.13666777,0.12927411,0.14431292
RND_sinc,1,100,0.1000,0.0220,0.4000,0.8500,1.0000,0.12801009,0.12323788,0.14422024
RND_sinc,1,100,0.2000,0.0020,1.2000,0.9200,1.0000,0.12111197,0.11824888,0.13940144
RND_sinc,1,100,0.3000,0.0070,0.4000,0.9900,0.0000,0.12361272,0.12407634,0.14639457
RND_sinc,1,100,0.4000,0.0170,1.6000,0.9900,4.0000,0.11400665,0.11282589,0.12747982
RND_sinc,1,100,0.5000,0.0020,1.6000,1.0600,1.0000,0.12664045,0.13847787,0.14804285
RND_sinc,1,100,0.6000,0.0020,1.2000,0.9900,0.0000,0.12408509,0.12885369,0.13864962
RND_sinc,1,100,0.7000,0.0020,2.0000,1.0600,0.0000,0.12492301,0.12865505,0.13322868
RND_sinc,1,100,0.8000,0.0020,1.2000,0.9900,2.0000,0.13404486,0.13836251,0.14177897
RND_sinc,1,100,0.9000,0.0020,2.0000,1.0600,0.0000,0.13364222,0.14230327,0.15884707
RND_sinc,1,100,1.0000,0.0020,0.8000,0.9900,0.0000,0.12666390,0.13380049,0.15335459
RND_sinc,2,100,0.0000,0.0520,1.2000,0.9200,0.0000,0.13480864,0.13148585,0.14582260
RND_sinc,2,100,0.1000,0.0070,1.2000,0.9900,3.0000,0.12842195,0.12962127,0.14276505
RND_sinc,2,100,0.2000,0.0070,1.6000,0.9900,0.0000,0.11822903,0.11657675,0.13586105
RND_sinc,2,100,0.3000,0.0070,2.0000,0.9900,1.0000,0.11905605,0.12384178,0.13721584
RND_sinc,2,100,0.4000,0.0020,2.0000,1.0600,0.0000,0.12439500,0.13426737,0.14582170
RND_sinc,2,100,0.5000,0.0020,0.0000,0.9900,0.0000,0.12855943,0.12511408,0.13830815
RND_sinc,2,100,0.6000,0.0020,2.0000,1.1300,0.0000,0.13208424,0.12843887,0.15091061
RND_sinc,2,100,0.7000,0.0020,1.2000,0.9900,0.0000,0.11851590,0.13609282,0.14656768
RND_sinc,2,100,0.8000,0.0020,2.0000,1.0600,0.0000,0.11384111,0.12527128,0.13831156
RND_sinc,2,100,0.9000,0.0020,0.8000,0.9200,1.0000,0.11933789,0.13004519,0.14556866
RND_sinc,2,100,1.0000,0.0020,1.2000,0.9200,1.0000,0.12556996,0.13145029,0.14647700


gauss,0,100,0.0000,0.0520,0.0000,0.9200,0.0000,0.13510583,0.13443776,0.14706937
gauss,0,100,0.1000,0.0520,1.2000,0.9900,5.0000,0.13179011,0.13062571,0.14799861
gauss,0,100,0.2000,0.0070,0.4000,0.8500,0.0000,0.11712597,0.12207715,0.13949379
gauss,0,100,0.3000,0.0020,0.4000,0.9200,0.0000,0.12064733,0.12925748,0.13960316
gauss,0,100,0.4000,0.0120,0.8000,1.1300,5.0000,0.14636100,0.13632881,0.15892419
gauss,0,100,0.5000,0.0120,0.8000,0.8500,5.0000,0.13722957,0.12962414,0.15163773
gauss,0,100,0.6000,0.0020,0.0000,0.8500,0.0000,0.12087109,0.14012722,0.14274955
gauss,0,100,0.7000,0.0020,0.4000,0.9200,0.0000,0.12430439,0.13428380,0.15046378
gauss,0,100,0.8000,0.0020,0.4000,0.8500,0.0000,0.12762612,0.14444959,0.15551206
gauss,0,100,0.9000,0.0020,0.8000,0.9200,0.0000,0.11519099,0.12753289,0.14123682
gauss,0,100,1.0000,0.0020,0.8000,0.7800,0.0000,0.14170620,0.15299258,0.16187669
gauss,1,100,0.0000,0.0270,0.0000,0.8500,5.0000,0.13666777,0.12927411,0.14431292
gauss,1,100,0.1000,0.0120,0.4000,0.8500,2.0000,0.12871031,0.12248215,0.14314413
gauss,1,100,0.2000,0.0020,0.8000,0.9200,1.0000,0.11736572,0.12836703,0.14210438
