### task_name: approx2
### 3 1
### input_signal_factor [3.69563e-312, 4.06519e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,50,0.5000,1.8000,0.7400,0.4600,0.0000,0.35070764,0.39237281,0.32842598,0.09275201
TD_MG,0,50,0.6000,1.2000,0.8600,0.4800,0.0000,0.36780897,0.41044611,0.34319469,0.11123615
TD_MG,0,50,0.7000,1.0000,0.9800,0.3400,0.0000,0.33877512,0.39093698,0.31711457,0.07820584
TD_MG,0,50,0.8000,1.8000,0.7800,0.4600,1.0000,0.34456182,0.35344735,0.31360277,0.12987807
TD_MG,0,50,0.9000,1.2000,0.7800,0.4600,1.0000,0.33335683,0.38283453,0.30759744,0.09434469
TD_MG,0,50,1.0000,1.4000,0.7800,0.4800,1.0000,0.32374740,0.35949753,0.29232214,0.11407276
TD_ikeda,0,50,0.5000,1.0000,0.8200,0.3800,0.0000,0.23010829,0.24518360,0.21042138,0.06405516
TD_ikeda,0,50,0.6000,1.0000,0.7400,0.3600,0.0000,0.21025077,0.22192796,0.19579884,0.05156331
TD_ikeda,0,50,0.7000,1.0000,1.0600,0.3600,0.0000,0.22362831,0.22343968,0.20419000,0.10612965
TD_ikeda,0,50,0.8000,1.0000,0.9000,0.3800,0.0000,0.22961527,0.22332600,0.20585017,0.08902446
TD_ikeda,0,50,0.9000,1.0000,0.7400,0.3600,0.0000,0.20761265,0.21462478,0.19571953,0.09473753
TD_ikeda,0,50,1.0000,1.0000,0.8200,0.3800,0.0000,0.15986301,0.16316861,0.14792066,0.06949596
