### task_name: approx2
### 7 0.1
### input_signal_factor [3.05782e-312, 3.36361e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_ikeda,0,50,0.1000,12.0000,0.2200,0.8400,0.0000,0.06084710,0.06663846,0.06644151,0.06170636
TD_ikeda,0,50,0.2000,13.0000,0.2200,1.2000,7.0000,0.05761765,0.05945314,0.05755514,0.05741185
TD_ikeda,0,50,0.3000,13.0000,0.2200,0.8400,5.0000,0.06171524,0.05976029,0.06535293,0.05450168
TD_ikeda,0,50,0.4000,12.0000,0.2200,1.2000,7.0000,0.04303900,0.04460622,0.04223249,0.05055691
TD_ikeda,0,50,0.5000,12.0000,0.2200,1.2000,0.0000,0.03846743,0.04006839,0.03795506,0.05101602
TD_ikeda,0,50,0.6000,12.0000,0.2400,1.2000,6.0000,0.03880862,0.04084036,0.03899236,0.04898637
TD_ikeda,0,50,0.7000,12.0000,0.2200,1.0000,6.0000,0.04907544,0.04985139,0.04955332,0.05554520
TD_ikeda,0,50,0.8000,13.0000,0.2200,1.0400,6.0000,0.04029510,0.04221283,0.04148916,0.05093351
TD_ikeda,0,50,0.9000,12.0000,0.2400,1.1200,7.0000,0.04616777,0.04711888,0.04694525,0.05424082
TD_ikeda,0,50,1.0000,13.0000,0.2200,1.0800,7.0000,0.04237669,0.04446156,0.04473517,0.05370753
TD_MG,0,50,0.1000,5.0000,0.2200,1.1200,9.0000,28.60080993,28.23063109,33.36461615,0.75738927
TD_MG,0,50,0.2000,5.5000,0.2600,1.2000,9.0000,28.79323047,29.38178852,31.18635296,0.73097403
TD_MG,0,50,0.3000,6.0000,0.2200,1.1600,9.0000,28.82983381,29.60268713,30.59323515,0.79059408
TD_MG,0,50,0.4000,5.5000,0.2600,1.1200,9.0000,28.78540688,29.76128967,30.54992687,0.84005175
TD_MG,0,50,0.5000,5.5000,0.2400,1.0000,9.0000,28.80863638,29.86896957,30.37461749,0.77046863
TD_MG,0,50,0.6000,9.5000,0.3600,1.1200,9.0000,28.68708648,29.90422528,30.58955856,0.87311475
TD_MG,0,50,0.7000,8.0000,0.4000,0.9200,9.0000,28.86658800,29.89154509,30.31467863,0.95051767
TD_MG,0,50,0.8000,10.0000,0.4000,1.1200,9.0000,28.83674308,29.91617500,30.25732443,0.97435227
