### task_name: approx
### 3 0.5
### input_signal_factor [5.34982e-312, 5.8848e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,20,0.1000,3.6000,1.0600,0.3200,0.0000,0.00023302,0.00022473,0.00022450,0.00505925
TD_MG,0,20,0.2000,4.4000,0.9400,0.4000,0.0000,0.00010878,0.00010956,0.00010552,0.00351339
TD_MG,0,20,0.3000,4.4000,0.8600,0.4400,0.0000,0.00024469,0.00024211,0.00022809,0.00511667
TD_MG,1,20,0.1000,4.8000,0.7800,0.3400,0.0000,0.00024977,0.00024760,0.00024593,0.00526556
TD_MG,1,20,0.2000,4.0000,0.9400,0.3200,0.0000,0.00025064,0.00024823,0.00023187,0.00515520
TD_MG,1,20,0.3000,4.0000,0.9000,0.4000,0.0000,0.00062754,0.00057472,0.00059874,0.00804557
TD_ikeda,0,20,0.1000,0.8800,1.0600,0.3200,0.0000,0.00024061,0.00022324,0.00023268,0.00521413
TD_ikeda,0,20,0.2000,0.9400,0.9000,0.3600,0.0000,0.00011841,0.00011604,0.00011684,0.00372886
TD_ikeda,0,20,0.3000,0.9200,0.9400,0.3200,0.0000,0.00012760,0.00012785,0.00012296,0.00384436
TD_ikeda,1,20,0.1000,1.0000,0.7800,0.4600,0.0000,0.00044476,0.00044120,0.00039865,0.00673109
TD_ikeda,1,20,0.2000,0.9200,0.9400,0.3400,0.0000,0.00022099,0.00021064,0.00019481,0.00479389
TD_ikeda,1,20,0.3000,0.9800,0.9000,0.3200,0.0000,0.00027992,0.00026832,0.00026316,0.00551950
