### task_name: henon2
### 5 0
### input_signal_factor [5.16393e-312, 5.68032e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,20,0.2000,2.0000,1.0200,0.3800,0.0000,0.90171460,0.91294416,0.90202464,0.57670142
TD_MG,0,20,0.3000,2.0000,0.7400,0.3000,0.0000,0.83909594,0.85667149,0.83479143,0.45888827
TD_MG,0,20,0.4000,2.0000,0.8600,0.2600,0.0000,0.84159106,0.85645633,0.84536856,0.46854212
TD_MG,0,20,0.5000,1.6000,1.1000,0.3600,0.0000,0.82482663,0.83586701,0.82989704,0.49679026
TD_MG,0,20,0.6000,2.0000,1.0200,0.3000,0.0000,0.78565729,0.81367062,0.80878972,0.35740479
TD_ikeda,0,20,0.2000,20.0000,0.9400,0.2400,5.0000,0.68345241,0.66994803,0.67760756,0.32076352
TD_ikeda,0,20,0.3000,20.0000,0.9400,0.3400,0.0000,0.60602548,0.61058711,0.61088859,0.20599546
TD_ikeda,0,20,0.4000,20.0000,0.9800,0.2600,0.0000,0.58896185,0.58184359,0.56368604,0.25775079
TD_ikeda,0,20,0.5000,20.0000,1.0200,0.2200,0.0000,0.53689592,0.54766608,0.53213321,0.18136589
TD_ikeda,0,20,0.6000,20.0000,0.9400,0.2400,0.0000,0.51767998,0.53972744,0.54500355,0.20314231
