### task_name: henon
### 3 0
### input_signal_factor [4.79982e-312, 5.2798e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,20,0.0000,1.0000,0.7400,0.3200,0.0000,0.99995092,1.00010975,1.00033453,inf
TD_MG,0,20,0.1000,2.0000,0.9000,0.3600,0.0000,0.59351035,0.59476383,0.58806683,0.25860155
TD_MG,0,20,0.2000,2.4000,0.7800,0.4400,0.0000,0.33586784,0.34397927,0.34950505,0.12491996
TD_MG,0,20,0.3000,2.2000,0.9000,0.4400,0.0000,0.27708842,0.27643716,0.27659931,0.12625448
TD_MG,0,20,0.4000,2.2000,0.9000,0.3200,0.0000,0.23165662,0.24200401,0.24743966,0.11128678
TD_MG,0,20,0.5000,2.2000,0.8600,0.3200,0.0000,0.23591880,0.23936918,0.24693043,0.11894104
TD_MG,0,20,0.6000,1.8000,1.0600,0.3800,0.0000,0.21822016,0.21564431,0.23013679,0.11605020
TD_MG,0,20,0.7000,2.0000,1.1000,0.4600,1.0000,0.24132312,0.24333034,0.26184067,0.08553720
TD_MG,0,20,0.8000,1.8000,1.1000,0.3800,0.0000,0.22269556,0.22130026,0.23301256,0.11134016
TD_MG,0,20,0.9000,2.8000,0.8200,0.5000,0.0000,0.21346489,0.21926481,0.23087778,0.11379043
TD_MG,0,20,1.0000,2.6000,0.9000,0.4000,0.0000,0.22946007,0.23530447,0.24572913,0.13482830
TD_MG,1,20,0.0000,1.0000,0.7400,0.3200,0.0000,0.99995092,1.00010975,1.00033453,inf
TD_MG,1,20,0.1000,2.4000,0.7400,0.4800,0.0000,0.59660969,0.59765883,0.59189208,0.25495201
TD_MG,1,20,0.2000,1.6000,1.0200,0.4200,0.0000,0.39859770,0.38645139,0.39682976,0.15134849
TD_MG,1,20,0.3000,2.2000,0.9400,0.4400,0.0000,0.27465305,0.28079098,0.28055690,0.13156418
TD_MG,1,20,0.4000,2.2000,0.8600,0.3400,0.0000,0.23637612,0.23372495,0.24357277,0.12311858
TD_MG,1,20,0.5000,2.8000,0.7400,0.4800,0.0000,0.20547416,0.20433973,0.21227416,0.10580498
TD_MG,1,20,0.6000,2.4000,0.8600,0.4400,0.0000,0.24235535,0.24327641,0.24938946,0.09899868
TD_MG,1,20,0.7000,2.2000,0.9400,0.4600,0.0000,0.21608553,0.21989337,0.22374651,0.09688420
TD_MG,1,20,0.8000,1.8000,1.1000,0.4800,0.0000,0.22287555,0.22931586,0.23504848,0.08439195
TD_MG,1,20,0.9000,2.2000,0.9000,0.4800,0.0000,0.22683915,0.22248640,0.22678797,0.09222002
TD_MG,1,20,1.0000,2.4000,0.9400,0.4600,0.0000,0.20925900,0.21490373,0.22504552,0.09120942
TD_MG,2,20,0.0000,1.0000,0.7400,0.3200,0.0000,0.99995092,1.00010975,1.00033453,inf
TD_MG,2,20,0.1000,1.6000,1.1000,0.3400,0.0000,0.59985857,0.59767786,0.59299606,0.26253770
TD_MG,2,20,0.2000,2.2000,0.8200,0.3400,0.0000,0.36343925,0.35145988,0.37615605,0.15790811
TD_MG,2,20,0.3000,1.8000,0.9800,0.3800,0.0000,0.29692604,0.29739258,0.30024159,0.13233022
TD_MG,2,20,0.4000,2.2000,0.8200,0.4000,0.0000,0.25341704,0.25259869,0.26028182,0.11231903
TD_MG,2,20,0.5000,2.2000,0.8600,0.3600,0.0000,0.23704333,0.24541968,0.25230052,0.09666571
TD_MG,2,20,0.6000,2.0000,0.9800,0.4600,0.0000,0.22476260,0.23484801,0.23429184,0.09910288
TD_MG,2,20,0.7000,2.0000,0.9400,0.3600,0.0000,0.23486037,0.22991327,0.23660190,0.12126594
TD_MG,2,20,0.8000,2.6000,0.7400,0.4200,0.0000,0.22653084,0.22552093,0.23893523,0.09828735
TD_MG,2,20,0.9000,2.2000,0.8600,0.4200,0.0000,0.23398413,0.23904598,0.25161896,0.12384558
TD_MG,2,20,1.0000,2.0000,0.9800,0.4200,0.0000,0.24071350,0.24226964,0.24900886,0.12116475
TD_ikeda,0,20,0.0000,3.0000,0.7400,0.3200,0.0000,0.99995092,1.00010975,1.00033453,inf
TD_ikeda,0,20,0.1000,3.6000,0.8200,0.3200,0.0000,0.52776402,0.52039707,0.52660497,0.26381699
TD_ikeda,0,20,0.2000,3.0000,0.9400,0.4800,0.0000,0.28786120,0.29719816,0.28822131,0.16246105
TD_ikeda,0,20,0.3000,5.4000,0.9800,0.3800,0.0000,0.20899059,0.19479561,0.20183893,0.11242309
TD_ikeda,0,20,0.4000,3.9000,0.7400,0.3200,0.0000,0.13227875,0.13260084,0.13134180,0.09781996
TD_ikeda,0,20,0.5000,5.4000,1.0200,0.4000,0.0000,0.10481567,0.09824975,0.10201480,0.08223274
TD_ikeda,0,20,0.6000,5.7000,0.9400,0.3400,0.0000,0.08826773,0.08577030,0.09119102,0.07851753
TD_ikeda,0,20,0.7000,3.3000,0.9800,0.4200,0.0000,0.07202301,0.07515238,0.07750181,0.06996499
TD_ikeda,0,20,0.8000,3.6000,1.0200,0.4600,0.0000,0.08186648,0.08152077,0.08448916,0.07180467
TD_ikeda,0,20,0.9000,4.8000,0.7800,0.4400,0.0000,0.06068791,0.05926871,0.06514928,0.06489210
TD_ikeda,0,20,1.0000,4.2000,0.8600,0.4200,0.0000,0.05789014,0.05888238,0.06229655,0.06607222
TD_ikeda,1,20,0.0000,3.0000,0.7400,0.3200,0.0000,0.99995092,1.00010975,1.00033453,inf
TD_ikeda,1,20,0.1000,3.0000,0.9800,0.3800,0.0000,0.53169497,0.52597349,0.53119653,0.26624133
TD_ikeda,1,20,0.2000,3.0000,0.8600,0.3800,0.0000,0.25383068,0.25289342,0.25160509,0.14162854
TD_ikeda,1,20,0.3000,3.9000,0.7800,0.4600,0.0000,0.18884242,0.19502987,0.18978440,0.11648631
TD_ikeda,1,20,0.4000,4.2000,0.9800,0.3800,0.0000,0.15463891,0.15638150,0.15891566,0.11140490
TD_ikeda,1,20,0.5000,3.9000,0.9400,0.4000,0.0000,0.10490385,0.11463732,0.10254895,0.07768833
TD_ikeda,1,20,0.6000,3.6000,0.7800,0.3600,0.0000,0.10528592,0.10087651,0.10115623,0.08463992
TD_ikeda,1,20,0.7000,4.2000,0.7400,0.3400,0.0000,0.06697144,0.06855358,0.06922696,0.07168391
TD_ikeda,1,20,0.8000,4.2000,0.8200,0.3400,0.0000,0.06972143,0.07010955,0.07117067,0.07213457
TD_ikeda,1,20,0.9000,3.9000,0.9800,0.3400,0.0000,0.06676576,0.06720394,0.06516658,0.06478507
TD_ikeda,1,20,1.0000,4.8000,0.7800,0.3400,0.0000,0.07636183,0.06861262,0.08363917,0.07435302
TD_ikeda,2,20,0.0000,3.0000,0.7400,0.3200,0.0000,0.99995092,1.00010975,1.00033453,inf
TD_ikeda,2,20,0.1000,3.9000,0.7400,0.3400,0.0000,0.53167405,0.52689547,0.52472066,0.28745646
TD_ikeda,2,20,0.2000,3.3000,0.8600,0.3200,0.0000,0.23125890,0.23581337,0.23184949,0.14166041
TD_ikeda,2,20,0.3000,5.4000,0.9400,0.4400,0.0000,0.19068345,0.20152947,0.20156925,0.10291937
TD_ikeda,2,20,0.4000,3.9000,0.9000,0.3600,0.0000,0.15849428,0.15174228,0.16009434,0.09368828
TD_ikeda,2,20,0.5000,3.3000,1.0200,0.4200,0.0000,0.09676548,0.09643809,0.09435016,0.06979898
TD_ikeda,2,20,0.6000,3.3000,1.0600,0.3200,0.0000,0.09106122,0.08741953,0.09409240,0.07622497
TD_ikeda,2,20,0.7000,3.6000,1.0200,0.4200,0.0000,0.07544470,0.07245382,0.07789584,0.07182390
TD_ikeda,2,20,0.8000,3.6000,0.9800,0.4400,1.0000,0.06489299,0.06797430,0.06833088,0.06257234
TD_ikeda,2,20,0.9000,5.1000,0.7800,0.5000,0.0000,0.06834934,0.06731232,0.06785818,0.06731935
TD_ikeda,2,20,1.0000,4.5000,0.8200,0.4600,0.0000,0.06611173,0.06707420,0.07203526,0.07064557
