### task_name: laser
### 1 0
### input_signal_factor [2.16179e-312, 2.37797e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,20,0.0000,0.7000,0.7400,0.3200,5.0000,2.40751393,2.57847034,2.87349390,inf
TD_MG,0,20,0.1000,1.7000,1.1000,0.4800,0.0000,0.02084745,0.02289098,0.02957593,0.02633516
TD_MG,0,20,0.2000,1.4000,0.8600,0.3200,0.0000,0.01590239,0.01742799,0.02314926,0.02634830
TD_MG,0,20,0.3000,1.5000,0.9400,0.4600,0.0000,0.01455674,0.01628600,0.02484831,0.02936430
TD_MG,0,20,0.4000,1.0000,1.0200,0.3600,0.0000,0.01432300,0.01595582,0.02412774,0.02902628
TD_MG,0,20,0.5000,1.2000,0.9400,0.4400,0.0000,0.01471861,0.01692588,0.02317126,0.02512135
TD_MG,0,20,0.6000,1.3000,0.8600,0.4000,0.0000,0.01469767,0.01610151,0.02636409,0.02941504
TD_MG,0,20,0.7000,0.9000,0.7800,0.3800,0.0000,0.01661984,0.01820343,0.02743569,0.03029081
TD_MG,0,20,0.8000,1.3000,0.9400,0.3800,0.0000,0.01546650,0.01788634,0.02736623,0.02977210
TD_MG,0,20,0.9000,0.8000,0.9800,0.3200,0.0000,0.01695300,0.01871583,0.02828693,0.03037786
TD_MG,0,20,1.0000,0.9000,0.9800,0.4000,0.0000,0.01833537,0.02082314,0.02788713,0.03061737
TD_MG,1,20,0.0000,0.7000,0.7400,0.3200,5.0000,2.40751393,2.57847034,2.87349390,inf
TD_MG,1,20,0.1000,1.7000,1.0600,0.4000,0.0000,0.02094023,0.02280694,0.02914022,0.02482558
TD_MG,1,20,0.2000,1.1000,0.8200,0.5000,0.0000,0.01585896,0.01783563,0.02467767,0.02755614
TD_MG,1,20,0.3000,1.3000,1.0600,0.3200,0.0000,0.01558323,0.01686909,0.02574746,0.02951485
TD_MG,1,20,0.4000,1.7000,0.9400,0.4600,0.0000,0.01484435,0.01666567,0.02323145,0.02634594
TD_MG,1,20,0.5000,1.7000,0.7800,0.4000,0.0000,0.01574921,0.01795033,0.02449498,0.02755357
TD_MG,1,20,0.6000,1.7000,0.8600,0.3600,0.0000,0.01495944,0.01742008,0.02600310,0.02691990
TD_MG,1,20,0.7000,1.7000,0.7800,0.4800,0.0000,0.01568688,0.01872861,0.02422468,0.02580945
TD_MG,1,20,0.8000,1.2000,0.9000,0.3800,0.0000,0.01768105,0.02014812,0.03415055,0.03270482
TD_MG,1,20,0.9000,0.7000,0.7400,0.3800,0.0000,0.01722318,0.01998381,0.03119868,0.03162092
TD_MG,1,20,1.0000,0.9000,0.7800,0.5000,0.0000,0.01769691,0.01952153,0.02526749,0.02727877
TD_MG,2,20,0.0000,0.7000,0.7400,0.3200,5.0000,2.40751393,2.57847034,2.87349390,inf
TD_MG,2,20,0.1000,1.7000,1.0200,0.4400,0.0000,0.02114903,0.02328709,0.02988239,0.02680626
TD_MG,2,20,0.2000,1.6000,1.0600,0.3400,0.0000,0.01649972,0.01824786,0.02310766,0.02471325
TD_MG,2,20,0.3000,1.7000,1.1000,0.4400,0.0000,0.01446218,0.01651622,0.02106836,0.02601994
TD_MG,2,20,0.4000,1.7000,0.9400,0.4800,0.0000,0.01557212,0.01810088,0.02355124,0.02699305
TD_MG,2,20,0.5000,1.1000,0.9800,0.4800,0.0000,0.01507954,0.01687417,0.02707761,0.03160584
TD_MG,2,20,0.6000,0.7000,0.9800,0.4400,0.0000,0.01614505,0.01736935,0.02741571,0.03003647
TD_MG,2,20,0.7000,1.0000,0.9400,0.4200,0.0000,0.01647073,0.01844433,0.03054967,0.03276145
TD_MG,2,20,0.8000,0.8000,1.0600,0.4000,0.0000,0.01769785,0.01980360,0.02845490,0.02974360
