### task_name: narma
### 10 0
### input_signal_factor [1.60139e-313, 1.76153e-312]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
STD_MG,0,100,0.1000,1.0000,0.2800,1.1000,0.0000,0.11392164,0.12084031,0.11392743,0.06249041
STD_MG,0,100,0.2000,0.8000,0.4400,0.7400,0.0000,0.09016938,0.10148236,0.09088279,0.05904133
STD_MG,0,100,0.3000,0.8000,0.2800,1.0600,0.0000,0.07908365,0.08715182,0.07883345,0.05504299
STD_MG,0,100,0.4000,0.9000,0.4400,1.1000,0.0000,0.08311995,0.08624062,0.08368579,0.05566369
STD_MG,0,100,0.5000,0.9000,0.4000,1.1000,0.0000,0.07194836,0.07637725,0.07706112,0.04806629
STD_MG,0,100,0.6000,0.9000,0.3200,0.9800,0.0000,0.07997081,0.08273126,0.07576066,0.05265044
STD_MG,0,100,0.7000,0.4000,0.5200,1.0200,0.0000,0.07382498,0.08571717,0.07178254,0.05209062
STD_MG,0,100,0.8000,0.4000,0.3200,1.0600,0.0000,0.07442380,0.08352635,0.07571988,0.05363843
STD_MG,0,100,0.9000,0.9000,0.3600,0.9000,0.0000,0.07314813,0.08895869,0.07370410,0.05027495
STD_ikeda,0,100,0.1000,1.8000,0.4400,0.9400,0.0000,0.12044710,0.10997108,0.12673065,0.06266260
STD_ikeda,0,100,0.2000,2.0000,0.3600,1.1000,0.0000,0.10317233,0.09996657,0.10755060,0.05957823
STD_ikeda,0,100,0.3000,1.0000,0.4000,1.0200,0.0000,0.09643354,0.10085406,0.09691668,0.06184219
STD_ikeda,0,100,0.4000,1.0000,0.4800,1.0600,0.0000,0.10718803,0.11285784,0.10212490,0.06328912
STD_ikeda,0,100,0.5000,1.4000,0.2800,1.1000,0.0000,0.10613639,0.12188277,0.10689568,0.06424434
STD_ikeda,0,100,0.6000,1.1000,0.2800,0.9800,0.0000,0.12772957,0.14384476,0.13152954,0.07391727
STD_ikeda,0,100,0.7000,1.5000,0.2800,1.1000,0.0000,0.12585706,0.14595527,0.13316073,0.07185398
