### task_name: narma
### 10 0
### input_signal_factor [0.04, 0.06]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,20,0.6000,0.0480,1.0000,0.8400,0.0000,0.22963841,0.21943671,0.21071815,0.45904047
TD_MG,0,20,0.7000,0.0440,0.9500,0.8800,0.0000,0.23211334,0.21944779,0.21381677,0.46240325
TD_MG,0,20,0.8000,0.0540,1.0000,0.8800,0.0000,0.22419838,0.21817955,0.20613361,0.45401939
TD_MG,0,20,0.9000,0.0440,0.8500,0.9200,0.0000,0.23584035,0.22215881,0.21495396,0.46363128
TD_MG,0,20,1.0000,0.0600,0.8500,0.8800,0.0000,0.22345229,0.21890668,0.20772680,0.45577055
TD_ikeda,0,20,0.6000,0.0560,0.7500,1.1200,0.0000,0.49126238,0.50220301,0.49135170,0.70096484
TD_ikeda,0,20,0.7000,0.0480,0.7000,1.0000,0.0000,0.58734827,0.61257643,0.59641077,0.77227635
TD_ikeda,0,20,0.8000,0.0560,0.7000,1.0400,0.0000,0.63219648,0.65520010,0.63410168,0.79630502
TD_ikeda,0,20,0.9000,0.0600,0.7500,1.0800,0.0000,0.64162281,0.67140436,0.64263813,0.80164714
TD_ikeda,0,20,1.0000,0.0420,0.9000,1.0800,2.0000,0.65058698,0.68487478,0.64946339,0.80589292
