function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse
mackey50,0,50,0.0000,0.0000,0.1500,0.8000,9.0000,0.99476743,1.01240214,0.99507323
mackey50,0,50,0.1000,0.3000,0.3500,1.2000,0.0000,0.21714378,0.20004594,0.20219460
mackey50,0,50,0.2000,0.5000,0.3000,1.1000,0.0000,0.18958421,0.17019402,0.17938462
mackey50,0,50,0.3000,0.5000,0.3500,0.8000,0.0000,0.18102373,0.16479621,0.17481903
mackey50,0,50,0.4000,0.5000,0.3000,0.8000,0.0000,0.17217353,0.15917456,0.16996029
mackey50,0,50,0.5000,0.3000,0.3500,1.1000,0.0000,0.17255639,0.15199148,0.16994046
mackey50,0,50,0.6000,0.2500,0.3000,1.1000,0.0000,0.17303996,0.15959743,0.17130433
mackey50,0,50,0.7000,0.4000,0.3000,1.0000,0.0000,0.17614488,0.16224142,0.17620219
mackey50,0,50,0.8000,0.2500,0.3000,1.1000,0.0000,0.17168067,0.16149250,0.17157950
mackey50,0,50,0.9000,0.4000,0.3500,0.9000,0.0000,0.16900620,0.15937795,0.16812265
mackey50,0,50,1.0000,0.4000,0.3000,0.9000,0.0000,0.16713339,0.16376151,0.16725563
mackey50,1,50,0.0000,0.0000,0.1500,0.8000,9.0000,0.99476743,1.01240214,0.99507323
mackey50,1,50,0.1000,0.2000,0.3000,1.1000,0.0000,0.22537518,0.20203501,0.20586216
mackey50,1,50,0.2000,0.4500,0.2500,1.1000,0.0000,0.18941265,0.16721025,0.17912699
mackey50,1,50,0.3000,0.3000,0.3500,1.2000,0.0000,0.17445641,0.16574052,0.17242531
mackey50,1,50,0.4000,0.3000,0.3500,1.1000,0.0000,0.17391147,0.16114201,0.17113395
mackey50,1,50,0.5000,0.5000,0.3500,0.8000,0.0000,0.15993174,0.15323634,0.16154892
mackey50,1,50,0.6000,0.3500,0.2000,1.0000,0.0000,0.17245463,0.15012535,0.16673723
mackey50,1,50,0.7000,0.5000,0.2000,1.0000,0.0000,0.17042252,0.15562996,0.16966686
mackey50,1,50,0.8000,0.3000,0.3000,0.9000,0.0000,0.17061066,0.15813479,0.16731910
mackey50,1,50,0.9000,0.4500,0.2500,0.9000,0.0000,0.16616745,0.15546055,0.16438476
mackey50,1,50,1.0000,0.3500,0.2500,0.9000,0.0000,0.16646777,0.15872656,0.16853387
mackey50,2,50,0.0000,0.0000,0.1500,0.8000,9.0000,0.99476743,1.01240214,0.99507323
mackey50,2,50,0.1000,0.4500,0.3000,1.2000,0.0000,0.21428313,0.19813834,0.20201596
mackey50,2,50,0.2000,0.2500,0.3000,1.2000,0.0000,0.18132086,0.16857139,0.17485337
mackey50,2,50,0.3000,0.5000,0.3000,0.8000,0.0000,0.17992300,0.16206654,0.17242539
mackey50,2,50,0.4000,0.5000,0.3500,0.9000,0.0000,0.17899514,0.16051460,0.17664112
mackey50,2,50,0.5000,0.4000,0.1500,1.1000,0.0000,0.17355009,0.15736790,0.17108502
mackey50,2,50,0.6000,0.4000,0.2500,0.9000,0.0000,0.17325869,0.15904758,0.16914991
mackey50,2,50,0.7000,0.4500,0.3500,0.9000,0.0000,0.16869893,0.15431288,0.16848179
mackey50,2,50,0.8000,0.4000,0.2000,0.9000,0.0000,0.16906825,0.15403501,0.16574124
mackey50,2,50,0.9000,0.4000,0.2500,0.9000,0.0000,0.16400187,0.15804125,0.16560102
mackey50,2,50,1.0000,0.4000,0.3500,0.9000,0.0000,0.16543267,0.16038037,0.16815755

mackey100,0,100,0.0000,0.1000,0.2200,0.8200,0.0000,0.99474415,1.01239881,0.99523003
mackey100,0,100,0.1000,0.3000,0.2800,0.8200,0.0000,0.18596896,0.18661644,0.18067933
mackey100,0,100,0.2000,0.1500,0.2600,0.8200,0.0000,0.16370961,0.15612566,0.16160309
mackey100,0,100,0.3000,0.1500,0.2400,0.8200,0.0000,0.15577719,0.14843578,0.15537420
mackey100,0,100,0.4000,0.1500,0.2600,0.8200,0.0000,0.15113067,0.14481580,0.15519082
mackey100,0,100,0.5000,0.1500,0.2200,0.8200,0.0000,0.15480790,0.14875307,0.16097530
mackey100,0,100,0.6000,0.1000,0.3000,0.8200,0.0000,0.14826089,0.14538228,0.15572692
mackey100,0,100,0.7000,0.1500,0.2400,0.8400,0.0000,0.14616653,0.14612226,0.15815488
mackey100,0,100,0.8000,0.1500,0.2400,0.8600,0.0000,0.14637173,0.14769438,0.16000561
mackey100,0,100,0.9000,0.1000,0.2800,0.8800,0.0000,0.15238076,0.15127557,0.16156720
mackey100,0,100,1.0000,0.1000,0.2400,0.8800,0.0000,0.15371219,0.15016369,0.15826731
mackey100,1,100,0.0000,0.1000,0.2200,0.8200,0.0000,0.99474415,1.01239881,0.99523003
mackey100,1,100,0.1000,0.1500,0.2800,0.8200,0.0000,0.18572744,0.17794781,0.17628335
mackey100,1,100,0.2000,0.2000,0.2400,0.8200,0.0000,0.17957439,0.16990646,0.17387211
mackey100,1,100,0.3000,0.1500,0.2800,0.8200,0.0000,0.16471212,0.15391473,0.16133200
mackey100,1,100,0.4000,0.2000,0.2400,0.8200,0.0000,0.16183465,0.15091641,0.16043572
mackey100,1,100,0.5000,0.3500,0.2200,0.8200,0.0000,0.15581581,0.15093163,0.16049477
mackey100,1,100,0.6000,0.2000,0.2600,0.8200,0.0000,0.15893073,0.15504033,0.16387597
mackey100,1,100,0.7000,0.1500,0.2800,0.8800,0.0000,0.15867521,0.15367822,0.16506545
mackey100,1,100,0.8000,0.1500,0.2200,0.9000,0.0000,0.15946320,0.15169888,0.16208537
mackey100,1,100,0.9000,0.1000,0.2600,0.9000,0.0000,0.15028282,0.14610159,0.15158645
mackey100,1,100,1.0000,0.1000,0.2600,0.9000,0.0000,0.15244998,0.14793088,0.15576875
mackey100,2,100,0.0000,0.1000,0.2200,0.8200,0.0000,0.99474415,1.01239881,0.99523003
mackey100,2,100,0.1000,0.3500,0.2200,0.8200,0.0000,0.18701836,0.18295114,0.17909081
mackey100,2,100,0.2000,0.1500,0.2400,0.8200,0.0000,0.18112877,0.17099863,0.17526692
mackey100,2,100,0.3000,0.1500,0.2800,0.8200,0.0000,0.16416355,0.15509105,0.16533947
mackey100,2,100,0.4000,0.1500,0.2800,0.8200,0.0000,0.16555446,0.15913510,0.17007787
mackey100,2,100,0.5000,0.1500,0.2400,0.8600,0.0000,0.16178511,0.15533501,0.16519185
mackey100,2,100,0.6000,0.1500,0.2200,0.8600,0.0000,0.15944195,0.14895449,0.16345934
mackey100,2,100,0.7000,0.1500,0.2600,0.8600,0.0000,0.15934649,0.15018635,0.16474419
mackey100,2,100,0.8000,0.1000,0.2800,0.8600,0.0000,0.16139592,0.15511226,0.16649195
mackey100,2,100,0.9000,0.1000,0.2400,0.8800,0.0000,0.16254515,0.15702778,0.16818243
mackey100,2,100,1.0000,0.1000,0.2200,0.8600,0.0000,0.16220412,0.15827324,0.16781600

mackey200,0,200,0.0000,0.3000,0.3700,0.8700,9.0000,0.99476744,1.01240327,0.99507342
mackey200,0,200,0.1000,0.5000,0.4300,0.9300,0.0000,0.16388703,0.15714173,0.15982821
mackey200,0,200,0.2000,0.5000,0.3700,0.9300,0.0000,0.14407067,0.13364233,0.14775894
mackey200,0,200,0.3000,0.4200,0.4300,0.8700,0.0000,0.14444676,0.13497439,0.14543687
mackey200,0,200,0.4000,0.3200,0.4500,0.9500,0.0000,0.13596532,0.13045545,0.14349145
mackey200,0,200,0.5000,0.4200,0.4100,0.9500,0.0000,0.13241911,0.13122612,0.14124038
mackey200,0,200,0.6000,0.3400,0.4300,0.9100,0.0000,0.13939535,0.13274666,0.14277426
