### task_name: narma
### 10 0
### input_signal_factor [0, 0.5]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse
mackey50,0,50,0.0000,0.0000,0.1500,0.8000,9.0000,0.99476743,1.01240214,0.99507323
mackey50,0,50,0.1000,0.3000,0.3500,1.2000,0.0000,0.21714378,0.20004594,0.20219460
mackey50,0,50,0.2000,0.5000,0.3000,1.1000,0.0000,0.18958421,0.17019402,0.17938462
mackey50,0,50,0.3000,0.5000,0.3500,0.8000,0.0000,0.18102373,0.16479621,0.17481903
mackey50,0,50,0.4000,0.5000,0.3000,0.8000,0.0000,0.17217353,0.15917456,0.16996029
mackey50,0,50,0.5000,0.3000,0.3500,1.1000,0.0000,0.17255639,0.15199148,0.16994046
mackey50,0,50,0.6000,0.2500,0.3000,1.1000,0.0000,0.17303996,0.15959743,0.17130433
mackey50,0,50,0.7000,0.4000,0.3000,1.0000,0.0000,0.17614488,0.16224142,0.17620219
mackey50,0,50,0.8000,0.2500,0.3000,1.1000,0.0000,0.17168067,0.16149250,0.17157950
mackey50,0,50,0.9000,0.4000,0.3500,0.9000,0.0000,0.16900620,0.15937795,0.16812265
mackey50,0,50,1.0000,0.4000,0.3000,0.9000,0.0000,0.16713339,0.16376151,0.16725563
mackey50,1,50,0.0000,0.0000,0.1500,0.8000,9.0000,0.99476743,1.01240214,0.99507323
mackey50,1,50,0.1000,0.2000,0.3000,1.1000,0.0000,0.22537518,0.20203501,0.20586216
mackey50,1,50,0.2000,0.4500,0.2500,1.1000,0.0000,0.18941265,0.16721025,0.17912699
mackey50,1,50,0.3000,0.3000,0.3500,1.2000,0.0000,0.17445641,0.16574052,0.17242531
mackey50,1,50,0.4000,0.3000,0.3500,1.1000,0.0000,0.17391147,0.16114201,0.17113395
mackey50,1,50,0.5000,0.5000,0.3500,0.8000,0.0000,0.15993174,0.15323634,0.16154892
mackey50,1,50,0.6000,0.3500,0.2000,1.0000,0.0000,0.17245463,0.15012535,0.16673723
mackey50,1,50,0.7000,0.5000,0.2000,1.0000,0.0000,0.17042252,0.15562996,0.16966686
mackey50,1,50,0.8000,0.3000,0.3000,0.9000,0.0000,0.17061066,0.15813479,0.16731910
mackey50,1,50,0.9000,0.4500,0.2500,0.9000,0.0000,0.16616745,0.15546055,0.16438476
mackey50,1,50,1.0000,0.3500,0.2500,0.9000,0.0000,0.16646777,0.15872656,0.16853387
mackey50,2,50,0.0000,0.0000,0.1500,0.8000,9.0000,0.99476743,1.01240214,0.99507323
mackey50,2,50,0.1000,0.4500,0.3000,1.2000,0.0000,0.21428313,0.19813834,0.20201596
mackey50,2,50,0.2000,0.2500,0.3000,1.2000,0.0000,0.18132086,0.16857139,0.17485337
mackey50,2,50,0.3000,0.5000,0.3000,0.8000,0.0000,0.17992300,0.16206654,0.17242539
mackey50,2,50,0.4000,0.5000,0.3500,0.9000,0.0000,0.17899514,0.16051460,0.17664112
mackey50,2,50,0.5000,0.4000,0.1500,1.1000,0.0000,0.17355009,0.15736790,0.17108502
mackey50,2,50,0.6000,0.4000,0.2500,0.9000,0.0000,0.17325869,0.15904758,0.16914991
mackey50,2,50,0.7000,0.4500,0.3500,0.9000,0.0000,0.16869893,0.15431288,0.16848179
mackey50,2,50,0.8000,0.4000,0.2000,0.9000,0.0000,0.16906825,0.15403501,0.16574124
mackey50,2,50,0.9000,0.4000,0.2500,0.9000,0.0000,0.16400187,0.15804125,0.16560102
mackey50,2,50,1.0000,0.4000,0.3500,0.9000,0.0000,0.16543267,0.16038037,0.16815755
