t,predict_test,teacher
501,0.424164,0.602165,0.0316843
502,0.302236,0.670824,0.167542
503,0.335046,0.550643,0.214024
504,0.464847,0.776757,0.311311
505,-0.311405,0.320502,0.710617
506,-0.00893032,1.08922,1.91654
507,-0.207299,-0.564801,2.04435
508,-0.0468489,0.880165,2.90371
509,-0.0612208,-0.254006,2.94087
510,0.2951,1.17372,3.71285
511,0.121007,-1.00488,4.98047
512,0.371935,-0.0615716,5.16839
513,0.00944024,0.693229,5.63596
514,0.568806,0.308735,5.7036
515,0.539799,1.07452,5.98953
516,0.282172,-0.523825,6.63916
517,1.09701,0.938208,6.66438
518,-0.543991,-0.389475,6.68825
519,0.615085,1.0691,6.89438
520,0.127739,-0.716994,7.60795
521,0.257439,0.601016,7.726
522,0.127388,0.279193,7.74904
523,0.478566,1.07118,8.10023
524,0.207812,-0.522628,8.63377
525,0.247049,0.938957,9.11251
526,-0.00454299,-0.391084,9.26192
527,0.20285,1.06756,10.0097
528,0.289302,-0.712889,11.014
529,0.348205,0.608773,11.0819
530,0.109371,0.267287,11.1069
531,0.487013,1.08261,11.4616
532,0.214241,-0.560684,12.0621
533,0.270194,0.884671,12.4397
534,-0.00422092,-0.263905,12.5071
535,0.217671,1.1679,13.4101
536,0.316062,-0.988749,15.1126
537,0.315286,-0.0183049,15.2239
538,0.0851844,0.702906,15.6055
539,0.597242,0.3028,15.6922
540,0.502261,1.08251,16.0288
541,0.321403,-0.549714,16.7877
542,0.995056,0.901692,16.7964
543,-0.548378,-0.303183,16.8565
544,0.559402,1.14182,17.1957
545,0.132756,-0.916208,18.2961
546,0.228267,0.167333,18.2998
547,0.114362,0.685937,18.6265
548,0.572157,0.391486,18.6591
549,0.401949,0.991215,19.0064
550,0.307971,-0.258064,19.3268
551,0.726655,1.20413,19.5547
552,-0.47962,-1.10732,19.9487
553,0.32077,-0.355367,20.4059
554,-0.042037,0.491005,20.69
555,0.523173,0.555869,20.6911
556,0.436852,0.714715,20.7683
557,0.451944,0.451616,20.7683
558,0.464971,0.928875,20.9835
559,-0.0941139,-0.0724465,20.984
560,0.104635,1.27131,22.3451
561,-0.229359,-1.28447,23.4584
562,-0.0998768,-0.928417,24.1449
563,0.0218454,-0.592082,24.5218
564,0.797357,0.23069,24.8429
565,0.589033,0.747871,24.8681
566,0.495104,0.286172,24.9118
567,0.0536064,1.10971,26.0271
568,0.28848,-0.638183,26.8858
569,0.680776,0.762725,26.8925
570,-0.285355,-0.00590313,26.9706
571,0.222344,1.22877,27.9835
572,0.173266,-1.11559,29.6447
573,0.338968,-0.373733,30.1526
574,0.0675122,0.469775,30.3144
575,0.625823,0.578916,30.3166
576,0.79023,0.671731,30.3307
577,0.367051,0.541963,30.3613
578,0.580347,0.790307,30.4054
579,-0.0132504,0.288171,30.4962
580,0.0487229,1.12083,31.6456
581,-0.250971,-0.672322,31.8232
582,-0.180785,0.703427,32.605
583,-0.0339333,0.10557,32.6245
584,0.330156,1.19543,33.3731
585,0.166388,-0.968986,34.6622
586,0.323438,0.0441194,34.7402
587,0.0131921,0.706579,35.221
588,0.548833,0.31428,35.276
589,0.661433,1.07369,35.446
590,0.326003,-0.519658,36.1611
591,1.14707,0.944045,36.2024
592,-0.578634,-0.403607,36.233
593,0.538122,1.05515,36.5003
594,0.0970024,-0.679775,37.1037
595,0.276281,0.669615,37.2584
596,0.129089,0.16833,37.2599
597,0.474995,1.16122,37.7308
598,0.18009,-0.83729,38.7659
599,0.266111,0.366888,38.7761
600,-0.0292653,0.560364,39.1237
601,0.398629,0.670456,39.1976
602,0.558062,0.538793,39.198
603,0.309676,0.79472,39.4333
604,0.436269,0.277426,39.4585
605,-0.241634,1.13066,41.3417
606,-0.0520071,-0.706536,41.7701
607,-0.144124,0.640329,42.3855
608,-0.0962242,0.214009,42.4817
609,0.415149,1.12798,42.9898
610,0.205148,-0.717069,43.8403
611,0.323613,0.618531,43.9273
612,0.0200073,0.249267,43.9799
613,0.362184,1.09857,44.5221
614,0.399114,-0.614823,45.5502
615,0.28443,0.800361,45.8164
616,0.08838,-0.0812563,45.8452
617,0.30544,1.23086,46.7016
618,0.3077,-1.14542,48.8131
619,0.298574,-0.46751,49.4
620,0.0400403,0.350383,49.4963
621,0.729318,0.687871,49.498
622,0.839354,0.442682,49.6554
623,0.37313,0.932008,49.9677
624,0.409847,-0.0832892,50.2109
625,0.243293,1.26989,51.2648
626,-0.145223,-1.28266,52.5586
627,-0.0314626,-0.922325,53.3522
628,-0.116209,-0.575755,53.5634
629,0.910214,0.259212,53.9872
630,0.656818,0.733207,53.993
631,0.478384,0.325135,54.0165
632,0.00358186,1.07196,55.1579
633,0.234967,-0.511211,55.7147
634,0.620362,0.955718,55.8272
635,-0.285212,-0.43212,55.8488
636,0.204424,1.0253,56.5226
637,0.112974,-0.601363,57.0329
638,0.416883,0.801297,57.1807
639,0.119588,-0.0793157,57.2202
640,0.439619,1.23158,57.8474
641,0.124058,-1.14731,59.4638
642,0.291693,-0.473359,60.0491
643,-0.0178915,0.342113,60.1787
644,0.61473,0.694135,60.185
645,0.841228,0.428081,60.3557
646,0.417914,0.951686,60.6406
647,0.40609,-0.139564,60.9383
648,0.285174,1.25824,61.8852
649,-0.111232,-1.25829,63.2009
650,-0.0654935,-0.839146,63.7995
651,-0.111143,-0.363319,63.8631
652,0.729394,0.563456,63.8906
653,0.56486,0.446529,63.9046
654,0.49549,0.889893,64.0602
655,0.060031,0.0252855,64.0614
656,0.575355,1.26607,64.5385
657,0.030331,-1.23653,66.1434
658,0.0596191,-0.76079,66.8165
659,-0.144831,-0.181281,66.8178
660,0.512237,0.725755,66.8634
661,0.580682,0.208207,67.0021
662,0.517147,1.15704,67.4116
663,0.142314,-0.811763,68.3218
664,0.871671,0.424568,68.5217
665,-0.232608,0.50411,69.0645
666,0.407563,0.771592,69.197
667,0.364237,0.317737,69.1992
668,0.217985,1.09014,69.9598
669,0.334266,-0.568441,70.7747
670,-0.113351,0.874666,71.7509
671,-0.0893956,-0.241589,71.7741
672,0.0478715,1.18069,73.0573
673,0.133493,-1.02411,74.3974
674,0.385153,-0.11412,74.6466
