t,predict_test,teacher
501,0.167803,0.164706,9.59032e-06
502,0.115591,0.117647,1.3817e-05
503,0.128129,0.12549,2.07818e-05
504,0.19232,0.196078,3.4908e-05
505,0.346386,0.337255,0.000118286
506,0.413929,0.403922,0.000218439
507,0.29038,0.286275,0.000235291
508,0.165413,0.164706,0.000235791
509,0.114202,0.113725,0.000236018
510,0.122334,0.117647,0.000257985
511,0.184335,0.192157,0.000319166
512,0.354343,0.341176,0.000492533
513,0.427689,0.411765,0.000746116
514,0.292723,0.286275,0.000787698
515,0.163036,0.160784,0.000792767
516,0.109658,0.109804,0.000792788
517,0.118795,0.117647,0.000794105
518,0.186385,0.192157,0.000827415
519,0.357584,0.345098,0.000983305
520,0.430133,0.427451,0.000990497
521,0.296888,0.290196,0.00103528
522,0.155602,0.156863,0.00103686
523,0.104252,0.109804,0.00106769
524,0.119012,0.113725,0.00109563
525,0.181771,0.180392,0.00109753
526,0.346404,0.345098,0.00109924
527,0.45467,0.443137,0.00123224
528,0.305688,0.298039,0.00129074
529,0.155534,0.160784,0.0013183
530,0.103674,0.109804,0.00135588
531,0.116172,0.113725,0.00136187
532,0.175626,0.180392,0.00138459
533,0.342741,0.345098,0.00139014
534,0.452219,0.45098,0.00139168
535,0.306893,0.309804,0.00140015
536,0.154442,0.164706,0.0015055
537,0.103451,0.105882,0.00151141
538,0.106891,0.109804,0.00151989
539,0.169677,0.172549,0.00152814
540,0.339374,0.341176,0.00153139
541,0.459557,0.466667,0.00158194
542,0.319332,0.32549,0.00161986
543,0.152429,0.164706,0.00177059
544,0.0984513,0.105882,0.00182581
545,0.10547,0.105882,0.00182598
546,0.162468,0.164706,0.00183099
547,0.327113,0.333333,0.00186968
548,0.467983,0.482353,0.00207618
549,0.331767,0.34902,0.00237382
550,0.154463,0.176471,0.00285817
551,0.100232,0.109804,0.00294979
552,0.103314,0.101961,0.00295163
553,0.149945,0.152941,0.0029606
554,0.305408,0.313725,0.00302978
555,0.472357,0.490196,0.00334802
556,0.353831,0.368627,0.00356696
557,0.164552,0.184314,0.00395748
558,0.101138,0.109804,0.00403258
559,0.100647,0.101961,0.00403431
560,0.144586,0.145098,0.00403457
561,0.287202,0.294118,0.0040824
562,0.462103,0.494118,0.00510732
563,0.379785,0.396078,0.00537278
564,0.174344,0.196078,0.00584518
565,0.102087,0.109804,0.00590473
566,0.0957379,0.0980392,0.00591002
567,0.133179,0.137255,0.00592664
568,0.269643,0.27451,0.00595033
569,0.453506,0.490196,0.00729647
570,0.402626,0.431373,0.00812285
571,0.19054,0.211765,0.00857336
572,0.101319,0.113725,0.00872728
573,0.0946115,0.0980392,0.00873903
574,0.126808,0.12549,0.00874077
575,0.243196,0.243137,0.00874077
576,0.434045,0.478431,0.0107109
577,0.447867,0.470588,0.0112272
578,0.21537,0.239216,0.0117958
579,0.10422,0.12549,0.0122482
580,0.0997884,0.0941176,0.0122804
581,0.109848,0.113725,0.0122954
582,0.209567,0.219608,0.0123962
583,0.423707,0.45098,0.0131401
584,0.469204,0.505882,0.0144854
585,0.244972,0.262745,0.0148013
586,0.103951,0.12549,0.0152652
587,0.0892723,0.0901961,0.0152661
588,0.101367,0.101961,0.0152664
589,0.186278,0.188235,0.0152703
