t,predict_test,teacher
501,0.317831,0.337075,0.000370348
502,0.317831,0.506931,0.0361293
503,0.317831,0.424797,0.0475711
504,0.317831,0.355245,0.0489709
505,0.317831,0.273552,0.0509315
506,0.317831,0.487865,0.0798429
507,0.317831,0.51129,0.117269
508,0.317831,0.31657,0.117271
509,0.317831,0.25018,0.121847
510,0.317831,0.411139,0.130554
511,0.317831,0.385571,0.135142
512,0.317831,0.264037,0.138036
513,0.317831,0.338559,0.138466
514,0.317831,0.415043,0.147916
515,0.317831,0.287144,0.148858
516,0.317831,0.231986,0.156227
517,0.317831,0.416575,0.165978
518,0.317831,0.443726,0.181827
519,0.317831,0.297881,0.182225
520,0.317831,0.248317,0.187057
521,0.317831,0.444826,0.203185
522,0.317831,0.520638,0.244316
523,0.317831,0.415451,0.253845
524,0.317831,0.339988,0.254336
525,0.317831,0.49399,0.285368
526,0.317831,0.482621,0.312524
527,0.317831,0.485121,0.34051
528,0.317831,0.323067,0.340537
529,0.317831,0.308636,0.340622
530,0.317831,0.266511,0.343256
531,0.317831,0.479975,0.369546
532,0.317831,0.326908,0.369629
533,0.317831,0.249301,0.374325
534,0.317831,0.215575,0.384781
535,0.317831,0.40265,0.391975
536,0.317831,0.46702,0.414233
537,0.317831,0.288185,0.415112
538,0.317831,0.290989,0.415832
539,0.317831,0.303776,0.41603
540,0.317831,0.271955,0.418134
541,0.317831,0.21851,0.427999
542,0.317831,0.222507,0.437086
543,0.317831,0.222459,0.446182
544,0.317831,0.221469,0.455467
545,0.317831,0.24496,0.460777
546,0.317831,0.219204,0.470505
547,0.317831,0.188661,0.487189
548,0.317831,0.393811,0.492962
549,0.317831,0.317729,0.492962
550,0.317831,0.371885,0.495884
551,0.317831,0.239592,0.502006
552,0.317831,0.358287,0.503642
553,0.317831,0.380222,0.507535
554,0.317831,0.351498,0.508669
555,0.317831,0.23573,0.515409
556,0.317831,0.2476,0.520342
557,0.317831,0.242399,0.526031
558,0.317831,0.307743,0.526133
559,0.317831,0.255902,0.529968
560,0.317831,0.198734,0.544153
561,0.317831,0.173178,0.565077
562,0.317831,0.219134,0.574818
563,0.317831,0.244139,0.580249
