t,predict_test,teacher
0,0.165766,0,0.0274783
1,0.279346,0,0.105512
2,-0.0283088,0,0.106314
3,-0.269394,-0.795423,0.38302
4,0.206264,-0.950561,1.72126
5,-0.215266,0.621031,2.42066
6,-0.0127593,0.821544,3.11672
7,-0.0403812,-0.918526,3.88786
8,-0.195225,-0.555518,4.01767
9,-0.210079,-0.956993,4.57555
10,-0.117487,-0.9978,5.3505
11,-0.0759084,-0.201203,5.3662
12,0.11673,-0.161904,5.44384
13,-0.121562,0.989441,6.67816
14,0.00519984,-0.995038,7.67864
15,-0.0366516,-0.470067,7.86649
16,-0.0902329,0.992484,9.03876
17,-0.00737461,-0.229291,9.08801
18,0.0931721,0.405821,9.18576
19,0.0765056,0.878921,9.82963
20,0.27765,0.736488,10.0402
21,-0.113745,-0.0740938,10.0417
22,0.14921,0.996211,10.7591
23,-0.0174698,0.198498,10.8058
24,0.0944129,0.408076,10.9042
25,-0.126958,-0.708879,11.2428
26,0.00257162,-0.989541,12.2271
27,0.170404,0.971145,12.8683
28,0.18464,-0.524392,13.371
29,-0.156607,-0.971741,14.0354
30,0.0737135,-0.216147,14.1195
31,0.076087,0.546974,14.3412
32,-0.146326,-0.603293,14.55
33,-0.0927014,0.973941,15.6877
34,-0.08041,0.713876,16.3186
35,0.126771,-0.276854,16.4815
36,-0.0617112,0.0316947,16.4903
37,-0.0634226,-0.700447,16.8961
38,-0.0841045,-0.417766,17.0074
39,0.110691,0.393151,17.0872
40,0.0267357,0.413396,17.2367
41,-0.0696298,-0.664078,17.5901
42,-0.109777,0.475333,17.9324
43,0.0405391,0.920599,18.7069
44,0.106403,0.998325,19.5024
45,0.0892085,-0.297751,19.6522
46,-0.0132039,-0.105191,19.6606
47,0.102957,-0.993501,20.8629
48,0.030684,-0.921624,21.7698
49,0.0565109,-0.788766,22.4842
50,0.0970133,-0.345461,22.68
51,-0.161421,0.726281,23.468
52,-0.137906,-0.702647,23.787
53,0.0837852,0.945284,24.5292
54,-0.20151,-0.907883,25.0281
55,0.162844,-0.960654,26.2904
56,0.0145932,-0.229358,26.3499
57,0.00415683,-0.991718,27.3416
58,-0.0794949,0.925786,28.3522
59,-0.0103994,0.484356,28.597
60,0.011655,-0.973587,29.5677
61,0.128305,-0.259696,29.7183
62,-0.171277,0.489568,30.155
63,0.217168,-0.981012,31.5906
64,-0.103495,-0.330115,31.642
65,-0.0349262,0.952211,32.6164
66,0.133273,-0.731717,33.3646
67,0.0362295,0.627797,33.7146
68,-0.0512933,0.973094,34.7639
69,-0.0900885,0.0710536,34.7899
70,0.169777,-0.218838,34.9409
71,-0.0967325,0.574878,35.392
