t,predict_test,teacher
501,-0.00734176,-0.871504,0.746777
502,0.00257744,-0.897167,1.55632
503,0.086018,-0.918112,2.56459
504,-0.0198832,0.966915,3.53836
505,0.128464,-0.323771,3.74288
506,0.283616,0.700105,3.91634
507,-0.134054,-0.673516,4.20736
508,0.410475,0.996646,4.55096
509,0.136218,-0.940362,5.70999
510,0.111754,0.944651,6.4037
511,0.107191,0.102098,6.40373
512,0.219815,-0.748,7.34039
513,-0.0329907,-0.654848,7.7271
514,-0.11977,-0.935808,8.39302
515,-0.275725,0.472826,8.95335
516,-0.0217095,-0.939102,9.79496
517,0.183499,0.819782,10.1998
518,0.525009,0.998229,10.4238
519,0.57633,0.52925,10.426
520,-0.0380569,0.296849,10.5381
521,0.0552874,-0.808604,11.2844
522,-0.0681208,-0.930179,12.0276
523,-0.0985182,-0.091996,12.0276
524,0.19873,0.945656,12.5855
525,0.389297,0.6097,12.6341
526,0.221525,-0.954345,14.0168
527,-0.0382937,-0.127988,14.0248
528,-0.0290886,0.87338,14.8393
529,-0.0488907,-0.325043,14.9155
530,0.0451526,0.998391,15.8242
531,0.418677,0.977658,16.1366
532,0.0251198,-0.555597,16.4739
533,-0.244929,-0.744279,16.7232
534,0.0957594,0.684879,17.0703
535,0.150866,-0.999992,18.3948
536,0.147001,-0.624645,18.9902
537,-0.291674,-0.956066,19.4316
538,-0.182191,-0.153886,19.4324
539,0.102435,-0.7699,20.1934
540,0.106704,0.361172,20.2581
541,0.583629,-0.00972093,20.6102
542,-0.134264,-0.209633,20.6159
543,0.447879,0.880048,20.8027
544,-0.12736,0.988773,22.0484
545,0.275085,0.692187,22.2224
546,0.0332374,-0.811792,22.9365
547,-0.171176,-0.962205,23.5622
548,-0.107607,-0.190386,23.569
549,0.0118884,-0.490578,23.8215
550,0.0119107,0.120538,23.8333
551,0.477655,0.544636,23.8378
552,-0.13207,-0.0899016,23.8396
553,-0.0223954,-0.129991,23.8511
554,-0.579806,-0.237033,23.9686
555,-0.183451,-0.347248,23.9955
556,0.134258,0.982384,24.7148
557,-0.0176085,-0.866033,25.4346
558,0.452624,0.844538,25.5882
559,0.0468542,0.557713,25.8492
560,0.200348,0.922711,26.371
561,0.0692904,-0.797319,27.122
562,0.0176953,-0.992799,28.1431
563,-0.456779,-0.990947,28.4284
564,-0.767254,-0.627758,28.4479
565,0.0386282,-0.741297,29.0562
566,-0.0898046,-0.167032,29.0621
567,-0.793458,-0.133266,29.498
568,-0.215996,0.97451,30.9153
569,0.300039,0.934551,31.3179
570,0.185586,-0.299347,31.5531
571,-0.0981159,-0.650331,31.858
572,-0.133507,-0.916344,32.4708
573,0.065715,0.669769,32.8357
574,-0.10161,-0.288803,32.8708
575,0.0883822,0.719462,33.269
576,0.274573,0.9212,33.6872
577,0.462721,-0.661053,34.95
578,0.162971,0.567364,35.1136
579,0.118696,-0.735389,35.843
580,-0.030646,-0.945323,36.6797
581,-0.158715,-0.0085615,36.7022
582,0.0912585,0.894992,37.3482
583,0.174152,-0.938231,38.5856
584,0.232569,0.3942,38.6117
585,0.0921125,0.975901,39.3928
586,-0.083281,-0.495951,39.5631
587,-0.0302064,-0.473257,39.7594
588,-0.202778,-0.970673,40.349
589,0.163265,0.989849,41.0323
590,0.117536,0.649464,41.3152
591,0.00239728,-0.174509,41.3465
592,0.0216823,-0.762987,41.9622
593,0.129326,0.50795,42.1056
594,0.217702,0.526619,42.201
595,0.0527816,-0.918144,43.1437
596,-0.166899,0.743009,43.9717
597,-0.166482,-0.999932,44.6663
598,0.0527008,-0.88644,45.5483
599,0.246408,0.915929,45.9965
600,0.149142,0.900991,46.5618
601,0.0183749,-0.283,46.6526
602,-0.181115,-0.453897,46.7271
603,0.257592,-0.981326,48.262
604,0.0434334,-0.992098,49.3343
605,0.242414,-0.818769,50.4604
606,0.319049,0.945665,50.8531
607,0.154078,-0.28063,51.042
608,0.151818,0.423943,51.1161
609,-0.098067,-0.999222,51.9282
610,-0.182104,-0.308669,51.9442
611,0.152382,0.227821,51.9499
612,0.0886765,-0.965582,53.0613
613,-0.13066,-0.306785,53.0923
614,-0.204806,0.53047,53.633
615,0.0690794,-0.892263,54.5572
616,0.0947815,-0.0900724,54.5913
617,0.0703653,-0.678874,55.1527
618,0.101045,-0.716676,55.8214
619,-0.482054,-0.83944,55.9491
620,0.239818,0.922798,56.4155
621,0.0215355,-0.548558,56.7405
622,0.227678,0.479037,56.8037
623,-0.208209,-0.651773,57.0005
624,0.163359,0.282436,57.0147
625,0.291778,0.987461,57.4986
626,0.115791,-0.806914,58.35
627,-0.277711,-0.232616,58.352
628,0.112532,0.921784,59.0069
629,0.0801225,-0.213776,59.0933
630,0.433988,0.995822,59.409
631,0.156405,0.0712521,59.4162
632,-0.105706,-0.642059,59.7039
633,0.190878,0.999938,60.3585
634,0.178446,-0.635054,61.0203
635,0.0667444,-0.185337,61.0838
636,0.47112,0.995228,61.3585
637,-0.00597452,0.426876,61.5459
638,-0.182562,-0.896184,62.0551
639,-0.132381,-0.945598,62.7164
640,-0.0672646,0.338248,62.8809
641,-0.268771,0.879983,64.2005
642,-0.0530146,0.156661,64.2445
643,0.145044,0.259063,64.2575
644,0.0326664,-0.713815,64.8147
645,-0.154721,-0.770168,65.1935
646,0.061953,0.619333,65.5042
647,-0.458771,-0.753066,65.5908
648,-0.105408,0.845602,66.4952
649,-0.611059,-0.900694,66.5791
650,0.550835,0.220614,66.6881
651,0.103277,0.0220394,66.6947
652,0.11173,0.12265,66.6948
653,0.0270104,-0.897554,67.5497
654,-0.0332591,0.0278897,67.5534
655,0.158845,0.905919,68.1115
656,0.150648,0.997578,68.8288
657,0.228453,0.514345,68.9105
658,-0.0311845,-0.218945,68.9458
659,0.287213,0.991948,69.4424
660,-0.267894,0.768256,70.516
661,-0.248028,-0.203477,70.518
662,0.151689,0.997197,71.2329
663,0.0692854,0.46233,71.3874
664,0.349139,-0.999627,73.2066
665,0.0437037,-0.924856,74.1447
666,0.201193,0.36066,74.1701
667,0.474347,0.238372,74.2258
668,-0.17923,-0.586264,74.3915
669,-0.255352,0.534842,75.0159
670,-0.00714567,-0.948397,75.9018
671,-0.499534,-0.964929,76.1184
672,0.208154,0.0977164,76.1306
673,0.151002,-0.662235,76.792
674,-0.0454833,0.998885,77.8827
675,-0.0164048,-0.640987,78.2728
676,-0.146689,0.238586,78.4212
677,-0.229117,-0.970388,78.9707
678,-0.0083952,0.509642,79.2391
679,-0.484129,-0.538863,79.2421
680,-0.0498381,0.928367,80.1989
681,0.106019,0.941774,80.8974
682,0.14442,0.205012,80.9011
683,-0.122284,0.588404,81.4062
684,0.0106638,-0.0734158,81.4132
685,0.0533486,0.897322,82.1255
686,0.129481,0.773195,82.5399
687,-0.562877,-0.287154,82.6159
688,0.474715,0.692368,82.6633
689,-0.20247,0.612508,83.3275
690,-0.225783,-0.999894,83.9267
691,-0.180985,0.947228,85.1996
692,0.0807179,0.646493,85.5197
693,-0.105644,0.358754,85.7354
694,0.0234973,-0.579444,86.0989
695,0.244398,-0.515999,86.6771
696,0.0248407,-0.621658,87.0951
697,-0.654547,-0.195095,87.3062
698,-0.323139,0.920927,88.8539
699,0.062097,0.806484,89.408
700,0.327166,-0.98448,91.1284
701,0.0555131,0.954398,91.9364
702,0.0622919,-0.956564,92.9745
703,0.201186,-0.942002,94.2813
704,-0.0271407,0.920504,95.1794
705,-0.262217,0.646248,96.0047
706,-0.152335,-0.880228,96.5345
707,-0.100985,0.504265,96.9008
708,-0.295987,-0.493271,96.9398
709,0.136204,-0.662993,97.5785
710,0.285418,0.692586,97.7443
711,0.123628,-0.331766,97.9516
712,-0.10041,0.970128,99.0977
713,-0.19608,0.91359,100.329
714,-0.150607,-0.300173,100.351
715,-0.0151064,-0.103891,100.359
716,0.454794,0.995727,100.652
717,0.0488593,0.309655,100.72
718,-0.258988,-0.759797,100.971
719,-0.042931,-0.997343,101.882
720,0.108586,0.920983,102.542
721,-0.16484,-0.0312508,102.559
722,-0.197432,-0.873753,103.017
723,-0.254228,-0.94084,103.488
724,0.404764,0.686366,103.568
725,-0.000839923,-0.788503,104.188
726,0.0466559,0.866267,104.86
727,0.278128,-0.565137,105.571
728,0.103131,-0.71747,106.244
729,-0.176851,-0.770537,106.597
730,-0.09675,0.435722,106.88
731,0.1468,0.843339,107.365
732,0.431532,0.967942,107.653
733,0.170386,-0.340521,107.914
734,0.63993,0.917671,107.991
735,0.143835,-0.116651,108.059
736,-0.0889446,-0.930097,108.767
737,-0.148914,0.982471,110.047
738,0.156511,0.773683,110.428
739,0.398249,0.927361,110.708
740,0.109039,0.986447,111.477
741,-0.100704,0.114516,111.524
742,-0.226926,0.943355,112.893
743,-0.871495,-0.64394,112.945
744,-0.0917489,-0.443113,113.069
745,-0.307251,-0.997656,113.545
746,-0.967092,-0.192433,114.145
747,-0.794872,-0.999227,114.187
748,0.298628,0.14068,114.212
749,0.345363,0.998976,114.639
750,0.494823,0.183066,114.736
751,-0.152539,0.2843,114.927
752,-0.0891312,-0.158872,114.932
753,0.498259,0.997242,115.181
754,-0.100753,0.999016,116.391
755,0.0626487,0.451055,116.541
756,0.211862,0.347008,116.56
757,0.195175,-0.28129,116.787
758,0.169863,0.936875,117.375
759,-0.34782,-0.855766,117.633
760,-0.147401,0.994308,118.937
761,0.113373,0.176689,118.941
762,0.0995854,0.959934,119.681
763,-0.0121763,0.715901,120.211
764,0.22543,0.2397,120.211
765,0.078389,0.783394,120.708
766,0.00498011,0.990421,121.679
767,0.129337,-0.705473,122.376
768,-0.361241,-0.886268,122.652
769,0.296209,0.984607,123.126
770,-0.0428253,-0.744167,123.618
771,0.410229,0.966644,123.927
772,0.086549,-0.0858838,123.957
773,0.0780267,-0.99466,125.108
774,0.156089,0.478987,125.212
775,-0.0876705,-0.922747,125.909
776,-0.0131312,0.87389,126.696
777,-0.200515,-0.991915,127.322
778,0.204072,0.426548,127.372
779,-0.39518,-0.974895,127.708
780,0.309166,-0.189861,127.957
781,0.00743749,0.999998,128.942
782,0.114987,0.992114,129.711
783,0.226778,-0.740165,130.646
784,0.244437,0.817242,130.974
785,0.337283,0.509217,131.004
786,0.086386,-0.491285,131.338
787,0.0287214,0.961927,132.209
788,0.121228,0.443488,132.312
789,-0.204337,0.948092,133.641
790,-0.166282,0.587636,134.209
791,0.0979327,-0.168828,134.28
792,-0.128026,0.501066,134.676
793,-0.119851,0.818581,135.557
794,0.0273418,-0.424786,135.761
795,0.34455,0.745745,135.922
796,-0.0826943,-0.869869,136.542
797,-0.0749801,-0.315549,136.599
798,0.1837,0.976564,137.228
799,0.409027,0.966092,137.538
800,0.251577,0.39435,137.559
801,-0.182169,0.971291,138.889
802,0.183095,0.443392,138.957
803,0.0787901,0.915956,139.658
804,0.162091,-0.409521,139.985
805,0.11918,-0.449191,140.308
806,-0.158891,0.259286,140.482
807,0.0767112,-0.178385,140.548
808,0.0441972,-0.75022,141.179
809,-0.0155181,-0.54683,141.461
810,-0.184548,0.96844,142.79
811,0.416894,0.999988,143.13
812,0.126278,-0.344515,143.352
813,-0.00411542,0.81712,144.026
814,-0.0645783,-0.682687,144.408
815,-0.12545,0.111813,144.465
816,0.177686,-0.0984069,144.541
817,-0.0588165,0.208417,144.612
818,0.209411,0.925757,145.126
819,0.149346,-0.952775,146.34
820,0.215165,-0.255263,146.562
821,0.0723431,0.853647,147.172
822,-0.0452754,-0.867836,147.849
823,-0.138676,0.366043,148.103
824,-0.175542,-0.953672,148.709
825,-0.182549,-0.941352,149.285
826,0.193206,0.859951,149.729
827,0.0183944,-0.945264,150.658
828,-0.230315,-0.953443,151.181
829,0.053714,-0.425489,151.41
830,0.22889,0.455847,151.462
831,0.145069,0.181338,151.463
832,-0.149063,-0.933865,152.079
833,0.0200514,-0.150215,152.108
834,0.193633,-0.0233526,152.155
835,0.160806,-0.300606,152.368
836,0.150068,0.728808,152.703
837,-0.0743587,-0.327885,152.767
838,0.00476356,0.985712,153.73
839,0.0947058,-0.941013,154.802
840,0.311447,0.107338,154.844
841,0.18088,-0.320369,155.095
842,-0.639814,-0.691213,155.098
843,0.0815488,-0.976133,156.216
844,-0.0606004,-0.32879,156.288
845,0.418328,0.993641,156.619
846,0.178533,-0.0766992,156.685
847,-0.187988,0.309657,156.932
848,-0.631462,-0.999732,157.068
849,0.0189852,-0.883144,157.882
850,0.126403,0.279402,157.905
851,0.0923621,-0.949853,158.991
852,0.0976174,0.00840254,158.999
853,-0.114006,-0.287162,159.029
854,-0.316007,0.199578,159.295
855,-0.357836,0.893964,160.862
856,-0.182204,-0.187372,160.862
857,-0.569596,-0.738179,160.89
858,0.11929,0.895384,161.493
859,0.0764602,0.945583,162.248
860,-0.0351053,-0.295672,162.316
861,-0.749657,-0.338876,162.485
862,-0.035845,0.3952,162.671
863,0.159126,0.714513,162.979
864,0.295663,0.358983,162.983
865,0.28084,0.48183,163.023
866,0.184333,0.761462,163.357
867,-0.329338,-0.919242,163.705
868,-0.0484956,-0.615144,164.026
869,-0.110415,-0.0540734,164.029
870,-0.0308183,-0.984275,164.938
871,0.238153,0.330399,164.946
872,0.163436,0.984094,165.62
873,0.153256,-0.258644,165.79
874,-0.0284333,0.141413,165.818
875,-0.146331,0.38219,166.098
876,-0.0118598,0.304925,166.198
877,0.285263,0.54319,166.265
878,-0.0379376,-0.985014,167.162
879,0.0279489,0.0128028,167.162
880,-0.0965237,0.999909,168.364
881,0.139634,0.990779,169.088
882,0.448247,0.916742,169.308
883,0.0179185,0.442774,169.488
884,-0.314416,-0.968058,169.916
885,-0.206324,-0.572782,170.05
886,-0.0815533,0.958651,171.132
887,-0.0141128,-0.136855,171.147
888,0.104043,-0.472456,171.479
889,-0.162844,0.915061,172.641
890,-0.0771132,-0.963465,173.427
891,-0.0895426,-0.89468,174.075
892,-0.747616,-0.75409,174.075
893,0.165611,-0.230135,174.232
894,-0.0470491,-0.144533,174.241
895,-0.138886,0.452198,174.591
896,0.103634,-0.443086,174.89
897,-0.107284,-0.971202,175.636
898,-0.0834518,0.774178,176.371
899,-0.195872,-0.298936,176.382
900,-0.147961,0.47802,176.774
901,-0.0803771,-0.571892,177.015
902,0.171733,0.541714,177.152
903,-0.551486,-0.961707,177.321
904,0.177517,0.685119,177.578
905,-0.131909,-0.363902,177.632
906,-0.673484,-0.995521,177.736
907,0.218247,-0.96791,179.143
908,0.120093,0.250655,179.16
909,0.126988,-0.823932,180.064
910,0.0531379,-0.20368,180.13
911,-0.435541,-0.696727,180.198
912,-0.643302,-0.645606,180.198
913,0.164936,-0.809764,181.148
914,0.08369,0.929062,181.863
915,0.22749,0.124824,181.874
916,0.180528,-0.411387,182.224
917,-0.139704,-0.929191,182.847
918,-0.211658,-0.384419,182.877
919,0.223245,0.418381,182.915
920,0.336,0.998533,183.354
921,0.408229,-0.356632,183.939
922,0.04939,0.86625,184.606
923,-0.151385,-0.179743,184.607
924,-0.136609,0.990789,185.878
925,0.0930046,0.695115,186.241
926,0.281581,-0.504426,186.858
927,0.395352,0.83646,187.053
928,0.3362,-0.608208,187.945
929,-0.142281,-0.51428,188.083
930,-0.0362301,0.50433,188.376
931,-0.142033,-0.971585,189.064
932,0.0273822,-0.532375,189.377
933,0.292758,0.718536,189.558
934,-0.334562,-0.964939,189.956
935,0.68537,0.962619,190.033
936,0.0114923,-0.56265,190.362
937,-0.16589,-0.94462,190.969
938,-0.114449,-0.726767,191.344
939,-0.180261,-0.929293,191.905
940,-0.215591,-0.60681,192.058
941,-0.817594,-0.684782,192.075
942,0.258075,0.566034,192.17
943,-0.358041,-0.372603,192.17
944,-0.250731,-0.727797,192.398
945,0.116029,0.577048,192.61
946,-0.0745465,0.567823,193.023
947,-0.650814,-0.0124236,193.431
948,0.0257785,-0.467838,193.674
949,-0.30236,-0.941009,194.082
950,0.132721,0.9976,194.83
951,0.0855402,-0.733777,195.501
952,0.224885,0.516462,195.587
953,0.438748,-0.633109,196.735
954,0.161992,1,197.438
955,-0.00586026,0.000868336,197.438
956,0.0743386,0.0137921,197.441
957,0.166617,-0.95984,198.71
958,0.0697766,-0.223367,198.796
959,-0.0767538,-0.75123,199.251
960,-0.786629,-0.866289,199.257
961,0.208494,0.780122,199.584
962,-0.167526,0.590063,200.158
963,-0.87245,-0.642032,200.211
964,-0.436794,-0.915482,200.44
965,-0.0530222,0.310085,200.572
966,0.0720223,0.966133,201.372
967,-0.0916957,-0.827348,201.913
968,0.460335,0.933534,202.137
969,0.0136191,0.719322,202.635
970,0.330086,0.927345,202.992
971,0.18341,0.527436,203.11
972,-0.22276,-0.997977,203.711
973,-0.107237,0.120439,203.763
974,-0.094293,-0.427789,203.874
975,-0.079539,0.806048,204.658
976,-0.0349692,0.987452,205.703
977,0.263984,0.92864,206.145
978,0.0190539,-0.753848,206.743
979,0.0633275,-0.436127,206.992
980,-0.198912,0.958818,208.332
981,0.328115,0.691792,208.465
982,-0.196382,0.774976,209.408
983,0.357243,0.999307,209.82
984,0.11843,-0.438243,210.13
985,-0.136738,0.929176,211.267
986,0.30345,0.849121,211.564
987,0.236101,0.790028,211.871
988,0.30072,-0.512405,212.532
989,0.0514932,0.883734,213.225
990,0.218423,0.321576,213.236
991,-0.212692,0.22505,213.427
992,-0.0696196,0.987681,214.545
993,-0.0102672,-0.862409,215.271
994,-0.104915,0.280065,215.419
995,0.0813357,0.0672147,215.42
996,0.0931255,0.0718008,215.42
997,-0.539739,-0.893666,215.545
998,0.0626923,0.674671,215.92
999,-0.386851,-0.996482,216.292
1000,-0.489157,-0.720181,216.345
1001,0.303556,-0.999123,218.042
1002,0.233133,0.869181,218.446
1003,0.347296,0.344108,218.446
1004,-0.122918,0.0744772,218.485
1005,0.251467,-0.981145,220.005
1006,0.147758,0.528825,220.15
1007,-0.301081,-0.888874,220.495
1008,0.39902,-0.0537665,220.7
1009,0.0121394,0.769677,221.274
1010,-0.00940556,0.906384,222.113
1011,0.251501,0.255806,222.113
1012,-0.0413429,0.908361,223.015
1013,-0.117853,-0.941977,223.694
1014,-0.172512,0.028366,223.734
1015,0.430129,0.855812,223.916
1016,0.0274963,0.774967,224.474
1017,-0.243199,0.595662,225.178
1018,-0.228875,0.999937,226.688
1019,0.185474,0.722372,226.976
1020,-0.0951607,-0.999865,227.795
1021,-0.0914523,0.346667,227.987
1022,0.0594288,-0.601285,228.423
1023,0.21746,0.92071,228.918
1024,-0.0282937,0.79395,229.594
1025,-0.118112,-0.35674,229.651
1026,0.0346221,0.599057,229.969
1027,-0.128793,0.991912,231.225
1028,0.322283,0.569508,231.287
