t,predict_test,teacher
501,0.0947721,-0.871504,0.93369
502,-0.00505561,-0.897167,1.72955
503,0.167392,-0.918112,2.90787
504,0.0556655,0.966915,3.73825
505,0.1144,-0.323771,3.93024
506,0.0683001,0.700105,4.32942
507,-0.0676256,-0.673516,4.69652
508,-0.151416,0.996646,6.01457
509,0.123192,-0.940362,7.14572
510,0.0402253,0.944651,7.9637
511,-0.160678,0.102098,8.03275
512,-0.0256683,-0.748,8.55452
513,0.0851861,-0.654848,9.10217
514,0.00808005,-0.935808,9.99309
515,-0.00161159,0.472826,10.2182
516,0.154818,-0.939102,11.4148
517,-0.0296413,0.819782,12.1364
518,-0.107564,0.998229,13.3591
519,-0.0738701,0.52925,13.7229
520,-0.0171595,0.296849,13.8215
521,0.063053,-0.808604,14.5813
522,0.0348679,-0.930179,15.5126
523,0.0479199,-0.091996,15.5322
524,0.40275,0.945656,15.8269
525,0.215026,0.6097,15.9827
526,-0.0341798,-0.954345,16.8294
527,-0.0656739,-0.127988,16.8333
528,-0.0373062,0.87338,17.6626
529,-0.0400335,-0.325043,17.7439
530,0.118045,0.998391,18.5189
531,-0.128335,0.977658,19.7421
532,0.0782695,-0.555597,20.1439
533,-0.0422042,-0.744279,20.6368
534,0.268929,0.684879,20.8098
535,-0.0694186,-0.999992,21.6758
536,0.0564345,-0.624645,22.1396
537,-0.0883507,-0.956066,22.8926
538,0.084458,-0.153886,22.9494
539,0.17878,-0.7699,23.8494
540,-0.176757,0.361172,24.1387
541,0.180439,-0.00972093,24.1749
542,0.00532453,-0.209633,24.2211
543,-0.142396,0.880048,25.2665
544,-0.0871373,0.988773,26.4241
545,-0.0853726,0.692187,27.0287
546,-0.0431569,-0.811792,27.6195
547,-0.0645247,-0.962205,28.4253
548,0.0983496,-0.190386,28.5087
549,0.0551743,-0.490578,28.8065
550,-0.195776,0.120538,28.9066
551,0.0624463,0.544636,29.1391
552,-0.148776,-0.0899016,29.1425
553,-0.0594039,-0.129991,29.1475
554,-0.315869,-0.237033,29.1537
555,-0.0625455,-0.347248,29.2348
556,0.170558,0.982384,29.8939
557,0.00133882,-0.866033,30.6462
558,-0.222696,0.844538,31.7852
559,0.0928721,0.557713,32.0013
560,-0.184868,0.922711,33.228
561,0.0383471,-0.797319,33.9263
562,0.135622,-0.992799,35.1997
563,-0.213806,-0.990947,35.8036
564,-0.386128,-0.627758,35.862
565,-0.164763,-0.741297,36.1944
566,-0.0192399,-0.167032,36.2162
567,-0.336169,-0.133266,36.2574
568,0.0698941,0.97451,37.0757
569,-0.131336,0.934551,38.2118
570,0.176942,-0.299347,38.4387
571,-0.090262,-0.650331,38.7524
572,-0.00902965,-0.916344,39.5756
573,0.0964951,0.669769,39.9042
574,-0.0696109,-0.288803,39.9523
575,0.260565,0.719462,40.1629
576,-0.232906,0.9212,41.4948
577,0.143943,-0.661053,42.1428
578,-0.0214167,0.567364,42.4895
579,0.0585316,-0.735389,43.1198
580,0.0910961,-0.945323,44.194
581,-0.0315793,-0.0085615,44.1945
582,0.311404,0.894992,44.5351
583,0.0590324,-0.938231,45.5296
584,0.100072,0.3942,45.6161
585,-0.000636563,0.975901,46.5698
586,0.0797131,-0.495951,46.9011
587,0.0110821,-0.473257,47.1357
588,-0.0351577,-0.970673,48.0109
589,0.158334,0.989849,48.7023
590,-0.060775,0.649464,49.2068
591,-0.0227103,-0.174509,49.2298
592,0.120911,-0.762987,50.0111
593,-0.0640818,0.50795,50.3383
594,0.0256581,0.526619,50.5893
595,0.0481468,-0.918144,51.523
596,0.0224888,0.743009,52.0421
597,0.0282143,-0.999932,53.0992
598,0.16018,-0.88644,54.1946
599,0.200946,0.915929,54.7058
600,-0.0717254,0.900991,55.652
601,-0.137102,-0.283,55.6733
602,-0.235089,-0.453897,55.7212
603,0.241226,-0.981326,57.2158
604,0.020843,-0.992098,58.2419
605,0.0735671,-0.818769,59.0381
606,0.223747,0.945665,59.5593
607,-0.0183783,-0.28063,59.6281
608,0.0870986,0.423943,59.7415
609,-0.0923466,-0.999222,60.564
610,0.00506314,-0.308669,60.6624
611,0.0797534,0.227821,60.6843
612,0.0465572,-0.965582,61.7087
613,0.0221171,-0.306785,61.8169
614,-0.0942445,0.53047,62.2072
615,0.0761261,-0.892263,63.145
616,-0.0506592,-0.0900724,63.1465
617,0.10116,-0.678874,63.755
618,-0.0267997,-0.716676,64.2309
619,-0.225138,-0.83944,64.6083
620,0.11634,0.922798,65.2586
621,0.103328,-0.548558,65.6836
622,0.300391,0.479037,65.7155
623,-0.204584,-0.651773,65.9155
624,0.0595484,0.282436,65.9652
625,-0.296983,0.987461,67.615
626,0.127306,-0.806914,68.4877
627,-0.222802,-0.232616,68.4878
628,0.0280224,0.921784,69.2866
629,0.20674,-0.213776,69.4635
630,-0.0505055,0.995822,70.5583
631,0.132913,0.0712521,70.5621
632,-0.130743,-0.642059,70.8235
633,0.147933,0.999938,71.5494
634,-0.0560989,-0.635054,71.8846
635,0.0938255,-0.185337,71.9625
636,-0.0430841,0.995228,73.0406
637,0.0530949,0.426876,73.1803
638,0.0332285,-0.896184,74.0442
639,0.0724027,-0.945598,75.0805
640,0.0316087,0.338248,75.1745
641,0.00444278,0.879983,75.9411
642,0.0205603,0.156661,75.9596
643,0.12526,0.259063,75.9775
644,-0.260304,-0.713815,76.1832
645,-0.126718,-0.770168,76.5972
646,0.227028,0.619333,76.7511
647,-0.303861,-0.753066,76.9529
648,-0.124081,0.845602,77.8932
649,-0.078005,-0.900694,78.57
650,-0.0799493,0.220614,78.6603
651,0.0427832,0.0220394,78.6608
652,-0.0457598,0.12265,78.6891
653,0.136541,-0.897554,79.7585
654,-0.110622,0.0278897,79.7777
655,0.314562,0.905919,80.1274
656,0.050338,0.997578,81.0246
657,0.129762,0.514345,81.1725
658,-0.0934914,-0.218945,81.1883
659,0.11155,0.991948,81.9634
660,-0.138159,0.768256,82.785
661,-0.0368167,-0.203477,82.8127
662,0.2472,0.997197,83.3752
663,-0.223633,0.46233,83.8458
664,0.0419224,-0.999627,84.9306
665,0.123472,-0.924856,86.0296
666,-0.152354,0.36066,86.2928
667,0.0645831,0.238372,86.323
668,-0.195017,-0.586264,86.4761
669,0.0924666,0.534842,86.6718
670,0.10152,-0.948397,87.7741
671,-0.190898,-0.964929,88.3732
672,0.00349262,0.0977164,88.3821
673,0.0540381,-0.662235,88.8951
674,-0.059358,0.998885,90.015
675,0.0738561,-0.640987,90.526
676,-0.0970001,0.238586,90.6386
677,-0.00356992,-0.970388,91.5734
678,0.128931,0.509642,91.7183
679,-0.128684,-0.538863,91.8866
680,0.073743,0.928367,92.6169
681,0.194981,0.941774,93.1746
