t,predict_test,teacher
501,-0.0651212,0.977669,1.08741
502,-0.180874,-0.77833,1.44437
503,-0.361564,-0.00331926,1.5727
504,-0.390658,-0.571624,1.60545
505,-0.032334,-0.0348205,1.60546
506,0.0724184,0.38375,1.70239
507,-0.426294,-0.50502,1.70858
508,0.192612,0.519976,1.81575
509,-0.0246127,-0.859837,2.51335
510,0.187406,0.132115,2.51641
511,-0.0901532,-0.052924,2.51779
512,-0.217059,0.774345,3.50068
513,-0.0969065,0.562689,3.93574
514,0.103126,-0.635738,4.48166
515,0.0266946,0.995008,5.41929
516,-0.0837999,-0.54745,5.63426
517,0.164993,-0.986186,6.95948
518,-0.173426,-0.259319,6.96686
519,0.169031,0.823939,7.39576
520,-0.0450754,0.138772,7.42956
521,0.164114,-0.146317,7.52593
522,0.200932,0.919269,8.04193
523,-0.165954,0.9995,9.40022
524,-0.0384728,-0.551372,9.66328
525,0.0203416,-0.0276344,9.66559
526,0.141677,-0.841579,10.6324
527,-0.2977,-0.980716,11.0989
528,-0.151688,0.997818,12.4203
529,-0.0980363,-0.785792,12.8933
530,0.159365,0.806381,13.3119
531,-0.151446,-0.0991539,13.3146
532,-0.0396382,0.69497,13.8543
533,0.24359,0.0934084,13.8768
534,-0.156319,-0.881917,14.4033
535,0.127731,-0.536256,14.8442
536,-0.170597,-0.974496,15.4905
537,-0.175119,0.987498,16.8421
538,-0.26418,-0.493894,16.8949
539,0.0886768,-0.641262,17.4277
540,0.134021,0.835382,17.9196
541,0.034113,-0.356681,18.0723
542,-0.178067,0.494675,18.5249
543,-0.05695,-0.585423,18.8042
544,-0.271399,-0.770177,19.053
545,0.258761,0.00862943,19.1156
546,0.120874,-0.979652,20.3267
547,0.0518634,0.388464,20.44
548,0.18715,-0.826281,21.4671
549,0.310326,0.997238,21.9389
550,0.18114,-0.0574349,21.9958
551,0.11314,0.987174,22.7598
552,0.150122,0.558079,22.9262
553,0.199383,-0.718126,23.768
554,-0.279687,-0.79285,24.0313
555,-0.335474,0.83138,25.3929
556,-0.142892,0.997424,26.6932
557,-0.0514997,-0.10619,26.6962
558,-0.224061,-0.864002,27.1057
559,-0.0739881,-0.309022,27.161
560,0.219924,0.320832,27.1711
561,-0.118282,-0.990675,27.9322
562,-0.151383,0.272319,28.1117
563,-0.0797048,0.999304,29.276
564,-0.157073,-0.191907,29.2772
565,0.197368,0.908615,29.7831
566,0.268353,0.979345,30.2886
567,0.0032176,-0.535128,30.5784
568,0.127006,-0.356487,30.8122
569,0.579632,0.999196,30.9882
570,0.141396,-0.996024,32.2819
571,0.163227,0.0479207,32.2952
572,0.223749,0.221114,32.2952
573,-0.0852691,-0.666923,32.6336
574,-0.0683395,-0.614549,32.9319
575,-0.0530067,-0.750282,33.4181
576,-0.133524,-0.92026,34.0371
577,0.12927,-0.971122,35.2479
578,-0.0775544,0.273445,35.3711
579,0.285536,0.0973385,35.4065
580,-0.069087,0.475163,35.7027
581,-0.0444304,0.928499,36.6493
582,-0.365173,-0.363084,36.6493
583,-0.023834,-0.807505,37.2635
584,-0.538673,-0.945221,37.4288
585,0.0912278,0.965595,38.1933
586,-0.150556,-0.681549,38.4752
587,-0.069327,0.394243,38.6901
588,-0.222177,-0.708096,38.9262
589,-0.21404,-0.445788,38.9799
590,0.308703,-0.387949,39.4653
591,-0.0690027,-0.870775,40.1081
592,-0.145094,0.210478,40.2345
593,0.149144,0.838813,40.7102
594,-0.035851,0.998554,41.7802
595,0.0660847,0.456449,41.9326
596,-0.0104067,0.462262,42.156
597,-0.0900538,-0.559238,42.3761
598,-0.0278108,0.248631,42.4525
599,-0.310969,-0.45088,42.4721
600,0.0874939,-0.0127192,42.4822
601,-0.301901,-0.828074,42.759
602,0.317158,0.569472,42.8227
603,-0.272338,-0.389635,42.8364
604,0.0961152,0.69589,43.1962
605,0.0156336,-0.213491,43.2487
606,-0.284675,0.981083,44.8508
607,0.201997,-0.333995,45.1381
608,-0.128153,-0.931642,45.7837
609,-0.0647231,0.856171,46.6317
610,-0.0603159,0.902396,47.5585
611,-0.346544,-0.698687,47.6826
612,0.207697,-0.0939989,47.7736
613,-0.177563,-0.642127,47.9894
614,-0.00920551,-0.382316,48.1286
615,0.0257685,-0.0934076,48.1428
616,0.0283463,-0.989301,49.1784
617,0.149793,-0.0165398,49.2061
618,0.0500472,0.959069,50.0324
619,-0.0255017,0.995927,51.0757
620,0.0031575,0.99723,52.0639
621,0.0457745,0.799939,52.6327
622,0.271943,0.78584,52.8967
623,-0.356439,0.139511,53.1427
624,-0.212428,-0.701988,53.3824
625,0.248656,0.745507,53.6292
626,0.306082,0.0857941,53.6778
627,0.0656024,0.203212,53.6967
628,-0.164673,-0.561198,53.8539
629,0.041101,0.64326,54.2165
630,0.092281,0.344586,54.2802
631,-0.222577,-0.534306,54.3774
632,-0.26819,0.129285,54.5354
633,-0.174867,0.0213921,54.5739
634,0.375672,0.913429,54.8631
635,-0.108924,-0.889485,55.4723
636,-0.237913,0.912315,56.7954
637,-0.2094,0.840607,57.8979
638,0.103068,0.127412,57.8985
639,0.112065,-0.879489,58.8816
640,0.0787986,-0.57217,59.3054
641,0.00841755,-0.540179,59.6064
642,0.0799381,0.103332,59.6069
643,-0.0725335,-0.953676,60.3833
644,-0.15127,0.93542,61.5642
645,-0.120045,0.382753,61.817
646,-0.426669,-0.524935,61.8267
647,-0.142889,-0.546258,61.9894
