t,predict_test,teacher
501,0.957384,0.602165,0.126181
502,0.996558,0.670824,0.232284
503,0.530513,0.550643,0.232689
504,1.15477,0.776757,0.375579
505,0.0277183,0.320502,0.461301
506,1.0882,1.08922,0.461302
507,-0.617296,-0.564801,0.464058
508,1.05032,0.880165,0.493012
509,-0.49248,-0.254006,0.549881
510,1.20466,1.17372,0.550838
511,-1.12594,-1.00488,0.565495
512,-0.0834869,-0.0615716,0.565976
513,0.589684,0.693229,0.576697
514,0.519894,0.308735,0.621286
515,0.845724,1.07452,0.673636
516,-0.452997,-0.523825,0.678652
517,1.22318,0.938208,0.759862
518,-0.44949,-0.389475,0.763464
519,0.853523,1.0691,0.809935
520,-0.683775,-0.716994,0.811039
521,0.594799,0.601016,0.811078
522,0.116048,0.279193,0.837694
523,1.06435,1.07118,0.83774
524,-0.2839,-0.522628,0.894731
525,0.771866,0.938957,0.922651
526,-0.643552,-0.391084,0.986391
527,1.06303,1.06756,0.986412
528,-0.796741,-0.712889,0.993443
529,0.500488,0.608773,1.00517
530,0.179453,0.267287,1.01288
531,1.0687,1.08261,1.01308
532,-0.311956,-0.560684,1.07494
533,0.727842,0.884671,1.09954
534,-0.592742,-0.263905,1.20767
535,1.02532,1.1679,1.228
536,-0.956365,-0.988749,1.22905
537,-0.131043,-0.0183049,1.24176
538,0.67978,0.702906,1.24229
539,0.484466,0.3028,1.2753
540,0.933313,1.08251,1.29756
541,-0.50467,-0.549714,1.29958
542,0.849894,0.901692,1.30227
543,-0.403973,-0.303183,1.31243
544,0.938776,1.14182,1.35365
545,-0.810512,-0.916208,1.36482
546,0.13425,0.167333,1.36592
547,0.52028,0.685937,1.39336
548,0.466736,0.391486,1.39902
549,1.16577,0.991215,1.42949
550,-0.219532,-0.258064,1.43098
551,1.06345,1.20413,1.45077
552,-0.993649,-1.10732,1.46369
553,-0.418233,-0.355367,1.46764
554,0.666659,0.491005,1.49849
555,0.437489,0.555869,1.51251
556,0.561128,0.714715,1.53609
557,0.379047,0.451616,1.54136
558,0.896816,0.928875,1.54239
559,0.0453528,-0.0724465,1.55627
560,1.10934,1.27131,1.5825
