t,predict_test,teacher
0,-0.613256,0.673122,1.65477
1,0.689853,0.470355,1.70295
2,0.241022,0.892209,2.12699
3,-0.199713,0.0266539,2.17823
4,0.423388,1.26667,2.88936
5,-0.927877,-1.23823,2.98568
6,0.0110435,-0.766504,3.59025
7,0.325385,-0.194008,3.86002
8,0.374388,0.717354,3.97765
9,0.312902,0.221362,3.98603
10,0.633709,1.1466,4.24909
11,0.140362,-0.774174,5.08547
12,0.404871,0.504897,5.09547
13,-0.461173,0.410858,5.85591
14,0.802062,0.915143,5.8687
15,0.10269,-0.0492227,5.89178
16,0.774901,1.27115,6.13804
17,0.513812,-1.27692,9.34476
18,0.0324547,-0.901392,10.2168
19,0.433108,-0.520586,11.1264
20,0.167898,0.350168,11.1596
21,0.335041,0.672159,11.2732
22,0.397977,0.472533,11.2788
23,0.137706,0.889045,11.8433
24,-0.0415254,0.0351991,11.8492
25,0.419835,1.26498,12.5635
26,-0.928462,-1.22968,12.6542
27,0.0082275,-0.737466,13.2103
28,0.3234,-0.130303,13.4161
29,0.381225,0.75499,13.5558
30,0.301024,0.162896,13.5749
31,0.621867,1.18935,13.8969
32,0.150716,-0.931499,15.0681
33,0.483914,0.142037,15.185
34,0.0878229,0.692306,15.5504
35,0.772357,0.371608,15.711
36,0.432351,1.01436,16.0497
37,0.49564,-0.32902,16.7298
38,0.77116,1.15275,16.8754
39,0.155159,-0.959081,18.1169
40,-0.300133,0.058054,18.2452
41,0.344635,0.707557,18.3769
42,0.14003,0.316524,18.4081
43,-0.00380791,1.072,19.5655
44,0.0887555,-0.513914,19.9287
45,0.542008,0.95185,20.0966
46,-0.126873,-0.422601,20.1841
47,0.539056,1.03553,20.4306
48,0.181203,-0.628023,21.0854
49,0.555709,0.758481,21.1265
50,0.263832,0.0061833,21.1929
51,0.394941,1.22749,21.8861
52,0.216109,-1.10757,23.6382
53,0.571547,-0.349154,24.4859
54,0.17503,0.497057,24.5896
55,0.240687,0.549362,24.6849
56,0.220371,0.726599,24.9411
57,0.290125,0.425684,24.9595
58,0.402174,0.96429,25.2755
59,-0.137709,-0.174092,25.2768
60,1.07161,1.24686,25.3075
61,-0.168364,-1.22874,26.4319
62,0.225487,-0.739655,27.3634
