t,predict_test,teacher
501,0.268033,0.550643,0.0798685
502,0.522898,0.776757,0.144313
503,-0.00067524,0.320502,0.247468
504,0.493432,1.08922,0.602427
505,-0.255965,-0.564801,0.697807
506,0.133451,0.880165,1.25539
507,0.364148,-0.254006,1.6375
508,0.343216,1.17372,2.32724
509,0.305392,-1.00488,4.04405
510,0.273595,-0.0615716,4.15638
511,0.288088,0.693229,4.32052
512,0.0705234,0.308735,4.37727
513,0.490416,1.07452,4.71845
514,0.696732,-0.523825,6.20821
515,0.416274,0.938208,6.48063
516,-0.840915,-0.389475,6.68443
517,0.294255,1.0691,7.2848
518,-0.0114949,-0.716994,7.78253
519,0.561104,0.601016,7.78413
520,0.0852695,0.279193,7.82173
521,0.171134,1.07118,8.63181
522,0.368516,-0.522628,9.42595
523,0.600473,0.938957,9.54052
524,0.236664,-0.391084,9.93459
525,0.274486,1.06756,10.5636
526,-0.159504,-0.712889,10.8698
527,0.525537,0.608773,10.8767
528,0.138847,0.267287,10.8932
529,0.197328,1.08261,11.6769
530,0.349172,-0.560684,12.5048
531,0.60186,0.884671,12.5848
532,0.226401,-0.263905,12.8252
533,0.266328,1.1679,13.638
534,-0.160954,-0.988749,14.3232
535,0.536861,-0.0183049,14.6314
536,0.194175,0.702906,14.8903
537,0.0879341,0.3028,14.9364
538,0.449261,1.08251,15.3374
539,0.678397,-0.549714,16.8457
540,0.446388,0.901692,17.053
541,-0.884892,-0.303183,17.3914
542,0.480322,1.14182,17.8289
543,-0.203654,-0.916208,18.3367
544,0.543863,0.167333,18.4785
545,0.0932265,0.685937,18.8298
546,0.100017,0.391486,18.9147
547,0.425711,0.991215,19.2345
548,0.592941,-0.258064,19.9587
549,0.535218,1.20413,20.4062
550,-0.563331,-1.10732,20.7021
551,0.377994,-0.355367,21.2399
552,0.105792,0.491005,21.3883
553,0.540632,0.555869,21.3885
554,0.445933,0.714715,21.4608
555,0.372698,0.451616,21.467
556,0.3151,0.928875,21.8437
557,0.316349,-0.0724465,21.9949
558,-0.152728,1.27131,24.0228
559,0.253545,-1.28447,26.3883
560,0.0859871,-0.928417,27.4173
561,0.249564,-0.592082,28.1256
562,0.400882,0.23069,28.1546
563,0.415696,0.747871,28.2649
564,0.456489,0.286172,28.294
565,0.248085,1.10971,29.0363
566,0.0311239,-0.638183,29.4843
567,0.699346,0.762725,29.4883
568,-0.509326,-0.00590313,29.7418
569,0.096885,1.22877,31.0229
570,0.161741,-1.11559,32.6545
571,0.328583,-0.373733,33.1478
572,0.206962,0.469775,33.2168
573,0.106161,0.578916,33.4403
574,0.769324,0.671731,33.4499
575,0.32122,0.541963,33.4986
576,0.369085,0.790307,33.676
577,0.424246,0.288171,33.6945
578,-0.123787,1.12083,35.2436
579,0.23106,-0.672322,36.0597
580,0.210911,0.703427,36.3023
