t,predict_test,teacher
501,0.181795,0.164706,0.000292055
502,0.134461,0.117647,0.00057478
503,0.128258,0.12549,0.000582443
504,0.179187,0.196078,0.000867769
505,0.285781,0.337255,0.00351729
506,0.400591,0.403922,0.00352838
507,0.338923,0.286275,0.00630022
508,0.178266,0.164706,0.0064841
509,0.129894,0.113725,0.00674551
510,0.121648,0.117647,0.00676151
511,0.174051,0.192157,0.00708933
512,0.288501,0.341176,0.00986404
513,0.408628,0.411765,0.00987388
514,0.343431,0.286275,0.0131407
515,0.17744,0.160784,0.0134182
516,0.129747,0.109804,0.0138159
517,0.11947,0.117647,0.0138192
518,0.173467,0.192157,0.0141685
519,0.289687,0.345098,0.0172389
520,0.415135,0.427451,0.0173906
521,0.350186,0.290196,0.0209894
522,0.167658,0.156863,0.0211059
523,0.122484,0.109804,0.0212667
524,0.113424,0.113725,0.0212668
525,0.167113,0.180392,0.0214431
526,0.284325,0.345098,0.0251364
527,0.426884,0.443137,0.0254006
528,0.362501,0.298039,0.0295559
529,0.163277,0.160784,0.0295621
530,0.122975,0.109804,0.0297356
531,0.108785,0.113725,0.02976
532,0.160031,0.180392,0.0301746
533,0.275197,0.345098,0.0350607
534,0.428694,0.45098,0.0355574
535,0.367307,0.309804,0.038864
536,0.161865,0.164706,0.038872
537,0.118184,0.105882,0.0390234
538,0.100782,0.109804,0.0391047
539,0.155935,0.172549,0.0393808
540,0.269781,0.341176,0.0444781
541,0.434494,0.466667,0.0455131
542,0.382165,0.32549,0.0487252
543,0.165057,0.164706,0.0487253
544,0.111766,0.105882,0.0487599
545,0.0977194,0.105882,0.0488265
546,0.146707,0.164706,0.0491505
547,0.260348,0.333333,0.0544773
548,0.43564,0.482353,0.0566594
549,0.402911,0.34902,0.0595637
550,0.169555,0.176471,0.0596115
551,0.10613,0.109804,0.059625
552,0.0898762,0.101961,0.059771
553,0.131247,0.152941,0.0602416
554,0.244226,0.313725,0.0650718
555,0.427789,0.490196,0.0689664
