t,predict_test,teacher
501,0.163958,0.164706,5.59814e-07
502,0.120619,0.117647,9.39095e-06
503,0.124625,0.12549,1.01387e-05
504,0.19571,0.196078,1.02748e-05
505,0.347498,0.337255,0.000115192
506,0.413529,0.403922,0.0002075
507,0.283021,0.286275,0.000218086
508,0.16218,0.164706,0.000224465
509,0.120638,0.113725,0.000272251
510,0.120797,0.117647,0.00028217
511,0.185231,0.192157,0.000330138
512,0.353211,0.341176,0.000474968
513,0.429781,0.411765,0.00079956
514,0.284168,0.286275,0.000803997
515,0.157077,0.160784,0.000817745
516,0.116169,0.109804,0.00085826
517,0.117271,0.117647,0.000858402
518,0.186326,0.192157,0.000892401
519,0.354796,0.345098,0.000986446
520,0.43182,0.427451,0.00100553
521,0.290936,0.290196,0.00100608
522,0.155478,0.156863,0.001008
523,0.111301,0.109804,0.00101024
524,0.117032,0.113725,0.00102118
525,0.182044,0.180392,0.00102391
526,0.347355,0.345098,0.001029
527,0.454881,0.443137,0.00116692
528,0.304571,0.298039,0.00120959
529,0.158265,0.160784,0.00121593
530,0.11152,0.109804,0.00121888
531,0.118258,0.113725,0.00123942
532,0.179592,0.180392,0.00124006
533,0.340958,0.345098,0.0012572
534,0.453954,0.45098,0.00126604
535,0.311502,0.309804,0.00126892
536,0.160412,0.164706,0.00128736
537,0.112671,0.105882,0.00133345
538,0.111667,0.109804,0.00133692
539,0.170009,0.172549,0.00134338
540,0.335217,0.341176,0.00137889
541,0.464768,0.466667,0.00138249
542,0.324312,0.32549,0.00138388
543,0.163003,0.164706,0.00138678
544,0.106518,0.105882,0.00138718
545,0.110111,0.105882,0.00140507
546,0.159631,0.164706,0.00143083
547,0.326771,0.333333,0.00147389
548,0.474463,0.482353,0.00153614
549,0.341523,0.34902,0.00159234
550,0.168839,0.176471,0.00165058
551,0.109681,0.109804,0.0016506
552,0.116074,0.101961,0.00184977
553,0.145971,0.152941,0.00189835
554,0.306961,0.313725,0.00194412
555,0.478987,0.490196,0.00206975
556,0.370999,0.368627,0.00207537
557,0.177739,0.184314,0.00211861
558,0.108716,0.109804,0.00211979
559,0.110884,0.101961,0.00219941
560,0.141832,0.145098,0.00221008
561,0.289794,0.294118,0.00222877
562,0.467791,0.494118,0.00292185
563,0.39995,0.396078,0.00293684
564,0.189663,0.196078,0.00297799
565,0.109105,0.109804,0.00297848
566,0.104384,0.0980392,0.00301874
567,0.130062,0.137255,0.00307047
568,0.273706,0.27451,0.00307112
569,0.45834,0.490196,0.00408594
570,0.422424,0.431373,0.00416602
571,0.202197,0.211765,0.00425756
572,0.109213,0.113725,0.00427792
573,0.10345,0.0980392,0.00430719
574,0.120523,0.12549,0.00433187
575,0.25007,0.243137,0.00437993
576,0.439546,0.478431,0.005892
577,0.46565,0.470588,0.00591639
578,0.22818,0.239216,0.00603818
579,0.116043,0.12549,0.00612743
580,0.107693,0.0941176,0.00631173
581,0.112977,0.113725,0.00631229
582,0.217666,0.219608,0.00631606
583,0.421618,0.45098,0.00717823
584,0.486795,0.505882,0.00754255
585,0.257469,0.262745,0.00757038
586,0.116007,0.12549,0.00766032
587,0.0926708,0.0901961,0.00766645
588,0.104159,0.101961,0.00767128
589,0.188522,0.188235,0.00767136
590,0.392856,0.407843,0.00789599
591,0.507087,0.537255,0.00880608
592,0.299522,0.305882,0.00884654
593,0.125947,0.141176,0.00907847
594,0.0920869,0.0901961,0.00908205
595,0.10487,0.0980392,0.00912871
596,0.164587,0.160784,0.00914317
597,0.348433,0.364706,0.00940797
598,0.522086,0.556863,0.0106174
599,0.350926,0.352941,0.0106214
600,0.141292,0.14902,0.0106811
601,0.0797371,0.0941176,0.0108879
