t,predict_test,teacher
501,0.280984,0.286275,2.79938e-05
502,0.15556,0.164706,0.000111642
503,0.111017,0.113725,0.000118979
504,0.118779,0.117647,0.00012026
505,0.191031,0.192157,0.000121527
506,0.350888,0.341176,0.000215835
507,0.420004,0.411765,0.000283714
508,0.282175,0.286275,0.000300523
509,0.152924,0.160784,0.000362312
510,0.104981,0.109804,0.000385574
511,0.108486,0.117647,0.000469496
512,0.181958,0.192157,0.000573513
513,0.342187,0.345098,0.000581987
514,0.42576,0.427451,0.000584848
515,0.281255,0.290196,0.000664796
516,0.147862,0.156863,0.000745801
517,0.0991712,0.109804,0.000858856
518,0.106997,0.113725,0.000904136
519,0.177496,0.180392,0.000912521
520,0.346914,0.345098,0.000915817
521,0.440526,0.443137,0.000922634
522,0.290317,0.298039,0.000982261
523,0.14185,0.160784,0.00134079
524,0.0982654,0.109804,0.00147392
525,0.0999374,0.113725,0.00166404
526,0.16664,0.180392,0.00185316
527,0.341908,0.345098,0.00186333
528,0.454065,0.45098,0.00187285
529,0.301974,0.309804,0.00193415
530,0.138119,0.164706,0.00264102
531,0.0977323,0.105882,0.00270745
532,0.0997037,0.109804,0.00280946
533,0.165993,0.172549,0.00285244
534,0.340379,0.341176,0.00285307
535,0.461719,0.466667,0.00287756
536,0.315081,0.32549,0.0029859
537,0.141761,0.164706,0.00351235
538,0.0924973,0.105882,0.00369151
539,0.095463,0.105882,0.00380008
540,0.152041,0.164706,0.00396048
541,0.330203,0.333333,0.00397028
542,0.474122,0.482353,0.00403804
543,0.337589,0.34902,0.00416869
544,0.146422,0.176471,0.00507162
545,0.0898774,0.109804,0.00546868
546,0.0904239,0.101961,0.00560178
547,0.143251,0.152941,0.00569567
548,0.315664,0.313725,0.00569943
549,0.486937,0.490196,0.00571005
550,0.36953,0.368627,0.00571087
551,0.152116,0.184314,0.00674756
552,0.0924651,0.109804,0.00704819
553,0.0869902,0.101961,0.00727231
554,0.133547,0.145098,0.00740575
555,0.288883,0.294118,0.00743316
556,0.48967,0.494118,0.00745294
557,0.396767,0.396078,0.00745341
558,0.161148,0.196078,0.00867354
559,0.091863,0.109804,0.00899541
560,0.0870548,0.0980392,0.00911607
561,0.124274,0.137255,0.00928457
562,0.272287,0.27451,0.0092895
563,0.487346,0.490196,0.00929763
564,0.431952,0.431373,0.00929796
565,0.179591,0.211765,0.0103331
566,0.0912093,0.113725,0.0108401
567,0.0834468,0.0980392,0.011053
568,0.113767,0.12549,0.0111905
569,0.246665,0.243137,0.0112029
570,0.477691,0.478431,0.0112035
571,0.466321,0.470588,0.0112217
572,0.21402,0.239216,0.0118565
573,0.0905887,0.12549,0.0130746
574,0.086169,0.0941176,0.0131378
575,0.101258,0.113725,0.0132932
576,0.218939,0.219608,0.0132937
577,0.454537,0.45098,0.0133063
578,0.504969,0.505882,0.0133072
579,0.255596,0.262745,0.0133583
580,0.0935999,0.12549,0.0143753
581,0.0827228,0.0901961,0.0144311
582,0.092043,0.101961,0.0145295
583,0.187385,0.188235,0.0145302
584,0.41736,0.407843,0.0146208
585,0.523313,0.537255,0.0148152
586,0.318004,0.305882,0.0149621
587,0.0996858,0.141176,0.0166836
588,0.0809067,0.0901961,0.0167699
589,0.0766881,0.0980392,0.0172257
590,0.154536,0.160784,0.0172648
591,0.365941,0.364706,0.0172663
592,0.537985,0.556863,0.0176227
593,0.389026,0.352941,0.0189248
594,0.112226,0.14902,0.0202786
595,0.0814542,0.0941176,0.0204389
596,0.07494,0.0862745,0.0205674
597,0.128555,0.137255,0.0206431
598,0.32348,0.305882,0.0209528
599,0.540281,0.556863,0.0212277
600,0.456724,0.407843,0.023617
601,0.149205,0.176471,0.0243605
602,0.0814985,0.0941176,0.0245197
603,0.0666162,0.0784314,0.0246593
604,0.108698,0.109804,0.0246605
605,0.253164,0.247059,0.0246978
606,0.517994,0.521569,0.0247106
607,0.506736,0.486275,0.0251292
608,0.175396,0.211765,0.026452
609,0.0849507,0.0980392,0.0266233
610,0.0620463,0.0784314,0.0268917
611,0.0823399,0.0941176,0.0270305
612,0.188166,0.196078,0.0270931
613,0.457063,0.466667,0.0271853
614,0.541898,0.54902,0.027236
615,0.267101,0.262745,0.027255
616,0.091089,0.117647,0.0279603
617,0.0714474,0.0784314,0.0280091
618,0.0638909,0.0823529,0.0283499
619,0.149122,0.14902,0.0283499
620,0.385237,0.384314,0.0283508
621,0.568838,0.592157,0.0288945
622,0.368755,0.337255,0.0298868
623,0.10077,0.133333,0.0309472
624,0.0754772,0.0784314,0.0309559
625,0.0551453,0.0745098,0.0313309
626,0.112678,0.121569,0.03141
627,0.298513,0.298039,0.0314102
628,0.564456,0.592157,0.0321775
629,0.486807,0.435294,0.0348312
630,0.146702,0.168627,0.0353119
631,0.0774251,0.0823529,0.0353362
632,0.0539769,0.0705882,0.0356121
633,0.0879758,0.0941176,0.0356499
634,0.222311,0.219608,0.0356572
635,0.51249,0.52549,0.0358262
636,0.573837,0.537255,0.0371644
637,0.209726,0.223529,0.037355
638,0.0866682,0.0941176,0.0374104
639,0.0618826,0.0666667,0.0374333
640,0.064896,0.0823529,0.0377381
641,0.15561,0.156863,0.0377396
642,0.417607,0.419608,0.0377437
643,0.590821,0.615686,0.0383619
644,0.333688,0.317647,0.0386192
645,0.106607,0.121569,0.0388431
646,0.069608,0.0705882,0.0388441
647,0.0525165,0.0666667,0.0390443
648,0.106772,0.113725,0.0390926
649,0.324198,0.301961,0.0395871
650,0.58519,0.619608,0.0407717
651,0.513713,0.443137,0.0457527
652,0.147727,0.160784,0.0459232
653,0.0787015,0.0784314,0.0459232
654,0.0468195,0.0666667,0.0463171
655,0.0809618,0.0901961,0.0464024
656,0.204363,0.207843,0.0464145
657,0.511372,0.529412,0.04674
658,0.613093,0.584314,0.0475682
659,0.226068,0.239216,0.0477411
660,0.0905986,0.0980392,0.0477964
661,0.0628739,0.0705882,0.0478559
662,0.0614265,0.0745098,0.0480271
663,0.142802,0.141176,0.0480298
664,0.401797,0.384314,0.0483354
665,0.619762,0.662745,0.0501829
666,0.407813,0.360784,0.0523947
667,0.121996,0.129412,0.0524496
668,0.0829081,0.0745098,0.0525202
669,0.0463288,0.0666667,0.0529338
670,0.103132,0.0980392,0.0529597
671,0.279091,0.247059,0.0539858
672,0.571259,0.607843,0.0553242
673,0.634331,0.537255,0.0647479
674,0.181147,0.2,0.0651033
675,0.0936074,0.0862745,0.0651571
676,0.0510794,0.0627451,0.0652932
677,0.0744141,0.0745098,0.0652932
678,0.17085,0.152941,0.0656139
679,0.445812,0.435294,0.0657246
680,0.663204,0.678431,0.0659564
681,0.305221,0.321569,0.0662236
682,0.11759,0.117647,0.0662236
683,0.0728182,0.0705882,0.0662286
684,0.0495551,0.0666667,0.0665214
685,0.10195,0.0980392,0.0665367
686,0.305539,0.262745,0.0683681
687,0.592742,0.643137,0.0709077
688,0.63465,0.52549,0.0828236
689,0.170027,0.180392,0.082931
690,0.0984916,0.0862745,0.0830803
691,0.0455931,0.0588235,0.0832553
692,0.077873,0.0745098,0.0832666
693,0.181638,0.145098,0.0846018
694,0.452765,0.439216,0.0847854
695,0.694703,0.705882,0.0849104
696,0.300535,0.329412,0.0857442
697,0.110491,0.109804,0.0857447
698,0.0719819,0.0666667,0.085773
699,0.049408,0.054902,0.0858032
700,0.0970815,0.0862745,0.0859199
701,0.300741,0.235294,0.0902032
702,0.587885,0.639216,0.0928381
703,0.685759,0.572549,0.105655
704,0.218546,0.192157,0.106351
705,0.105305,0.0784314,0.107073
706,0.0433278,0.054902,0.107207
707,0.0708643,0.0627451,0.107273
708,0.140482,0.117647,0.107795
709,0.403465,0.372549,0.10875
710,0.68977,0.741176,0.111393
711,0.355284,0.388235,0.112479
712,0.1431,0.121569,0.112942
713,0.084139,0.0627451,0.1134
714,0.0422282,0.0509804,0.113477
715,0.0812563,0.0705882,0.113591
716,0.236433,0.160784,0.119313
717,0.526258,0.537255,0.119434
718,0.763223,0.698039,0.123683
719,0.256222,0.25098,0.123711
720,0.117133,0.0862745,0.124663
721,0.0527027,0.054902,0.124668
722,0.0624992,0.0509804,0.1248
723,0.0989056,0.0784314,0.12522
724,0.304048,0.231373,0.130501
725,0.626237,0.690196,0.134592
726,0.595187,0.588235,0.13464
727,0.217972,0.172549,0.136704
728,0.113595,0.0705882,0.138553
729,0.0347934,0.0470588,0.138704
730,0.0713715,0.0470588,0.139295
731,0.13749,0.0862745,0.141918
732,0.350041,0.301961,0.14423
733,0.709908,0.780392,0.149198
734,0.38151,0.482353,0.159367
735,0.167113,0.129412,0.160788
736,0.0979917,0.054902,0.162645
737,0.0377525,0.0431373,0.162674
738,0.0718288,0.0431373,0.163497
739,0.156668,0.0901961,0.167916
740,0.394374,0.337255,0.171178
741,0.776225,0.835294,0.174668
742,0.35245,0.439216,0.182196
743,0.153815,0.105882,0.184493
744,0.0841592,0.0470588,0.18587
745,0.0529456,0.0392157,0.186058
746,0.0694173,0.0392157,0.186971
747,0.161036,0.0823529,0.193162
748,0.374883,0.301961,0.198479
749,0.77693,0.866667,0.206532
750,0.431398,0.490196,0.209989
751,0.16429,0.109804,0.212958
752,0.0861326,0.0470588,0.214485
753,0.0605269,0.0392157,0.214939
754,0.0677883,0.0313725,0.216265
755,0.147064,0.0509804,0.225497
756,0.259372,0.168627,0.233732
757,0.698195,0.729412,0.234706
758,0.474507,0.764706,0.318921
759,0.192002,0.172549,0.3193
760,0.106473,0.054902,0.321959
761,0.0575488,0.0352941,0.322455
762,0.0655838,0.0313725,0.323625
763,0.0901039,0.027451,0.32755
764,0.0993735,0.0392157,0.331169
765,0.330528,0.145098,0.365554
766,0.49701,0.768627,0.439329
767,0.38011,0.85098,0.661048
768,0.202486,0.168627,0.662195
769,0.0356636,0.0470588,0.662324
770,0.080338,0.0313725,0.664722
771,0.0549594,0.0313725,0.665278
772,0.0808196,0.0235294,0.668561
773,-0.0689444,0.0196078,0.676402
774,-0.138849,0.027451,0.704058
775,0.364518,0.0705882,0.790453
776,0.531649,0.211765,0.892779
777,0.271866,0.203922,0.897395
778,0.0376772,0.156863,0.911601
779,0.0875532,0.145098,0.914912
780,0.050067,0.160784,0.92717
781,0.0450914,0.2,0.951167
782,0.0500141,0.254902,0.993146
783,0.115462,0.290196,1.02368
784,0.131294,0.282353,1.0465
785,0.23721,0.235294,1.0465
786,0.191,0.196078,1.04653
787,0.176132,0.184314,1.04659
788,0.232561,0.211765,1.04703
789,0.308464,0.258824,1.04949
790,0.343039,0.298039,1.05151
791,0.319538,0.282353,1.0529
792,0.260339,0.231373,1.05374
793,0.222228,0.192157,1.05464
794,0.216531,0.188235,1.05544
795,0.253508,0.219608,1.05659
796,0.306007,0.270588,1.05785
797,0.347212,0.309804,1.05924
798,0.312901,0.282353,1.06018
799,0.25355,0.227451,1.06086
800,0.21692,0.192157,1.06147
801,0.221016,0.188235,1.06255
802,0.261353,0.223529,1.06398
803,0.320196,0.278431,1.06572
804,0.356033,0.309804,1.06786
