t,predict_test,teacher
501,0.543103,0.536295,4.63479e-05
502,0.567238,0.549239,0.000370333
503,0.531294,0.472762,0.00379636
504,0.419064,0.379746,0.00534224
505,0.367349,0.339764,0.00610319
506,0.40701,0.408659,0.00610591
507,0.558728,0.549678,0.00618781
508,0.424519,0.41561,0.00626717
509,0.468831,0.456628,0.00641608
510,0.483198,0.479724,0.00642814
511,0.501737,0.500248,0.00643036
512,0.466409,0.455713,0.00654478
513,0.423774,0.427589,0.00655934
514,0.358859,0.364442,0.00659051
515,0.366391,0.337262,0.00743904
516,0.338168,0.325831,0.00759123
517,0.316943,0.295486,0.00805161
518,0.354418,0.35587,0.00805372
519,0.405332,0.389164,0.0083151
520,0.400923,0.374989,0.0089877
521,0.418655,0.395455,0.00952593
522,0.619332,0.608424,0.0096449
523,0.599308,0.581121,0.00997566
524,0.440372,0.414392,0.0106506
525,0.406518,0.358963,0.0129121
526,0.440332,0.411515,0.0137426
527,0.518172,0.49847,0.0141308
528,0.412561,0.384661,0.0149092
529,0.400658,0.352779,0.0172016
530,0.413439,0.362979,0.0197479
531,0.662366,0.646538,0.0199984
532,0.607573,0.604066,0.0200107
533,0.468061,0.454183,0.0202033
534,0.424083,0.404374,0.0205917
535,0.401414,0.422894,0.0210531
536,0.596824,0.568766,0.0218404
537,0.396856,0.410851,0.0220362
538,0.408115,0.412888,0.022059
539,0.324984,0.354243,0.022915
540,0.343545,0.349153,0.0229465
541,0.382308,0.371998,0.0230528
542,0.319116,0.302899,0.0233158
543,0.224364,0.276581,0.0260424
544,0.358523,0.385997,0.0267972
545,0.473688,0.451736,0.0272791
546,0.373509,0.351927,0.0277449
547,0.360429,0.305162,0.0307993
548,0.440822,0.385972,0.0338079
549,0.325831,0.309066,0.0340889
550,0.337164,0.327036,0.0341915
551,0.231974,0.25518,0.03473
552,0.266827,0.268771,0.0347338
553,0.467775,0.458425,0.0348212
554,0.403913,0.404168,0.0348213
555,0.317327,0.326178,0.0348996
556,0.29571,0.265587,0.035807
557,0.265124,0.27089,0.0358403
558,0.334846,0.326889,0.0359036
559,0.42566,0.444007,0.0362402
560,0.279445,0.30764,0.0370352
561,0.274889,0.247438,0.0377887
562,0.305523,0.295516,0.0378889
563,0.298631,0.274041,0.0384935
564,0.210993,0.225753,0.0387114
565,0.206645,0.242393,0.0399893
566,0.161044,0.216193,0.0430306
567,0.377293,0.399295,0.0435147
568,0.396259,0.414556,0.0438495
569,0.289182,0.291996,0.0438574
570,0.260868,0.237635,0.0443972
571,0.200177,0.22979,0.0452741
572,0.326493,0.276454,0.047778
573,0.180514,0.221971,0.0494966
574,0.307924,0.302974,0.0495211
575,0.251332,0.281123,0.0504086
576,0.359712,0.414869,0.0534509
577,0.304087,0.361135,0.0567054
578,0.304707,0.298655,0.0567421
579,0.500699,0.567193,0.0611635
580,0.393287,0.430302,0.0625336
581,0.568093,0.635494,0.0670765
582,0.396412,0.439033,0.068893
583,0.448654,0.447025,0.0688957
584,0.38485,0.390641,0.0689292
585,0.390816,0.408009,0.0692248
586,0.462902,0.475304,0.0693786
587,0.414559,0.426841,0.0695295
588,0.54409,0.543568,0.0695298
589,0.514288,0.553588,0.0710742
590,0.619881,0.665611,0.0731655
591,0.596764,0.624895,0.0739569
592,0.503312,0.511158,0.0740185
593,0.42134,0.424928,0.0740313
594,0.403181,0.411537,0.0741011
595,0.620699,0.623215,0.0741075
596,0.610313,0.634455,0.0746903
597,0.565193,0.590413,0.0753264
598,0.48367,0.494679,0.0754476
599,0.397614,0.410254,0.0756074
600,0.575701,0.584843,0.075691
601,0.519448,0.53661,0.0759855
602,0.559743,0.572812,0.0761563
603,0.569672,0.585398,0.0764036
604,0.603748,0.625609,0.0768815
605,0.686513,0.715496,0.0777215
606,0.540155,0.57301,0.078801
607,0.45153,0.473329,0.0792762
608,0.36827,0.402791,0.0804679
609,0.487747,0.478371,0.0805558
610,0.497315,0.494938,0.0805614
611,0.494518,0.487177,0.0806153
612,0.657089,0.67871,0.0810828
613,0.618449,0.649982,0.0820772
614,0.633075,0.657369,0.0826674
615,0.518936,0.544564,0.0833242
616,0.40884,0.424046,0.0835554
617,0.565928,0.5903,0.0841494
618,0.559536,0.577404,0.0844687
619,0.594507,0.602722,0.0845362
620,0.445989,0.462034,0.0847937
621,0.498845,0.52913,0.0857108
622,0.436912,0.447865,0.0858308
623,0.402078,0.415494,0.0860108
624,0.350359,0.35714,0.0860568
625,0.302652,0.309307,0.086101
626,0.489123,0.512698,0.0866568
627,0.424394,0.423895,0.086657
628,0.494261,0.497974,0.0866708
629,0.361085,0.380947,0.0870653
630,0.477636,0.478187,0.0870656
631,0.400377,0.38133,0.0874285
632,0.36515,0.346806,0.0877649
633,0.287892,0.280515,0.0878194
634,0.339281,0.31759,0.0882898
635,0.425257,0.403488,0.0887637
636,0.349858,0.327416,0.0892674
637,0.356461,0.357303,0.0892681
638,0.389508,0.359909,0.0901442
639,0.53295,0.524424,0.0902169
640,0.535837,0.540989,0.0902434
641,0.41583,0.417355,0.0902457
642,0.315929,0.319176,0.0902563
643,0.392162,0.398823,0.0903007
644,0.290043,0.303174,0.0904731
645,0.326997,0.338544,0.0906064
646,0.288728,0.279683,0.0906882
647,0.272465,0.252282,0.0910955
648,0.385139,0.381232,0.0911108
649,0.376215,0.344171,0.0921376
650,0.338357,0.318469,0.0925331
651,0.298548,0.300151,0.0925357
652,0.571428,0.59239,0.0929751
653,0.404736,0.389306,0.0932132
654,0.439294,0.4411,0.0932165
655,0.287874,0.314793,0.0939411
656,0.281847,0.273238,0.0940153
657,0.308378,0.314879,0.0940575
658,0.294377,0.282132,0.0942075
659,0.454127,0.461962,0.0942688
660,0.388005,0.349688,0.0957371
661,0.505546,0.504583,0.095738
662,0.592073,0.593648,0.0957405
663,0.413506,0.42741,0.0959338
664,0.327182,0.337596,0.0960423
665,0.334045,0.311463,0.0965522
666,0.302238,0.297868,0.0965713
667,0.34737,0.375178,0.0973446
668,0.334031,0.30133,0.098414
669,0.323259,0.284528,0.0999141
670,0.434979,0.439529,0.0999348
671,0.421896,0.430655,0.100011
672,0.348328,0.337074,0.100138
673,0.406278,0.39555,0.100253
674,0.313056,0.309359,0.100267
675,0.335699,0.340035,0.100286
676,0.314849,0.26741,0.102536
677,0.296599,0.235141,0.106313
678,0.506589,0.49697,0.106406
679,0.526196,0.520117,0.106443
680,0.41177,0.396309,0.106682
681,0.367971,0.339983,0.107465
682,0.477538,0.447464,0.10837
683,0.36641,0.373379,0.108418
684,0.299046,0.2843,0.108636
685,0.231354,0.239094,0.108696
686,0.277438,0.291216,0.108885
687,0.423996,0.402121,0.109364
688,0.39262,0.377056,0.109606
689,0.382638,0.39302,0.109714
690,0.310333,0.311197,0.109715
691,0.542399,0.543659,0.109716
692,0.584517,0.551959,0.110776
693,0.414455,0.371014,0.112663
694,0.283937,0.281553,0.112669
695,0.26186,0.285359,0.113221
696,0.433589,0.396695,0.114582
697,0.431333,0.410749,0.115006
698,0.478777,0.497356,0.115351
699,0.411987,0.426809,0.115571
700,0.541936,0.579653,0.116994
701,0.501197,0.51991,0.117344
702,0.399339,0.419237,0.11774
703,0.310718,0.315053,0.117759
704,0.317646,0.333367,0.118006
705,0.308882,0.298898,0.118105
706,0.387435,0.386367,0.118107
707,0.345246,0.322902,0.118606
708,0.405332,0.384037,0.119059
709,0.503976,0.466795,0.120442
710,0.403711,0.383438,0.120853
711,0.340322,0.34773,0.120908
712,0.42933,0.433621,0.120926
713,0.355212,0.341864,0.121104
714,0.272291,0.275504,0.121115
715,0.308249,0.307777,0.121115
716,0.29156,0.278705,0.12128
717,0.376565,0.368236,0.121349
718,0.338197,0.337322,0.12135
719,0.338508,0.324434,0.121548
720,0.311827,0.30045,0.121678
721,0.28489,0.272361,0.121835
722,0.233486,0.238458,0.121859
723,0.305508,0.320225,0.122076
724,0.368591,0.389624,0.122518
725,0.429343,0.429925,0.122519
726,0.378343,0.37425,0.122535
727,0.391483,0.363153,0.123338
728,0.46652,0.439007,0.124095
729,0.320789,0.321363,0.124095
730,0.237636,0.255963,0.124431
731,0.229381,0.234351,0.124456
732,0.522979,0.534646,0.124592
733,0.450026,0.438771,0.124719
734,0.416794,0.442185,0.125363
735,0.39932,0.416541,0.12566
736,0.556909,0.580818,0.126232
737,0.594069,0.592754,0.126233
738,0.382936,0.43078,0.128522
739,0.325434,0.33205,0.128566
740,0.227383,0.271684,0.130529
741,0.373038,0.402713,0.131409
742,0.358091,0.335049,0.13194
743,0.336661,0.272859,0.136011
744,0.344406,0.255252,0.14396
745,0.556162,0.544313,0.1441
746,0.384286,0.403587,0.144472
747,0.314606,0.335253,0.144899
748,0.329916,0.325419,0.144919
749,0.27327,0.259272,0.145115
750,0.233293,0.248801,0.145355
751,0.209518,0.249684,0.146969
752,0.245409,0.2175,0.147748
753,0.228228,0.21351,0.147964
754,0.270469,0.267557,0.147973
755,0.292299,0.274826,0.148278
756,0.224259,0.22324,0.148279
757,0.265438,0.262342,0.148289
758,0.459579,0.43767,0.148769
759,0.349484,0.320339,0.149618
760,0.340138,0.314707,0.150265
761,0.577765,0.573497,0.150283
762,0.55437,0.576603,0.150777
763,0.421356,0.416325,0.150803
764,0.611566,0.616709,0.150829
765,0.360756,0.409657,0.15322
766,0.363893,0.406132,0.155004
767,0.498463,0.486326,0.155152
768,0.367657,0.386448,0.155505
769,0.388211,0.410164,0.155987
770,0.577501,0.605527,0.156772
771,0.594676,0.625246,0.157707
772,0.480244,0.532921,0.160482
773,0.572328,0.631133,0.16394
774,0.377867,0.456628,0.170143
775,0.344072,0.382317,0.171605
776,0.289386,0.318942,0.172479
777,0.257052,0.283752,0.173192
778,0.386364,0.427996,0.174925
779,0.52801,0.565302,0.176316
780,0.599638,0.627995,0.17712
781,0.507667,0.566985,0.180638
782,0.434729,0.456359,0.181106
783,0.399951,0.401396,0.181108
784,0.350404,0.342179,0.181176
785,0.300862,0.290019,0.181294
786,0.274735,0.275335,0.181294
787,0.423723,0.426171,0.1813
788,0.541397,0.546487,0.181326
789,0.492702,0.48502,0.181385
790,0.506153,0.516986,0.181502
791,0.399906,0.408559,0.181577
792,0.344103,0.347347,0.181588
793,0.345109,0.339282,0.181622
794,0.446516,0.447113,0.181622
795,0.42438,0.421817,0.181629
796,0.374341,0.343053,0.182607
797,0.471855,0.453679,0.182938
798,0.385952,0.376332,0.18303
799,0.342372,0.330373,0.183174
800,0.437941,0.434583,0.183186
801,0.39703,0.372751,0.183775
802,0.346305,0.326381,0.184172
803,0.407053,0.379663,0.184922
804,0.357055,0.346051,0.185043
805,0.348453,0.315684,0.186117
806,0.358069,0.344888,0.186291
807,0.317057,0.314949,0.186295
808,0.270421,0.260673,0.18639
809,0.421204,0.413186,0.186455
810,0.503615,0.485802,0.186772
811,0.432265,0.418832,0.186952
812,0.373803,0.375126,0.186954
813,0.380147,0.350274,0.187847
814,0.430341,0.397339,0.188936
815,0.442886,0.443245,0.188936
816,0.407754,0.405871,0.188939
817,0.348732,0.311902,0.190296
818,0.469367,0.452033,0.190596
819,0.441876,0.426876,0.190821
820,0.413067,0.384157,0.191657
821,0.411398,0.374559,0.193014
822,0.449019,0.440837,0.193081
823,0.487588,0.457739,0.193972
