t,predict_test,teacher
501,0.178949,0.184258,2.81863e-05
502,0.231743,0.249916,0.000358462
503,0.342089,0.363756,0.000827918
504,0.279236,0.275911,0.000838971
505,0.158504,0.156821,0.000841802
506,0.31578,0.336358,0.00126527
507,0.310764,0.298227,0.00142244
508,0.145886,0.162118,0.0016859
509,0.12517,0.127299,0.00169044
510,0.237705,0.229693,0.00175462
511,0.178583,0.1838,0.00178184
512,0.195774,0.193076,0.00178912
513,0.230754,0.237719,0.00183763
514,0.3212,0.337833,0.0021143
515,0.18599,0.199791,0.00230477
516,0.19412,0.164548,0.00317929
517,0.285334,0.286371,0.00318036
518,0.219014,0.212948,0.00321717
519,0.12778,0.134363,0.0032605
520,0.211527,0.224697,0.00343393
521,0.360011,0.358603,0.00343591
522,0.211722,0.2123,0.00343625
523,0.212766,0.210746,0.00344033
524,0.179003,0.207704,0.00426411
525,0.213639,0.224353,0.0043789
526,0.155748,0.17155,0.00462858
527,0.309727,0.321405,0.00476498
528,0.185206,0.202837,0.00507583
529,0.105269,0.121461,0.00533801
530,0.0410189,0.0815116,0.00697767
531,0.284087,0.29765,0.00716163
532,0.301174,0.30155,0.00716177
533,0.208237,0.184227,0.00773821
534,0.153954,0.139176,0.00795659
535,0.273634,0.279876,0.00799556
536,0.407697,0.430523,0.00851656
537,0.252985,0.235222,0.00883211
538,0.254408,0.251489,0.00884063
539,0.231801,0.23621,0.00886007
540,0.147188,0.151207,0.00887622
541,0.185207,0.179177,0.00891259
542,0.0740982,0.101294,0.0096522
543,0.0619935,0.0848181,0.0101732
544,0.0849813,0.104119,0.0105394
545,0.207945,0.233531,0.0111941
546,0.266152,0.276747,0.0113063
547,0.10149,0.144755,0.0131782
548,0.178349,0.156899,0.0136382
549,0.17161,0.170355,0.0136398
550,0.26217,0.277094,0.0138625
551,0.138987,0.134652,0.0138813
552,0.208717,0.229546,0.0143152
553,0.273799,0.248863,0.0149369
554,0.153571,0.146563,0.0149861
555,0.0644676,0.0906261,0.0156703
