t,predict_test,teacher
501,0.336999,0.337075,5.78441e-09
502,0.506051,0.506931,7.81283e-07
503,0.424166,0.424797,1.17997e-06
504,0.35623,0.355245,2.14922e-06
505,0.273435,0.273552,2.16303e-06
506,0.487139,0.487865,2.68968e-06
507,0.512534,0.51129,4.23752e-06
508,0.318295,0.31657,7.2129e-06
509,0.249857,0.25018,7.31763e-06
510,0.410907,0.411139,7.37123e-06
511,0.384258,0.385571,9.09588e-06
512,0.26323,0.264037,9.7467e-06
513,0.337742,0.338559,1.04128e-05
514,0.414227,0.415043,1.10802e-05
515,0.286742,0.287144,1.12419e-05
516,0.231664,0.231986,1.13456e-05
517,0.414524,0.416575,1.55552e-05
518,0.444256,0.443726,1.58365e-05
519,0.298729,0.297881,1.65544e-05
520,0.247205,0.248317,1.77917e-05
521,0.445092,0.444826,1.78626e-05
522,0.521045,0.520638,1.80286e-05
523,0.41197,0.415451,3.01462e-05
524,0.338228,0.339988,3.32431e-05
525,0.491212,0.49399,4.09629e-05
526,0.481962,0.482621,4.13973e-05
527,0.482706,0.485121,4.72312e-05
528,0.320096,0.323067,5.60624e-05
529,0.306252,0.308636,6.17447e-05
530,0.26701,0.266511,6.19941e-05
531,0.478629,0.479975,6.38057e-05
532,0.323572,0.326908,7.49349e-05
533,0.249455,0.249301,7.49585e-05
534,0.21381,0.215575,7.80732e-05
535,0.401449,0.40265,7.95152e-05
536,0.467302,0.46702,7.95945e-05
537,0.289818,0.288185,8.22616e-05
538,0.293334,0.290989,8.77633e-05
539,0.306182,0.303776,9.35545e-05
540,0.273376,0.271955,9.5573e-05
541,0.219315,0.21851,9.62207e-05
542,0.221835,0.222507,9.66722e-05
543,0.220229,0.222459,0.000101644
544,0.220445,0.221469,0.000102693
545,0.243572,0.24496,0.000104621
546,0.216597,0.219204,0.000111417
547,0.184211,0.188661,0.000131221
548,0.392786,0.393811,0.000132273
549,0.319061,0.317729,0.000134048
550,0.370707,0.371885,0.000135437
551,0.23635,0.239592,0.000145945
552,0.357864,0.358287,0.000146124
553,0.380714,0.380222,0.000146366
554,0.350855,0.351498,0.000146779
555,0.234791,0.23573,0.000147659
556,0.24839,0.2476,0.000148284
557,0.239596,0.242399,0.000156145
558,0.304442,0.307743,0.000167046
559,0.2544,0.255902,0.000169301
560,0.197902,0.198734,0.000169993
