t,predict_test,teacher
501,0.537301,0.536295,1.01194e-06
502,0.54609,0.549239,1.09259e-05
503,0.497903,0.472762,0.000643004
504,0.360429,0.379746,0.00101616
505,0.354043,0.339764,0.00122008
506,0.430358,0.408659,0.00169093
507,0.533405,0.549678,0.00195574
508,0.403429,0.41561,0.00210412
509,0.45362,0.456628,0.00211317
510,0.478374,0.479724,0.002115
511,0.504172,0.500248,0.0021304
512,0.471228,0.455713,0.00237112
513,0.468236,0.427589,0.00402327
514,0.414877,0.364442,0.00656692
515,0.42125,0.337262,0.013621
516,0.399409,0.325831,0.0190347
517,0.375283,0.295486,0.0254022
518,0.401713,0.35587,0.0275038
519,0.429489,0.389164,0.0291298
520,0.407976,0.374989,0.030218
521,0.460414,0.395455,0.0344377
522,0.627092,0.608424,0.0347862
523,0.578723,0.581121,0.034792
524,0.394222,0.414392,0.0351988
525,0.394006,0.358963,0.0364268
526,0.444183,0.411515,0.037494
527,0.501309,0.49847,0.037502
528,0.388433,0.384661,0.0375163
529,0.366284,0.352779,0.0376987
530,0.411764,0.362979,0.0400787
531,0.595476,0.646538,0.042686
532,0.568742,0.604066,0.0439337
533,0.426531,0.454183,0.0446984
534,0.405469,0.404374,0.0446996
535,0.432029,0.422894,0.044783
536,0.555393,0.568766,0.0449619
537,0.357518,0.410851,0.0478063
538,0.417729,0.412888,0.0478297
539,0.350129,0.354243,0.0478467
540,0.403631,0.349153,0.0508146
541,0.399784,0.371998,0.0515867
542,0.287222,0.302899,0.0518324
543,0.262265,0.276581,0.0520374
544,0.36026,0.385997,0.0526998
545,0.450603,0.451736,0.0527011
546,0.377495,0.351927,0.0533548
547,0.364754,0.305162,0.0569059
548,0.426972,0.385972,0.0585869
549,0.321417,0.309066,0.0587395
550,0.340347,0.327036,0.0589167
551,0.212127,0.25518,0.0607703
552,0.250027,0.268771,0.0611216
553,0.420437,0.458425,0.0625647
554,0.382201,0.404168,0.0630472
555,0.356579,0.326178,0.0639714
556,0.238852,0.265587,0.0646862
557,0.300623,0.27089,0.0655702
558,0.338653,0.326889,0.0657086
559,0.44471,0.444007,0.0657091
560,0.260636,0.30764,0.0679185
561,0.224191,0.247438,0.068459
562,0.311466,0.295516,0.0687134
563,0.281282,0.274041,0.0687658
564,0.19523,0.225753,0.0696975
565,0.254738,0.242393,0.0698499
566,0.189227,0.216193,0.070577
567,0.341345,0.399295,0.0739351
568,0.393035,0.414556,0.0743983
569,0.228113,0.291996,0.0784794
570,0.253917,0.237635,0.0787445
571,0.194841,0.22979,0.0799659
572,0.293168,0.276454,0.0802452
573,0.139932,0.221971,0.0869756
574,0.267434,0.302974,0.0882388
575,0.285451,0.281123,0.0882575
576,0.403954,0.414869,0.0883766
