t,predict_test,teacher
501,0.33157,0.370962,0.00155176
502,0.284182,0.255684,0.00236385
503,0.343636,0.35134,0.0024232
504,0.23436,0.258454,0.00300372
505,0.157934,0.181911,0.00357864
506,0.230923,0.214381,0.00385228
507,0.270117,0.259668,0.00396147
508,0.260395,0.192612,0.008556
509,0.305741,0.266453,0.0100996
510,0.271375,0.2328,0.0115876
511,0.293165,0.275535,0.0118985
512,0.230774,0.22261,0.0119651
513,0.261748,0.220541,0.0136632
514,0.238405,0.202017,0.0149872
515,0.207583,0.159339,0.0173147
516,0.147238,0.126795,0.0177327
517,0.293409,0.293212,0.0177327
518,0.277434,0.275038,0.0177384
519,0.308895,0.291173,0.0180525
520,0.268157,0.265708,0.0180585
521,0.386308,0.436902,0.0206183
522,0.427806,0.488875,0.0243478
523,0.308762,0.338625,0.0252396
524,0.186106,0.219185,0.0263338
525,0.307849,0.348032,0.0279485
526,0.308281,0.330028,0.0284214
527,0.238332,0.224103,0.0286239
528,0.159456,0.161511,0.0286281
529,0.185125,0.171604,0.028811
530,0.150715,0.143111,0.0288688
531,0.240246,0.202784,0.0302721
532,0.320041,0.32088,0.0302728
533,0.265009,0.245561,0.0306511
534,0.134797,0.160365,0.0313048
535,0.144138,0.140238,0.03132
536,0.281921,0.309927,0.0321043
537,0.218694,0.211008,0.0321634
538,0.273485,0.269981,0.0321757
539,0.232409,0.233679,0.0321773
540,0.258215,0.196906,0.035936
541,0.301839,0.244986,0.0391683
542,0.221055,0.173261,0.0414527
543,0.155831,0.142146,0.0416399
544,0.255887,0.259477,0.0416528
545,0.227343,0.232419,0.0416786
546,0.289208,0.312491,0.0422206
547,0.114767,0.176064,0.045978
548,0.216561,0.19507,0.0464399
549,0.147196,0.144112,0.0464494
550,0.285881,0.29628,0.0465576
551,0.189806,0.165391,0.0471537
552,0.153828,0.135995,0.0474717
553,0.218955,0.163338,0.0505649
554,0.23098,0.196281,0.0517689
555,0.219101,0.152075,0.0562614
556,0.118976,0.100661,0.0565969
557,0.159156,0.106293,0.0593913
558,0.191593,0.163405,0.0601859
559,0.210493,0.142092,0.0648645
560,0.0939485,0.0847835,0.0649485
561,0.000190551,0.0516008,0.0675915
562,-0.00585269,0.057101,0.0715547
563,0.0661307,0.0869942,0.0719899
564,0.0452275,0.0508568,0.0720216
565,0.11566,0.120221,0.0720424
566,0.0155569,0.0696844,0.0749722
567,0.234166,0.308602,0.080513
568,0.174487,0.206467,0.0815357
569,0.148053,0.153318,0.0815635
570,0.150304,0.080014,0.0865041
571,0.112923,0.0973484,0.0867467
572,0.312618,0.376918,0.0908811
573,0.17257,0.19667,0.0914619
574,0.166613,0.136434,0.0923726
575,0.186143,0.161558,0.0929771
576,0.131719,0.112483,0.0933472
577,0.180158,0.173343,0.0933936
578,0.221272,0.211452,0.09349
579,0.197,0.119822,0.0994464
580,0.128261,0.0681241,0.103063
581,0.166829,0.117134,0.105532
582,0.139724,0.103591,0.106838
583,0.0596548,0.056965,0.106845
584,0.0471973,0.0630525,0.107097
585,0.0525336,0.0658027,0.107273
586,0.257861,0.315176,0.110558
587,0.217894,0.232261,0.110764
588,0.171843,0.167283,0.110785
589,0.287489,0.307848,0.111199
590,0.230198,0.232091,0.111203
591,0.336766,0.38335,0.113373
592,0.190366,0.21321,0.113895
593,0.253894,0.266552,0.114055
594,0.266207,0.262303,0.11407
595,0.311959,0.320657,0.114146
596,0.320217,0.317452,0.114154
597,0.249669,0.248099,0.114156
598,0.270767,0.207544,0.118153
599,0.195952,0.134031,0.121988
600,0.34258,0.354572,0.122131
601,0.314258,0.314352,0.122131
602,0.31586,0.302147,0.122319
603,0.308265,0.245219,0.126294
604,0.269618,0.243826,0.126959
605,0.366398,0.378972,0.127118
606,0.265093,0.268867,0.127132
607,0.270008,0.267846,0.127136
608,0.361315,0.373021,0.127274
609,0.350769,0.346739,0.12729
610,0.341045,0.34194,0.127291
611,0.239443,0.257724,0.127625
612,0.296907,0.314243,0.127925
613,0.288004,0.302808,0.128144
614,0.355249,0.380259,0.12877
615,0.41236,0.441127,0.129597
616,0.258291,0.282159,0.130167
617,0.23667,0.232853,0.130182
618,0.226864,0.173903,0.132987
619,0.361255,0.386794,0.133639
620,0.261826,0.258851,0.133648
621,0.323968,0.321014,0.133656
622,0.294321,0.251256,0.135511
623,0.245532,0.210917,0.136709
624,0.202398,0.160298,0.138482
625,0.186317,0.154661,0.139484
626,0.282691,0.258786,0.140055
627,0.270755,0.210447,0.143692
628,0.236328,0.215588,0.144123
629,0.261897,0.243352,0.144466
630,0.286587,0.256045,0.145399
631,0.344314,0.336009,0.145468
632,0.34029,0.345025,0.145491
633,0.247377,0.241036,0.145531
634,0.249926,0.239786,0.145634
635,0.152021,0.154422,0.145639
636,0.212729,0.212643,0.145639
637,0.277442,0.27507,0.145645
638,0.298814,0.278096,0.146074
639,0.213738,0.181523,0.147112
640,0.261275,0.253554,0.147172
641,0.130467,0.15783,0.147921
642,0.0881457,0.113104,0.148543
643,0.175975,0.102963,0.153874
644,0.118947,0.0688508,0.156384
645,0.250233,0.220005,0.157297
646,0.0905484,0.127006,0.158627
647,0.0887132,0.0948611,0.158664
648,0.190207,0.195273,0.15869
649,0.212806,0.176539,0.160005
650,0.243483,0.241843,0.160008
651,0.249387,0.261056,0.160144
652,0.242436,0.192658,0.162622
653,0.235243,0.209989,0.16326
654,0.241041,0.235729,0.163288
655,0.141707,0.139362,0.163294
656,0.186271,0.180472,0.163327
657,0.144374,0.147535,0.163337
658,0.187303,0.185943,0.163339
659,0.326274,0.363515,0.164726
660,0.147523,0.193014,0.166795
661,0.151796,0.156909,0.166822
662,0.319789,0.381573,0.170639
663,0.0980579,0.196934,0.180415
664,0.2003,0.244318,0.182353
665,0.0681469,0.138336,0.187279
666,0.0363802,0.0921087,0.190385
667,0.198401,0.24012,0.192126
668,0.0590025,0.134377,0.197807
669,0.203205,0.261614,0.201219
670,0.278765,0.316992,0.20268
671,0.293742,0.291197,0.202686
672,0.317789,0.323455,0.202718
673,0.299602,0.316511,0.203004
674,0.135073,0.18368,0.205367
675,0.224534,0.260481,0.206659
676,0.0940436,0.14957,0.209742
677,0.135857,0.169456,0.210871
678,0.333833,0.416126,0.217643
679,0.21527,0.255227,0.21924
680,0.210171,0.221021,0.219358
681,0.215449,0.19183,0.219916
682,0.233418,0.15266,0.226437
683,0.265871,0.237697,0.227231
684,0.0997815,0.13586,0.228533
685,0.0617784,0.101838,0.230138
686,0.176581,0.180569,0.230154
687,0.105887,0.111698,0.230187
688,0.19124,0.174054,0.230483
689,0.328185,0.367594,0.232036
690,0.208307,0.240333,0.233061
691,0.28621,0.315984,0.233948
692,0.313987,0.331073,0.23424
693,0.188279,0.221052,0.235314
694,0.162454,0.126301,0.236621
695,0.0692521,0.0775615,0.23669
696,0.225377,0.232685,0.236743
697,0.363901,0.408362,0.23872
698,0.305607,0.335419,0.239609
699,0.253233,0.257911,0.239631
700,0.223357,0.206692,0.239909
701,0.270466,0.243765,0.240621
702,0.237635,0.203719,0.241772
703,0.158452,0.118699,0.243352
704,0.137948,0.109643,0.244153
705,0.0951796,0.0785395,0.24443
706,0.123851,0.121331,0.244436
707,0.0734121,0.0889486,0.244678
708,0.218705,0.221137,0.244684
709,0.184487,0.185172,0.244684
710,0.222419,0.212145,0.24479
711,0.276496,0.272344,0.244807
712,0.257936,0.251458,0.244849
713,0.0833787,0.134905,0.247504
714,0.0786088,0.115381,0.248856
715,0.211143,0.227683,0.24913
716,0.300108,0.31782,0.249444
717,0.302847,0.314385,0.249577
718,0.242816,0.236817,0.249613
719,0.282752,0.270996,0.249751
720,0.175845,0.178157,0.249756
721,0.0905018,0.112733,0.25025
722,0.117413,0.118962,0.250253
723,0.26452,0.271997,0.250309
724,0.229242,0.167898,0.254072
725,0.222497,0.189995,0.255128
726,0.104791,0.117237,0.255283
727,0.210981,0.209638,0.255285
728,0.28196,0.303145,0.255734
729,0.156827,0.182023,0.256369
730,0.0996043,0.118675,0.256732
731,0.11788,0.112117,0.256765
732,0.174434,0.114709,0.260333
733,0.123252,0.0964504,0.261051
734,0.145897,0.152355,0.261093
735,0.29512,0.31023,0.261321
736,0.347222,0.399271,0.26403
737,0.240078,0.264974,0.26465
738,0.230927,0.225633,0.264678
739,0.143457,0.153854,0.264786
740,0.0118859,0.0862104,0.27031
741,0.0504942,0.0932424,0.272137
742,0.153331,0.145542,0.272198
743,0.145937,0.0824046,0.276235
744,0.110584,0.0606072,0.278732
745,0.190114,0.130058,0.282339
746,0.171616,0.114125,0.285644
747,0.2236,0.133067,0.29384
748,0.143042,0.0985118,0.295823
749,0.110565,0.0747363,0.297107
750,0.0369196,0.0524835,0.297349
751,0.164654,0.149392,0.297582
752,0.238181,0.171817,0.301986
753,0.269575,0.243209,0.302681
754,0.274457,0.19484,0.30902
755,0.407406,0.41162,0.309038
756,0.224615,0.204969,0.309424
757,0.19513,0.167054,0.310212
758,0.258316,0.20851,0.312693
759,0.142438,0.10783,0.313891
760,0.176173,0.161315,0.314112
761,0.212152,0.166898,0.316159
762,0.147801,0.0872252,0.319829
763,0.0981897,0.0594064,0.321333
764,0.279745,0.321696,0.323093
765,0.117347,0.161148,0.325011
766,0.143347,0.138956,0.325031
767,0.162398,0.163602,0.325032
768,0.141393,0.118057,0.325577
769,0.101793,0.0925433,0.325662
770,0.185451,0.16264,0.326183
771,0.312296,0.337845,0.326835
772,0.297024,0.293972,0.326845
773,0.228225,0.208527,0.327233
774,0.251913,0.197875,0.330153
775,0.0799242,0.107658,0.330922
776,0.0195139,0.068285,0.3333
777,0.143421,0.118147,0.333939
778,0.265148,0.258013,0.33399
779,0.308072,0.283173,0.33461
780,0.370115,0.401928,0.335622
781,0.365878,0.393696,0.336396
782,0.230993,0.239637,0.336471
783,0.31996,0.321746,0.336474
784,0.232143,0.192846,0.338018
785,0.278569,0.268083,0.338128
786,0.209712,0.206252,0.33814
787,0.145344,0.144236,0.338141
788,0.236251,0.23105,0.338168
789,0.260896,0.228101,0.339244
790,0.291276,0.277068,0.339446
791,0.274576,0.254315,0.339856
792,0.22336,0.19127,0.340886
793,0.131761,0.132063,0.340886
794,0.169474,0.113588,0.344009
795,0.154536,0.085256,0.348809
796,0.0822588,0.0652273,0.349099
797,0.247416,0.247808,0.349099
798,0.247625,0.236052,0.349233
799,0.240398,0.189234,0.351851
800,0.31793,0.310618,0.351905
801,0.288439,0.227208,0.355654
802,0.262304,0.233207,0.3565
803,0.258062,0.232917,0.357133
804,0.193491,0.1707,0.357652
805,0.232075,0.204032,0.358438
806,0.211615,0.191028,0.358862
807,0.243184,0.210133,0.359955
808,0.128418,0.132405,0.359971
809,0.216238,0.219233,0.359979
810,0.244292,0.244834,0.35998
811,0.165045,0.160605,0.36
812,0.138777,0.132009,0.360045
813,0.30915,0.33351,0.360639
814,0.288224,0.279728,0.360711
815,0.267401,0.199752,0.365287
816,0.284501,0.251809,0.366356
817,0.169866,0.167362,0.366362
818,0.18434,0.148652,0.367636
819,0.236367,0.211767,0.368241
820,0.264313,0.242729,0.368707
821,0.223334,0.210617,0.368869
822,0.188312,0.182795,0.368899
823,0.221247,0.172773,0.371249
824,0.275136,0.242795,0.372295
825,0.187298,0.172106,0.372525
826,0.244443,0.212629,0.373538
827,0.207507,0.160387,0.375758
828,0.266534,0.239558,0.376486
829,0.253628,0.226599,0.377216
830,0.261913,0.244543,0.377518
831,0.305616,0.295372,0.377623
832,0.288365,0.228926,0.381156
833,0.278993,0.238782,0.382773
834,0.352666,0.339646,0.382942
835,0.325431,0.312993,0.383097
836,0.284248,0.237,0.385329
837,0.381871,0.397846,0.385584
838,0.307319,0.318526,0.38571
839,0.181293,0.184799,0.385722
840,0.224381,0.213204,0.385847
841,0.236495,0.227004,0.385937
842,0.257984,0.18472,0.391305
843,0.289442,0.243799,0.393388
844,0.198479,0.179161,0.393761
845,0.212279,0.123487,0.401645
846,0.225098,0.144728,0.408105
847,0.186768,0.129551,0.411379
848,0.257097,0.221061,0.412677
849,0.299961,0.27709,0.4132
850,0.315585,0.288421,0.413938
851,0.181907,0.187402,0.413968
852,0.213708,0.204429,0.414054
853,0.169146,0.139505,0.414933
854,0.122771,0.0888891,0.416081
855,0.288991,0.293772,0.416104
856,0.397474,0.411494,0.4163
857,0.315791,0.308541,0.416353
858,0.100295,0.168451,0.420998
