t,predict_test,teacher
501,0.338294,0.337075,1.48498e-06
502,0.507343,0.506931,1.65459e-06
503,0.425213,0.424797,1.8278e-06
504,0.354666,0.355245,2.16317e-06
505,0.275869,0.273552,7.52982e-06
506,0.488644,0.487865,8.13782e-06
507,0.511912,0.51129,8.52482e-06
508,0.314641,0.31657,1.2244e-05
509,0.248145,0.25018,1.6385e-05
510,0.410621,0.411139,1.6653e-05
511,0.38507,0.385571,1.6904e-05
512,0.261278,0.264037,2.45155e-05
513,0.337456,0.338559,2.57315e-05
514,0.412909,0.415043,3.02889e-05
515,0.285999,0.287144,3.15991e-05
516,0.231425,0.231986,3.19135e-05
517,0.415564,0.416575,3.29363e-05
518,0.442752,0.443726,3.38839e-05
519,0.294357,0.297881,4.63057e-05
520,0.246354,0.248317,5.01594e-05
521,0.443454,0.444826,5.20414e-05
522,0.517812,0.520638,6.00272e-05
523,0.41183,0.415451,7.31378e-05
524,0.336731,0.339988,8.37485e-05
525,0.494945,0.49399,8.46603e-05
526,0.479829,0.482621,9.24572e-05
527,0.4807,0.485121,0.000111998
528,0.319379,0.323067,0.000125601
529,0.305852,0.308636,0.000133351
530,0.264737,0.266511,0.000136498
531,0.477999,0.479975,0.000140403
532,0.327043,0.326908,0.000140421
533,0.248065,0.249301,0.00014195
534,0.213871,0.215575,0.000144852
535,0.402618,0.40265,0.000144853
536,0.467552,0.46702,0.000145136
537,0.286412,0.288185,0.000148278
538,0.289602,0.290989,0.000150202
539,0.30452,0.303776,0.000150756
540,0.274362,0.271955,0.000156546
541,0.220051,0.21851,0.000158921
542,0.221275,0.222507,0.00016044
543,0.219719,0.222459,0.000167946
544,0.220275,0.221469,0.00016937
545,0.243171,0.24496,0.000172571
546,0.219723,0.219204,0.00017284
547,0.187848,0.188661,0.000173503
548,0.393795,0.393811,0.000173503
549,0.316024,0.317729,0.000176411
550,0.370039,0.371885,0.000179821
551,0.240811,0.239592,0.000181307
552,0.359164,0.358287,0.000182076
553,0.381208,0.380222,0.000183048
554,0.352753,0.351498,0.000184622
555,0.236091,0.23573,0.000184753
556,0.248773,0.2476,0.000186129
557,0.244706,0.242399,0.000191447
558,0.30479,0.307743,0.00020017
559,0.255808,0.255902,0.000200179
