t,predict_test,teacher
501,0.335303,0.337075,3.14218e-06
502,0.506747,0.506931,3.17631e-06
503,0.42389,0.424797,3.99996e-06
504,0.356417,0.355245,5.37344e-06
505,0.274897,0.273552,7.1824e-06
506,0.489011,0.487865,8.49546e-06
507,0.510922,0.51129,8.63085e-06
508,0.313283,0.31657,1.94345e-05
509,0.249093,0.25018,2.06171e-05
510,0.411169,0.411139,2.0618e-05
511,0.384235,0.385571,2.24028e-05
512,0.263176,0.264037,2.31449e-05
513,0.339449,0.338559,2.39384e-05
514,0.415072,0.415043,2.39392e-05
515,0.286867,0.287144,2.4016e-05
516,0.231312,0.231986,2.44704e-05
517,0.416955,0.416575,2.46146e-05
518,0.442615,0.443726,2.58492e-05
519,0.297477,0.297881,2.60129e-05
520,0.24754,0.248317,2.66168e-05
521,0.44455,0.444826,2.6693e-05
522,0.519397,0.520638,2.82326e-05
523,0.414334,0.415451,2.94805e-05
524,0.340061,0.339988,2.94859e-05
525,0.493221,0.49399,3.00766e-05
526,0.480275,0.482621,3.55794e-05
527,0.482781,0.485121,4.10558e-05
528,0.32056,0.323067,4.73407e-05
529,0.30745,0.308636,4.87475e-05
530,0.26548,0.266511,4.98105e-05
531,0.477697,0.479975,5.49994e-05
532,0.322616,0.326908,7.34194e-05
533,0.246686,0.249301,8.02607e-05
534,0.214021,0.215575,8.26752e-05
535,0.402247,0.40265,8.28374e-05
536,0.466345,0.46702,8.32934e-05
537,0.28637,0.288185,8.65884e-05
538,0.29087,0.290989,8.66025e-05
539,0.305753,0.303776,9.05129e-05
540,0.273997,0.271955,9.46805e-05
541,0.219439,0.21851,9.55441e-05
542,0.222971,0.222507,9.57596e-05
543,0.221392,0.222459,9.68969e-05
544,0.220407,0.221469,9.80242e-05
545,0.243479,0.24496,0.00010022
546,0.218544,0.219204,0.000100656
547,0.187003,0.188661,0.000103406
548,0.393298,0.393811,0.000103669
549,0.316635,0.317729,0.000104867
550,0.37176,0.371885,0.000104882
551,0.242785,0.239592,0.00011508
552,0.361106,0.358287,0.00012303
553,0.381105,0.380222,0.000123809
554,0.35202,0.351498,0.000124082
555,0.234048,0.23573,0.00012691
556,0.24693,0.2476,0.000127359
557,0.241569,0.242399,0.00012805
558,0.307111,0.307743,0.00012845
559,0.255889,0.255902,0.00012845
560,0.196749,0.198734,0.000132388
561,0.171998,0.173178,0.00013378
562,0.217938,0.219134,0.000135211
563,0.24271,0.244139,0.000137252
564,0.186465,0.186633,0.00013728
565,0.170314,0.168302,0.000141328
566,0.176906,0.172562,0.000160193
567,0.227592,0.222665,0.000184468
568,0.181845,0.178543,0.000195366
569,0.192912,0.192305,0.000195734
570,0.219298,0.222625,0.000206801
571,0.260328,0.26605,0.000239543
572,0.340425,0.348612,0.000306564
573,0.235889,0.237837,0.000310358
574,0.466835,0.471392,0.000331121
575,0.366104,0.362977,0.0003409
576,0.473755,0.468367,0.000369934
577,0.310155,0.308462,0.000372801
578,0.345218,0.344589,0.000373196
579,0.519912,0.519542,0.000373333
580,0.456027,0.457938,0.000376988
581,0.442612,0.443111,0.000377237
582,0.360375,0.360381,0.000377237
583,0.398242,0.397098,0.000378545
584,0.313029,0.31404,0.000379567
585,0.382726,0.381882,0.000380279
586,0.443894,0.443296,0.000380636
587,0.356699,0.35664,0.00038064
588,0.290716,0.28973,0.000381613
589,0.327458,0.328197,0.00038216
590,0.506634,0.505618,0.000383193
591,0.454924,0.453604,0.000384936
592,0.380352,0.379187,0.000386295
593,0.384942,0.383639,0.000387992
594,0.386486,0.386666,0.000388024
595,0.502166,0.501647,0.000388293
596,0.454994,0.456824,0.000391641
597,0.396223,0.39664,0.000391816
598,0.29605,0.296464,0.000391987
599,0.243908,0.245759,0.000395412
600,0.498391,0.497829,0.000395729
601,0.432295,0.433178,0.000396509
602,0.339456,0.33864,0.000397174
603,0.264482,0.262889,0.000399712
604,0.399035,0.397785,0.000401274
605,0.435337,0.430678,0.00042298
606,0.352267,0.350428,0.000426364
607,0.416352,0.412827,0.000438785
608,0.474046,0.469357,0.000460776
609,0.417449,0.411895,0.000491622
610,0.314196,0.31202,0.000496359
611,0.283479,0.282527,0.000497267
612,0.497029,0.495571,0.000499393
613,0.417222,0.417349,0.000499409
614,0.392058,0.389536,0.00050577
615,0.33581,0.334199,0.000508363
616,0.254181,0.253714,0.000508581
617,0.394662,0.392871,0.000511788
618,0.462957,0.460539,0.000517634
619,0.514713,0.512009,0.000524947
620,0.307311,0.305591,0.000527904
621,0.363348,0.361871,0.000530084
622,0.289159,0.289834,0.00053054
623,0.294619,0.293874,0.000531094
624,0.216506,0.216756,0.000531157
625,0.283528,0.283521,0.000531157
626,0.254182,0.254102,0.000531163
627,0.207651,0.206413,0.000532696
628,0.192993,0.192301,0.000533176
629,0.295071,0.294147,0.00053403
630,0.524115,0.524405,0.000534114
631,0.331454,0.331562,0.000534125
632,0.34058,0.339274,0.000535832
633,0.267235,0.266034,0.000537273
634,0.341844,0.340608,0.000538802
635,0.334473,0.334402,0.000538807
636,0.326303,0.327126,0.000539485
637,0.254023,0.253769,0.000539549
638,0.248275,0.248379,0.00053956
639,0.308185,0.308297,0.000539573
640,0.346447,0.34564,0.000540223
641,0.273415,0.272497,0.000541065
642,0.232388,0.232483,0.000541074
643,0.444549,0.444861,0.000541171
644,0.278664,0.277189,0.000543347
645,0.250777,0.249907,0.000544102
646,0.200677,0.198925,0.000547172
647,0.213542,0.212937,0.000547538
648,0.183427,0.184714,0.000549195
649,0.203509,0.204917,0.000551177
650,0.187506,0.187572,0.000551181
651,0.185652,0.189605,0.000566804
652,0.380846,0.382798,0.000570613
653,0.291545,0.292155,0.000570985
654,0.393661,0.392551,0.000572217
655,0.269807,0.267009,0.000580048
656,0.398815,0.397797,0.000581083
657,0.35802,0.35876,0.000581632
658,0.357516,0.357606,0.00058164
659,0.272558,0.272202,0.000581767
660,0.229763,0.227769,0.000585743
661,0.278732,0.277294,0.000587811
662,0.337916,0.335369,0.000594295
663,0.268459,0.265173,0.000605088
664,0.230752,0.228417,0.00061054
665,0.236845,0.2373,0.000610747
666,0.289395,0.289962,0.000611069
667,0.241974,0.24184,0.000611087
668,0.20039,0.198845,0.000613474
669,0.23608,0.237273,0.000614898
670,0.281999,0.283616,0.000617515
