t,predict_test,teacher
501,0.122474,-0.871504,0.987992
502,0.0118464,-0.897167,1.8143
503,0.115895,-0.918112,2.88347
504,0.0410611,0.966915,3.74067
505,0.139523,-0.323771,3.95531
506,0.128881,0.700105,4.28161
507,-0.10952,-0.673516,4.5997
508,-0.12205,0.996646,5.85118
509,0.0934064,-0.940362,6.91986
510,0.133682,0.944651,7.57753
511,-0.125171,0.102098,7.62918
512,0.00659269,-0.748,8.19859
513,0.110259,-0.654848,8.78398
514,-0.0441389,-0.935808,9.57905
515,-0.0531192,0.472826,9.85567
516,0.105291,-0.939102,10.9464
517,0.113744,0.819782,11.4449
518,-0.126935,0.998229,12.7109
519,-0.0878605,0.52925,13.0917
520,0.111853,0.296849,13.126
521,0.141895,-0.808604,14.0294
522,-0.0140303,-0.930179,14.8687
523,-0.0281303,-0.091996,14.8728
524,0.200601,0.945656,15.4279
525,0.211107,0.6097,15.5868
526,0.0753556,-0.954345,16.6471
527,-0.0101033,-0.127988,16.661
528,0.0740495,0.87338,17.2999
529,-0.0164811,-0.325043,17.3951
530,0.105253,0.998391,18.1928
531,-0.0540962,0.977658,19.2573
532,-0.146898,-0.555597,19.4244
533,-0.0680413,-0.744279,19.8817
534,0.174179,0.684879,20.1425
535,0.086177,-0.999992,21.3222
536,-0.0584918,-0.624645,21.6428
537,-0.124963,-0.956066,22.3335
538,-0.0148239,-0.153886,22.3528
539,0.0961579,-0.7699,23.1029
540,-0.117188,0.361172,23.3317
541,0.15233,-0.00972093,23.358
542,-0.0352531,-0.209633,23.3884
543,-0.12529,0.880048,24.3991
544,-0.0212373,0.988773,25.4192
545,-0.124134,0.692187,26.0856
546,-0.0598439,-0.811792,26.651
547,0.0436995,-0.962205,27.6629
548,-0.0272235,-0.190386,27.6895
549,0.0170702,-0.490578,27.9472
550,-0.132149,0.120538,28.011
551,0.113031,0.544636,28.1973
552,-0.0903936,-0.0899016,28.1973
553,0.131795,-0.129991,28.2659
554,-0.209497,-0.237033,28.2666
555,0.0122675,-0.347248,28.3959
556,0.156864,0.982384,29.0774
557,-0.0122314,-0.866033,29.8063
558,-0.134878,0.844538,30.7656
559,-0.0390148,0.557713,31.1217
560,-0.16717,0.922711,32.3095
561,-0.0333338,-0.797319,32.8932
562,0.101946,-0.992799,34.0917
563,-0.15507,-0.990947,34.7903
564,-0.20818,-0.627758,34.9664
565,-0.126224,-0.741297,35.3447
566,-0.107059,-0.167032,35.3483
567,-0.175497,-0.133266,35.3501
568,-0.0814305,0.97451,36.4651
569,-0.0936213,0.934551,37.5222
570,0.165411,-0.299347,37.7382
571,-0.0759121,-0.650331,38.0682
572,-0.0829208,-0.916344,38.7628
573,0.0784037,0.669769,39.1125
574,-0.14433,-0.288803,39.1334
575,0.17314,0.719462,39.4318
576,-0.125824,0.9212,40.5281
577,0.15527,-0.661053,41.1945
578,0.143555,0.567364,41.3741
579,0.131055,-0.735389,42.1248
580,-0.0581726,-0.945323,42.9119
581,-0.00860852,-0.0085615,42.9119
582,0.168392,0.894992,43.4398
583,0.0906449,-0.938231,44.4984
584,0.174647,0.3942,44.5466
585,0.0354606,0.975901,45.431
586,0.0545968,-0.495951,45.7341
587,-0.137711,-0.473257,45.8467
588,0.00578596,-0.970673,46.8002
589,0.200674,0.989849,47.423
590,0.0343781,0.649464,47.8013
591,0.0486755,-0.174509,47.8511
592,0.0871157,-0.762987,48.5738
593,0.137077,0.50795,48.7113
594,0.143593,0.526619,48.8581
595,0.0190642,-0.918144,49.7364
596,0.034678,0.743009,50.2381
597,-0.0293453,-0.999932,51.1802
598,0.152621,-0.88644,52.2598
599,0.134595,0.915929,52.8703
600,0.0392346,0.900991,53.6129
601,-0.14861,-0.283,53.631
