t,predict_test,teacher
501,0.0967044,-0.871504,0.937428
502,-0.0540051,-0.897167,1.64835
503,0.0621358,-0.918112,2.60924
504,0.055856,0.966915,3.43926
505,0.0758409,-0.323771,3.59895
506,0.149445,0.700105,3.90218
507,-0.0664733,-0.673516,4.27068
508,-0.188608,0.996646,5.67551
509,0.100613,-0.940362,6.75914
510,0.114685,0.944651,7.44798
511,-0.189894,0.102098,7.53324
512,-0.0652102,-0.748,7.99944
513,0.083256,-0.654848,8.54424
514,0.028665,-0.935808,9.47445
515,-0.0829105,0.472826,9.78329
516,0.0931402,-0.939102,10.8488
517,0.0964499,0.819782,11.372
518,-0.127912,0.998229,12.6402
519,-0.188269,0.52925,13.1551
520,0.0244678,0.296849,13.2292
521,0.0974756,-0.808604,14.0502
522,0.0634468,-0.930179,15.0375
523,-0.0261752,-0.091996,15.0419
524,0.314567,0.945656,15.4401
525,0.149531,0.6097,15.6519
526,0.0774426,-0.954345,16.7165
527,-0.0942296,-0.127988,16.7176
528,0.016513,0.87338,17.4518
529,-0.0123353,-0.325043,17.5496
530,0.123247,0.998391,18.3155
531,-0.064787,0.977658,19.4022
532,-0.0305287,-0.555597,19.6779
533,-0.0927781,-0.744279,20.1023
534,0.174139,0.684879,20.3632
535,0.103966,-0.999992,21.5819
536,0.000725296,-0.624645,21.973
537,-0.151094,-0.956066,22.621
538,0.16726,-0.153886,22.7241
539,0.163907,-0.7699,23.5961
540,-0.191501,0.361172,23.9016
541,0.141196,-0.00972093,23.9243
542,0.0509833,-0.209633,23.9922
543,-0.0675343,0.880048,24.8902
544,-0.0662939,0.988773,26.0033
545,-0.0907894,0.692187,26.6164
546,-0.112856,-0.811792,27.1049
547,-0.0130467,-0.962205,28.0058
548,0.0884214,-0.190386,28.0835
549,0.00189619,-0.490578,28.3261
550,-0.245231,0.120538,28.4598
551,0.0450037,0.544636,28.7095
552,-0.113831,-0.0899016,28.71
553,0.0593831,-0.129991,28.7459
554,-0.132892,-0.237033,28.7568
555,-0.0819499,-0.347248,28.8271
556,0.152579,0.982384,29.5157
557,0.0454249,-0.866033,30.3465
558,-0.202072,0.844538,31.4419
559,0.010375,0.557713,31.7414
560,-0.1898,0.922711,32.9791
561,0.0149633,-0.797319,33.6389
562,0.161605,-0.992799,34.9716
563,-0.256251,-0.990947,35.5114
564,-0.245194,-0.627758,35.6577
565,-0.0377222,-0.741297,36.1527
566,-0.0420019,-0.167032,36.1684
567,-0.239285,-0.133266,36.1796
568,-0.124807,0.97451,37.3881
569,-0.129824,0.934551,38.521
570,0.136499,-0.299347,38.7109
571,-0.0655823,-0.650331,39.0529
572,-0.050866,-0.916344,39.8019
573,0.157437,0.669769,40.0644
574,0.037921,-0.288803,40.1712
575,0.202586,0.719462,40.4383
576,-0.224024,0.9212,41.7499
577,0.118575,-0.661053,42.3577
578,0.0528055,0.567364,42.6225
579,0.0859974,-0.735389,43.2971
580,0.0192818,-0.945323,44.2276
581,-0.049039,-0.0085615,44.2292
582,0.187064,0.894992,44.7304
583,0.0324309,-0.938231,45.6726
584,0.0903012,0.3942,45.7649
585,0.0627893,0.975901,46.5987
586,0.100203,-0.495951,46.9541
587,0.00635152,-0.473257,47.1841
