t,predict_test,teacher
501,-0.0246704,0.977669,1.00468
502,0.0108025,-0.77833,1.62741
503,-0.0130829,-0.00331926,1.62751
504,-0.0238824,-0.571624,1.92753
505,-0.0381688,-0.0348205,1.92754
506,-0.00110392,0.38375,2.07565
507,-0.0171843,-0.50502,2.31364
508,-0.0445211,0.519976,2.63229
509,-0.0248897,-0.859837,3.32943
510,-0.0215316,0.132115,3.35304
511,-0.0229663,-0.052924,3.35394
512,-0.0234683,0.774345,3.99044
513,0.00409246,0.562689,4.30247
514,-0.0181647,-0.635738,4.68387
515,-0.0357443,0.995008,5.74632
516,-0.0349717,-0.54745,6.00895
517,-0.0196781,-0.986186,6.94309
518,-0.0222301,-0.259319,6.9993
519,-0.023019,0.823939,7.71664
520,-0.024206,0.138772,7.7432
521,0.0260185,-0.146317,7.7729
522,0.0384616,0.919269,8.54872
523,-0.0234531,0.9995,9.59516
524,-0.0226037,-0.551372,9.87475
525,-0.0170783,-0.0276344,9.87486
526,-0.0238566,-0.841579,10.5435
527,-0.0151407,-0.980716,11.4759
528,-0.0349001,0.997818,12.5424
529,-0.0263999,-0.785792,13.1191
530,-0.0290657,0.806381,13.817
531,0.0395052,-0.0991539,13.8362
532,-0.0236937,0.69497,14.3527
533,-0.027772,0.0934084,14.3674
534,-0.028406,-0.881917,15.0959
535,-0.0246784,-0.536256,15.3576
536,0.00628385,-0.974496,16.3195
537,-0.0421874,0.987498,17.3798
538,0.0136655,-0.493894,17.6374
539,-0.0223536,-0.641262,18.0205
540,-0.035267,0.835382,18.7785
541,-0.0242982,-0.356681,18.889
542,-0.0424744,0.494675,19.1775
543,-0.0272569,-0.585423,19.489
544,-0.0227667,-0.770177,20.0477
545,-0.0238896,0.00862943,20.0487
546,-0.0212561,-0.979652,20.9672
547,-0.0446429,0.388464,21.1548
548,0.0191874,-0.826281,21.8696
549,-0.022291,0.997238,22.9091
550,-0.0244194,-0.0574349,22.9102
551,-0.0716604,0.987174,24.0313
552,-0.0263674,0.558079,24.3729
553,0.0276623,-0.718126,24.9291
554,-0.0234987,-0.79285,25.521
555,-0.0403486,0.83138,26.2809
556,-0.0252105,0.997424,27.3267
557,-0.040353,-0.10619,27.331
558,-0.0226768,-0.864002,28.0388
559,0.00182133,-0.309022,28.1355
560,-0.0581679,0.320832,28.2791
561,-0.0721489,-0.990675,29.1228
562,-0.0314917,0.272319,29.2151
563,-0.0315584,0.999304,30.2778
564,-0.0762775,-0.191907,30.2911
565,-0.0259382,0.908615,31.1645
566,-0.0362535,0.979345,32.196
567,-0.0067706,-0.535128,32.4751
568,-0.0226178,-0.356487,32.5866
569,-0.0274253,0.999196,33.6405
570,0.0210795,-0.996024,34.675
571,-0.0229717,0.0479207,34.6801
572,0.0387908,0.221114,34.7133
573,-0.0371236,-0.666923,35.11
574,-0.0044728,-0.614549,35.4822
575,-0.0120129,-0.750282,36.0272
576,-0.0241709,-0.92026,36.8302
577,-0.0234461,-0.971122,37.7283
578,-0.0228582,0.273445,37.8161
579,0.0351017,0.0973385,37.8199
580,-0.0240793,0.475163,38.0692
581,0.0170718,0.928499,38.8999
582,-0.0248041,-0.363084,39.0143
583,-0.0228885,-0.807505,39.6299
584,-0.0292644,-0.945221,40.4689
585,-0.0244345,0.965595,41.4491
586,0.0281971,-0.681549,41.9528
587,-0.0245332,0.394243,42.1282
588,-0.0243488,-0.708096,42.5957
589,-0.0220129,-0.445788,42.7753
590,-0.0113388,-0.387949,42.9171
591,-0.0117845,-0.870775,43.655
592,-0.0229807,0.210478,43.7095
593,-0.0245669,0.838813,44.4549
594,-0.0233095,0.998554,45.4991
595,-0.00181556,0.456449,45.7091
596,0.0238848,0.462262,45.9013
597,-0.0250072,-0.559238,46.1867
598,-0.0292426,0.248631,46.2639
599,-0.0522108,-0.45088,46.4228
600,0.00244145,-0.0127192,46.4231
601,-0.0235668,-0.828074,47.0703
602,0.00537396,0.569472,47.3885
603,0.0318138,-0.389635,47.5661
604,-0.0248283,0.69589,48.0856
605,-0.019227,-0.213491,48.1233
606,-0.0254891,0.981083,49.1365
607,-0.0247155,-0.333995,49.2321
608,0.0160523,-0.931642,50.1303
609,-0.0233258,0.856171,50.9038
610,-0.0241112,0.902396,51.7622
611,-0.0232042,-0.698687,52.2185
612,-0.00165028,-0.0939989,52.227
613,-0.0208873,-0.642127,52.6129
614,-0.0220195,-0.382316,52.7428
615,-0.022049,-0.0934076,52.7478
616,-0.0530026,-0.989301,53.6245
617,-0.0175845,-0.0165398,53.6245
618,-0.00557349,0.959069,54.555
619,0.017316,0.995927,55.5127
620,-0.049542,0.99723,56.6084
621,-0.0259741,0.799939,57.2906
622,-0.0378243,0.78584,57.969
623,-0.0299048,0.139511,57.9977
624,-0.050229,-0.701988,58.4225
625,-0.0259703,0.745507,59.0177
626,0.0119753,0.0857941,59.0231
627,-0.0349525,0.203212,59.0798
628,-0.0253851,-0.561198,59.3669
629,-0.0238359,0.64326,59.812
630,0.0290651,0.344586,59.9115
631,-0.024532,-0.534306,60.1714
632,-0.024401,0.129285,60.195
633,-0.0360763,0.0213921,60.1983
634,-0.0242762,0.913429,61.0776
635,-0.0233752,-0.889485,61.8277
636,-0.0233135,0.912315,62.7031
637,-0.0243292,0.840607,63.4513
638,-0.0225744,0.127412,63.4737
639,-0.0196987,-0.879489,64.213
640,-0.0100679,-0.57217,64.5289
641,-0.0269927,-0.540179,64.7923
642,-0.0294096,0.103332,64.8099
643,0.0405799,-0.953676,65.7985
644,-0.0630436,0.93542,66.7954
645,-0.02652,0.382753,66.9629
646,-0.0548671,-0.524935,67.1839
647,-0.0487237,-0.546258,67.4314
648,-0.0254564,-0.979993,68.3426
649,-0.0303784,0.967458,69.3382
650,-0.0240713,0.297724,69.4418
651,-0.0243507,0.821894,70.1579
652,0.0342018,0.532529,70.4062
653,-0.0162323,0.805113,71.0808
654,-0.0116893,-0.273732,71.1495
655,-0.0465473,0.957075,72.1568
656,-0.0260363,0.80407,72.8458
657,-0.022445,-0.942733,73.6928
658,-0.0231646,0.692188,74.2045
659,0.0306671,0.458434,74.3875
660,-0.0411559,0.640031,74.8515
661,-0.0239639,0.419726,75.0484
662,0.00385657,-0.933951,75.9279
663,-0.0422332,-0.771379,76.4595
664,-0.0202522,-0.900981,77.2352
665,-0.0276326,0.46544,77.4783
666,-0.0245666,0.986374,78.5003
667,-0.000635707,-0.270702,78.5732
668,-0.0594295,0.494818,78.8804
669,-0.00959287,0.926285,79.7563
670,-0.00492814,-0.48126,79.9832
671,-0.0221551,-0.989526,80.919
672,-0.0240854,-0.0602469,80.9203
673,-0.0241229,0.924318,81.8198
674,-0.0255912,0.336805,81.9512
675,-0.0109461,0.0968679,81.9628
676,-0.0669942,-0.985373,82.8062
677,-0.0266117,0.913259,83.6896
678,0.0334531,0.0722099,83.6911
679,-0.0249267,-0.75692,84.2269
680,-0.0229263,0.456974,84.4572
681,-0.0312165,0.985462,85.4908
