t,predict_test,teacher
501,-0.0531755,0.977669,1.06264
502,0.101573,-0.77833,1.83687
503,-0.135443,-0.00331926,1.85433
504,-0.022493,-0.571624,2.15587
505,-0.0752632,-0.0348205,2.15751
506,-0.100791,0.38375,2.39229
507,-0.137894,-0.50502,2.52707
508,-0.0754056,0.519976,2.88155
509,0.0316523,-0.859837,3.6763
510,0.0161722,0.132115,3.68974
511,-0.0883176,-0.052924,3.691
512,-0.0592261,0.774345,4.38584
513,0.0693064,0.562689,4.62926
514,-0.0522461,-0.635738,4.96973
515,-0.0612078,0.995008,6.08532
516,0.0177944,-0.54745,6.40482
517,-0.0445216,-0.986186,7.29155
518,-0.100304,-0.259319,7.31684
519,-0.0131287,0.823939,8.01752
520,0.072088,0.138772,8.02196
521,0.0850399,-0.146317,8.07549
522,-0.118722,0.919269,9.15292
523,-0.126948,0.9995,10.4218
524,0.0783366,-0.551372,10.8183
525,0.00213625,-0.0276344,10.8192
526,-0.152037,-0.841579,11.2947
527,-0.073102,-0.980716,12.1185
528,-0.0705224,0.997818,13.2598
529,-0.0613028,-0.785792,13.7847
530,-0.0786924,0.806381,14.568
531,0.0515799,-0.0991539,14.5908
532,-0.0958272,0.69497,15.2161
533,0.0881263,0.0934084,15.2162
534,0.0737456,-0.881917,16.1294
535,-0.038568,-0.536256,16.3771
536,-0.0888409,-0.974496,17.1615
537,-0.0498772,0.987498,18.2377
538,0.0998842,-0.493894,18.5902
539,0.0798151,-0.641262,19.1102
540,-0.0888613,0.835382,19.9644
541,-0.0724848,-0.356681,20.0452
542,-0.059289,0.494675,20.3521
543,-0.115086,-0.585423,20.5733
544,-0.00934252,-0.770177,21.1521
545,0.0590114,0.00862943,21.1547
546,0.0840574,-0.979652,22.2862
547,0.0104164,0.388464,22.4291
548,0.0275926,-0.826281,23.1582
549,-0.0231464,0.997238,24.1994
550,0.0633383,-0.0574349,24.214
551,-0.100943,0.987174,25.398
552,-0.0675639,0.558079,25.7894
553,-0.0912679,-0.718126,26.1823
554,0.0374088,-0.79285,26.8717
555,-0.00956333,0.83138,27.5789
556,0.0845573,0.997424,28.4122
557,-0.115098,-0.10619,28.4123
558,-0.11869,-0.864002,28.9677
559,-0.0107511,-0.309022,29.0567
560,0.034236,0.320832,29.1388
561,0.0576153,-0.990675,30.2378
562,0.152538,0.272319,30.2521
563,-0.0915965,0.999304,31.4422
564,-0.144388,-0.191907,31.4444
565,0.1103,0.908615,32.0817
566,0.0388177,0.979345,32.9663
567,0.110159,-0.535128,33.3827
568,0.0473541,-0.356487,33.5458
569,0.088824,0.999196,34.3746
570,0.0461754,-0.996024,35.4608
571,0.0552167,0.0479207,35.4608
572,0.162016,0.221114,35.4643
573,0.0808487,-0.666923,36.0235
574,0.0619358,-0.614549,36.4811
575,-0.122722,-0.750282,36.8749
576,0.0365391,-0.92026,37.7904
577,-0.057019,-0.971122,38.626
578,0.0269872,0.273445,38.6867
579,-0.0349654,0.0973385,38.7042
580,-0.135121,0.475163,39.0767
581,0.111104,0.928499,39.7448
582,-0.008747,-0.363084,39.8704
583,-0.00304154,-0.807505,40.5175
584,-0.125127,-0.945221,41.1901
585,-0.136356,0.965595,42.4044
586,-0.0688143,-0.681549,42.7798
587,-0.0274801,0.394243,42.9577
588,0.0855078,-0.708096,43.5875
589,0.0618895,-0.445788,43.8452
590,-0.0190466,-0.387949,43.9813
591,-0.118291,-0.870775,44.5475
592,-0.0246596,0.210478,44.6028
593,-0.0238026,0.838813,45.3469
