t,predict_test,teacher
501,0.75329,0.602165,0.0228387
502,0.241107,0.670824,0.207495
503,0.615452,0.550643,0.211696
504,0.99999,0.776757,0.261529
505,0.465271,0.320502,0.282487
506,0.670759,1.08922,0.457594
507,-0.0996428,-0.564801,0.673966
508,0.414818,0.880165,0.890514
509,-0.596437,-0.254006,1.00777
510,0.84606,1.17372,1.11514
511,-0.230074,-1.00488,1.71545
512,0.332229,-0.0615716,1.87053
513,1.007,0.693229,1.96899
514,0.471448,0.308735,1.99546
515,0.825595,1.07452,2.05743
516,-0.798401,-0.523825,2.13282
517,0.927468,0.938208,2.13293
518,-0.546319,-0.389475,2.15753
519,0.879583,1.0691,2.19345
520,-0.349053,-0.716994,2.32883
521,0.498421,0.601016,2.33936
522,0.15877,0.279193,2.35386
523,1.00413,1.07118,2.35835
524,-0.372521,-0.522628,2.38089
525,0.504167,0.938957,2.56993
526,-0.46035,-0.391084,2.57473
527,0.953337,1.06756,2.58777
528,-0.471838,-0.712889,2.64588
529,0.533906,0.608773,2.65148
530,0.119697,0.267287,2.67327
531,1.00114,1.08261,2.6799
532,-0.414105,-0.560684,2.70139
533,0.461207,0.884671,2.88071
534,-0.408542,-0.263905,2.90163
535,1.07737,1.1679,2.90983
536,-0.578702,-0.988749,3.07796
537,0.319774,-0.0183049,3.19226
538,0.962842,0.702906,3.25983
539,0.480943,0.3028,3.29156
540,0.877806,1.08251,3.33347
541,-0.776927,-0.549714,3.38509
542,0.854718,0.901692,3.3873
543,-0.545096,-0.303183,3.44582
544,1.07156,1.14182,3.45076
545,-0.392671,-0.916208,3.72485
546,0.364554,0.167333,3.76374
547,0.801396,0.685937,3.77708
548,0.633455,0.391486,3.83562
549,0.993225,0.991215,3.83563
550,-0.015426,-0.258064,3.8945
551,1.06735,1.20413,3.91321
552,-0.916576,-1.10732,3.94959
553,-0.151464,-0.355367,3.99117
554,0.0785007,0.491005,4.16133
555,0.458032,0.555869,4.1709
556,0.461422,0.714715,4.23506
557,0.347685,0.451616,4.24586
558,0.683113,0.928875,4.30626
559,-0.314005,-0.0724465,4.36461
560,0.805919,1.27131,4.5812
561,-0.729379,-1.28447,4.88933
562,-0.58842,-0.928417,5.00493
563,0.180248,-0.592082,5.60142
564,0.691738,0.23069,5.81398
565,0.415226,0.747871,5.92464
566,0.412754,0.286172,5.94066
567,1.75714,1.10971,6.35983
568,-0.841618,-0.638183,6.40122
569,0.878538,0.762725,6.41463
570,-0.715961,-0.00590313,6.91881
571,1.23193,1.22877,6.91882
572,-0.457126,-1.11559,7.3524
573,0.12655,-0.373733,7.60269
574,0.151237,0.469775,7.70415
575,0.56641,0.578916,7.70431
576,1.147,0.671731,7.93019
577,0.50022,0.541963,7.93193
578,0.580143,0.790307,7.9761
579,0.0536104,0.288171,8.03112
580,0.769107,1.12083,8.15483
581,-0.262266,-0.672322,8.32298
582,0.319637,0.703427,8.47027
583,-0.513638,0.10557,8.85369
584,1.04097,1.19543,8.87754
585,-0.237516,-0.968986,9.41259
586,0.236207,0.0441194,9.44949
587,-0.0931121,0.706579,10.089
588,0.677302,0.31428,10.2208
589,0.976554,1.07369,10.2302
590,-0.592666,-0.519658,10.2355
591,0.981575,0.944045,10.237
592,-0.6264,-0.403607,10.2866
593,1.01675,1.05515,10.2881
594,-0.322488,-0.679775,10.4157
595,0.515221,0.669615,10.4396
596,0.0400511,0.16833,10.456
597,1.0208,1.16122,10.4757
598,-0.724378,-0.83729,10.4885
599,0.128506,0.366888,10.5453
600,-0.232862,0.560364,11.1745
601,1.11537,0.670456,11.3725
602,0.0723195,0.538793,11.5901
603,0.754578,0.79472,11.5917
604,0.546736,0.277426,11.6642
605,0.96353,1.13066,11.6921
606,-0.271986,-0.706536,11.881
607,0.343327,0.640329,11.9692
608,-0.497046,0.214009,12.4748
609,1.05,1.12798,12.4809
610,-0.200223,-0.717069,12.748
611,0.414523,0.618531,12.7896
612,-0.184179,0.249267,12.9775
613,1.21273,1.09857,12.9905
614,-0.542502,-0.614823,12.9957
615,0.456702,0.800361,13.1138
616,-0.345977,-0.0812563,13.1839
617,1.13481,1.23086,13.1931
618,-0.656223,-1.14542,13.4325
619,0.105087,-0.46751,13.7603
620,0.547603,0.350383,13.7992
621,0.628148,0.687871,13.8028
622,0.885637,0.442682,13.999
623,1.00036,0.932008,14.0037
624,0.0601348,-0.0832892,14.0242
625,1.446,1.26989,14.0553
626,-1.00504,-1.28266,14.1323
627,-0.493721,-0.922325,14.316
628,0.133754,-0.575755,14.8194
629,0.638529,0.259212,14.9633
630,0.42128,0.733207,15.0606
631,0.457529,0.325135,15.0781
632,1.43651,1.07196,15.211
633,-0.513418,-0.511211,15.211
634,0.923487,0.955718,15.2121
635,-0.971959,-0.43212,15.5035
636,0.837678,1.0253,15.5387
637,-0.3465,-0.601363,15.6037
638,0.564479,0.801297,15.6597
639,-0.197268,-0.0793157,15.6737
640,0.98154,1.23158,15.7362
641,-1.22727,-1.14731,15.7426
642,-0.192573,-0.473359,15.8214
643,0.752555,0.342113,15.9899
644,0.642145,0.694135,15.9926
645,0.862479,0.428081,16.1813
646,1.02557,0.951686,16.1867
647,-0.00297008,-0.139564,16.2054
648,1.42035,1.25824,16.2317
649,-1.07485,-1.25829,16.2653
650,-0.4678,-0.839146,16.4032
651,0.0726135,-0.363319,16.5933
652,0.451373,0.563456,16.6058
653,0.379095,0.446529,16.6104
654,0.894561,0.889893,16.6104
655,-0.30784,0.0252855,16.7214
656,0.223915,1.26607,17.8075
657,-1.34771,-1.23653,17.8198
658,-0.156788,-0.76079,18.1846
659,0.361696,-0.181281,18.4795
660,0.527712,0.725755,18.5187
661,0.522785,0.208207,18.6176
662,0.889452,1.15704,18.6892
663,-0.258496,-0.811763,18.9954
664,0.826252,0.424568,19.1567
665,0.816945,0.50411,19.2546
666,1.21185,0.771592,19.4484
667,-0.0853467,0.317737,19.6109
668,0.88028,1.09014,19.6549
669,-0.378985,-0.568441,19.6908
670,0.702476,0.874666,19.7205
671,-0.643985,-0.241589,19.8824
672,0.900138,1.18069,19.9611
673,-0.300697,-1.02411,20.4844
674,0.316325,-0.11412,20.6697
675,1.03047,0.674534,20.7964
676,0.452337,0.32877,20.8117
677,0.75842,1.05103,20.8973
678,-0.730479,-0.447912,20.9771
679,1.25342,1.03443,21.0251
680,-0.749708,-0.632451,21.0388
681,0.402157,0.750339,21.1601
682,-0.165832,0.0220526,21.1954
683,0.747588,1.22442,21.4227
684,-0.879888,-1.09227,21.4678
685,-0.229627,-0.302959,21.4732
686,0.100328,0.54382,21.6699
687,0.57575,0.495076,21.6764
688,1.19334,0.820006,21.8158
689,0.153779,0.207149,21.8186
690,0.91433,1.18593,21.8924
691,-1.01868,-0.906847,21.9049
692,0.298056,0.204458,21.9137
693,-0.095815,0.669422,22.4992
694,0.526148,0.433962,22.5077
695,0.445213,0.937174,22.7498
696,0.104082,-0.0994249,22.7912
697,1.14815,1.26731,22.8054
698,-0.795094,-1.27834,23.0389
699,-0.425525,-0.907627,23.2713
700,0.23246,-0.536805,23.8631
701,0.562931,0.324288,23.9201
702,0.424772,0.691731,23.9913
703,0.54827,0.427399,24.0059
704,0.788957,0.951782,24.0324
705,0.19141,-0.140024,24.1423
706,1.16009,1.25809,24.1519
707,-1.12202,-1.2579,24.1704
708,-0.501716,-0.8378,24.2833
709,0.0795035,-0.360042,24.4765
710,0.447899,0.567177,24.4907
711,0.378152,0.441621,24.4948
712,0.900498,0.897112,24.4948
713,-0.308148,0.00575217,24.5933
714,0.226984,1.26909,25.6793
715,-1.37549,-1.25309,25.6943
716,-0.195349,-0.817602,26.0815
717,0.378717,-0.31179,26.5583
718,0.6288,0.618621,26.5584
719,0.451136,0.370694,26.5649
720,0.722393,0.993207,26.6382
721,-0.265856,-0.269837,26.6382
722,0.45943,1.19603,27.1808
723,-1.31198,-1.08362,27.2329
724,-0.150434,-0.285115,27.2511
725,0.218826,0.561108,27.3682
726,0.431844,0.473687,27.37
727,0.571028,0.854201,27.4502
728,-0.0656317,0.120582,27.4848
729,1.21176,1.2359,27.4854
730,-1.17684,-1.10227,27.491
731,0.000322086,-0.330224,27.6002
732,0.250967,0.516652,27.6708
733,0.0105301,0.527232,27.9378
734,0.979252,0.765833,27.9834
735,0.556085,0.337069,28.0313
736,0.761059,1.07069,28.1272
737,-0.700733,-0.5038,28.166
738,0.66855,0.965866,28.2544
739,-0.682675,-0.457195,28.3052
740,0.609959,0.997121,28.4551
741,-0.214131,-0.52911,28.5543
742,0.595851,0.907196,28.6513
743,-0.391381,-0.31094,28.6577
744,0.862722,1.1368,28.7329
745,-1.24704,-0.902527,28.8515
746,0.278541,0.200663,28.8576
747,0.619476,0.67287,28.8605
748,0.637064,0.426344,28.9049
749,0.959393,0.947384,28.905
750,0.185369,-0.128649,29.0036
751,1.04941,1.26104,29.0484
752,-0.891947,-1.26492,29.1875
753,-0.420374,-0.861724,29.3823
754,0.201354,-0.419072,29.7672
755,0.459367,0.495613,29.7685
756,0.39989,0.530393,29.7856
757,0.789018,0.754841,29.7867
758,-0.219358,0.361419,30.124
759,0.403227,1.04358,30.5341
760,-0.36832,-0.416253,30.5364
761,0.710089,1.0705,30.6663
762,-0.823887,-0.729235,30.6752
763,0.278107,0.576653,30.7644
764,-0.13378,0.315689,30.9664
765,0.749224,1.03347,31.0472
766,-0.250304,-0.400585,31.0698
767,0.542436,1.08539,31.3646
768,-0.64386,-0.769463,31.3804
769,0.454221,0.496714,31.3822
770,-0.0401018,0.423747,31.5973
771,0.810805,0.897628,31.6049
772,0.0812231,-0.000906481,31.6116
773,0.827868,1.26929,31.8064
774,-1.11618,-1.2558,31.8259
775,-0.433554,-0.827054,31.9808
776,0.444718,-0.334366,32.5878
777,0.71892,0.595363,32.603
778,0.432872,0.403451,32.6039
779,0.696235,0.950727,32.6687
780,-0.286897,-0.1444,32.689
781,0.310658,1.25603,33.5827
782,-1.44434,-1.25196,33.6197
783,-0.322394,-0.817568,33.8649
784,0.352576,-0.311373,34.3057
785,0.381047,0.618995,34.3623
786,0.367544,0.370171,34.3623
787,0.986012,0.993861,34.3624
788,-0.27718,-0.271811,34.3624
789,0.463357,1.19472,34.8973
790,-1.31609,-1.07986,34.9531
791,-0.14549,-0.274106,34.9697
792,0.215974,0.570855,35.0956
793,0.43739,0.461542,35.0962
794,0.590078,0.873027,35.1763
795,-0.128396,0.0714155,35.2162
796,1.3089,1.25477,35.2191
797,-1.2385,-1.18279,35.2222
798,-0.155895,-0.582175,35.4039
799,0.372408,0.170663,35.4446
800,0.210439,0.784571,35.7743
801,0.776273,0.189425,36.1187
802,1.15749,1.18514,36.1194
803,-1.49602,-0.909541,36.4634
804,0.0394315,0.197371,36.4883
805,-0.0162027,0.6726,36.9628
806,0.706553,0.425863,37.0416
807,0.410539,0.947877,37.3303
808,0.071177,-0.130099,37.3708
809,1.13577,1.26067,37.3864
810,-0.811146,-1.26402,37.5915
811,-0.413818,-0.858656,37.7894
812,0.202971,-0.411414,38.1668
813,0.45438,0.505437,38.1695
814,0.397515,0.518923,38.1842
815,0.803729,0.774638,38.185
816,-0.242696,0.315587,38.4967
817,0.360189,1.09296,39.0337
818,-0.544207,-0.577705,39.0348
819,0.61836,0.860647,39.0935
820,-0.685496,-0.21031,39.3193
821,0.866183,1.19627,39.4283
822,-0.281815,-1.06658,40.0441
823,0.278203,-0.233763,40.3062
824,1.04381,0.603521,40.5001
825,0.448176,0.419938,40.5009
826,0.636376,0.934169,40.5896
827,-0.244549,-0.0957604,40.6117
828,1.5301,1.26741,40.6807
829,-1.32365,-1.2776,40.6828
830,-0.518149,-0.904933,40.8324
831,0.424529,-0.529745,41.7431
832,0.556939,0.335639,41.792
833,0.423305,0.683362,41.8597
834,0.554311,0.446915,41.8712
835,0.690273,0.925382,41.9265
836,0.290922,-0.0647914,42.053
837,1.18893,1.27174,42.0599
838,-1.04164,-1.28368,42.1184
839,-0.521254,-0.925449,42.2818
840,0.159166,-0.584144,42.8343
841,0.69382,0.244652,43.0361
842,0.409403,0.74096,43.146
843,0.411914,0.304764,43.1575
