t,predict_test,teacher
501,0.503215,0.550643,0.00224941
502,1.14356,0.776757,0.136793
503,0.011219,0.320502,0.232449
504,1.2189,1.08922,0.249267
505,-0.49806,-0.564801,0.253722
506,0.380756,0.880165,0.503131
507,0.033707,-0.254006,0.58591
508,0.113338,1.17372,1.71033
509,0.385924,-1.00488,3.64465
510,0.298649,-0.0615716,3.77441
511,0.071403,0.693229,4.16108
512,-0.00382753,0.308735,4.25878
513,1.32488,1.07452,4.32145
514,-0.333774,-0.523825,4.35757
515,1.40229,0.938208,4.57295
516,-0.0407408,-0.389475,4.69456
517,0.312521,1.0691,5.26697
518,-0.390632,-0.716994,5.37348
519,0.395927,0.601016,5.41554
520,-0.00650616,0.279193,5.49716
521,0.949114,1.07118,5.51206
522,-0.118383,-0.522628,5.67548
523,0.358749,0.938957,6.01212
524,-0.375977,-0.391084,6.01235
525,0.0836206,1.06756,6.98049
526,-0.23331,-0.712889,7.21048
527,0.0868811,0.608773,7.48286
528,-0.0619491,0.267287,7.59125
529,1.0523,1.08261,7.59217
530,-0.311841,-0.560684,7.65409
531,0.311176,0.884671,7.98299
532,-0.324217,-0.263905,7.98663
533,0.12748,1.1679,9.06909
534,-0.275935,-0.988749,9.5772
535,-0.0168373,-0.0183049,9.5772
536,-0.0662316,0.702906,10.1688
537,0.661516,0.3028,10.2974
538,1.11869,1.08251,10.2988
539,-0.336939,-0.549714,10.344
540,1.35658,0.901692,10.551
541,0.00803989,-0.303183,10.6478
542,0.496812,1.14182,11.0639
543,-0.278019,-0.916208,11.4711
544,0.190713,0.167333,11.4717
545,0.220301,0.685937,11.6885
546,0.65062,0.391486,11.7557
547,0.912292,0.991215,11.7619
548,-0.045323,-0.258064,11.8071
549,0.975632,1.20413,11.8594
550,-0.87614,-1.10732,11.9128
551,0.212169,-0.355367,12.2349
552,0.357918,0.491005,12.2526
553,0.838655,0.555869,12.3326
554,0.713909,0.714715,12.3326
555,0.504094,0.451616,12.3353
556,0.558428,0.928875,12.4726
557,0.0637258,-0.0724465,12.4911
558,0.737162,1.27131,12.7764
559,-0.532317,-1.28447,13.3422
560,-0.0329142,-0.928417,14.1441
561,0.319683,-0.592082,14.9754
562,0.445311,0.23069,15.0215
563,0.593691,0.747871,15.0452
564,0.795215,0.286172,15.3044
565,0.683781,1.10971,15.4858
566,-0.043452,-0.638183,15.8395
567,1.43208,0.762725,16.2875
568,-0.694257,-0.00590313,16.7613
569,0.514226,1.22877,17.2719
570,-0.937779,-1.11559,17.3035
571,0.624794,-0.373733,18.3006
572,-0.073156,0.469775,18.5954
573,0.531781,0.578916,18.5976
574,0.420524,0.671731,18.6607
575,0.359886,0.541963,18.6938
576,0.176852,0.790307,19.0702
577,0.514771,0.288171,19.1215
578,0.802933,1.12083,19.2226
579,-0.423561,-0.672322,19.2845
580,-0.100728,0.703427,19.9311
581,0.366235,0.10557,19.9991
582,0.0297615,1.19543,21.3578
583,0.379887,-0.968986,23.1773
584,0.434802,0.0441194,23.3299
585,0.103223,0.706579,23.694
586,0.761973,0.31428,23.8944
587,0.618612,1.07369,24.1015
588,0.0884321,-0.519658,24.4713
589,1.32697,0.944045,24.6179
590,-0.250406,-0.403607,24.6414
591,1.19161,1.05515,24.66
592,-0.231946,-0.679775,24.8605
593,0.407676,0.669615,24.9292
594,-0.0616308,0.16833,24.982
595,0.824325,1.16122,25.0955
596,-0.227775,-0.83729,25.467
597,0.180233,0.366888,25.5019
598,-0.190271,0.560364,26.0653
599,0.906992,0.670456,26.1213
600,-0.33037,0.538793,26.8767
601,0.327688,0.79472,27.0948
602,0.308894,0.277426,27.0958
603,0.8658,1.13066,27.166
604,0.494867,-0.706536,28.6094
605,0.125825,0.640329,28.8741
606,0.750677,0.214009,29.1621
607,0.300288,1.12798,29.8472
608,0.231922,-0.717069,30.7477
609,0.486393,0.618531,30.7652
610,0.258737,0.249267,30.7653
611,0.206918,1.09857,31.5603
612,0.309267,-0.614823,32.4143
613,-0.115176,0.800361,33.2525
614,0.207788,-0.0812563,33.336
615,0.649182,1.23086,33.6744
616,0.299227,-1.14542,35.7614
617,-0.11712,-0.46751,35.8842
618,0.20159,0.350383,35.9063
619,0.199874,0.687871,36.1444
620,0.11492,0.442682,36.2519
621,0.69558,0.932008,36.3078
622,0.030905,-0.0832892,36.3208
623,1.09865,1.26989,36.3501
624,-0.500103,-1.28266,36.9625
625,-0.580758,-0.922325,37.0792
626,0.00891188,-0.575755,37.421
627,0.554773,0.259212,37.5084
628,0.261228,0.733207,37.7311
629,0.73967,0.325135,37.903
630,0.733178,1.07196,38.0178
631,0.102217,-0.511211,38.3941
632,1.25348,0.955718,38.4827
633,-0.734233,-0.43212,38.574
634,0.997293,1.0253,38.5748
635,-0.598784,-0.601363,38.5748
636,0.50734,0.801297,38.6612
637,-0.0835292,-0.0793157,38.6612
638,0.833798,1.23158,38.8194
639,-0.291519,-1.14731,39.5518
640,0.0847848,-0.473359,39.8633
641,0.389488,0.342113,39.8656
642,0.38786,0.694135,39.9594
643,0.554947,0.428081,39.9755
644,0.614883,0.951686,40.0889
645,0.262075,-0.139564,40.2502
646,1.02184,1.25824,40.3061
647,-0.408808,-1.25829,41.0277
648,-0.593368,-0.839146,41.0881
649,-0.059713,-0.363319,41.1803
650,0.654371,0.563456,41.1886
651,0.149362,0.446529,41.2769
652,0.539234,0.889893,41.3999
653,-0.284656,0.0252855,41.4959
654,0.64319,1.26607,41.8839
655,-0.918711,-1.23653,41.9849
656,-0.40249,-0.76079,42.1133
657,-0.0580175,-0.181281,42.1285
658,-0.0971402,0.725755,42.8056
659,0.474546,0.208207,42.8766
660,1.2282,1.15704,42.8816
661,-0.0576566,-0.811763,43.4503
662,0.116404,0.424568,43.5453
663,0.0724974,0.50411,43.7316
664,0.520069,0.771592,43.7948
665,0.25597,0.317737,43.7986
666,0.550986,1.09014,44.0893
667,0.697975,-0.568441,45.6931
668,0.737488,0.874666,45.712
669,0.0675539,-0.241589,45.8075
670,0.895597,1.18069,45.8888
671,-0.331471,-1.02411,46.3686
672,0.594919,-0.11412,46.8713
673,-0.275952,0.674534,47.7747
674,0.08834,0.32877,47.8325
675,1.4283,1.05103,47.9749
676,-0.151701,-0.447912,48.0626
677,1.47816,1.03443,48.2595
678,-0.338502,-0.632451,48.3459
679,0.770202,0.750339,48.3463
680,0.16246,0.0220526,48.366
681,0.596339,1.22442,48.7605
682,0.0960848,-1.09227,50.1727
683,-0.1796,-0.302959,50.1879
684,0.502161,0.54382,50.1896
685,0.86535,0.495076,50.3267
686,0.669858,0.820006,50.3493
687,-0.0770835,0.207149,50.4301
688,0.230085,1.18593,51.3437
689,-0.299657,-0.906847,51.7124
690,0.00964052,0.204458,51.7503
691,0.207565,0.669422,51.9637
692,0.64166,0.433962,52.0068
693,0.400344,0.937174,52.295
694,0.319972,-0.0994249,52.4709
695,1.32103,1.26731,52.4738
696,-1.84167,-1.27834,52.7911
697,-0.653239,-0.907627,52.8558
698,0.087686,-0.536805,53.2458
699,0.651075,0.324288,53.3526
700,0.35298,0.691731,53.4673
701,0.585652,0.427399,53.4924
702,0.485666,0.951782,53.7096
703,0.424855,-0.140024,54.0287
704,0.747518,1.25809,54.2894
705,-0.899704,-1.2579,54.4177
706,-0.637858,-0.8378,54.4577
707,0.209043,-0.360042,54.7815
708,0.759898,0.567177,54.8187
709,0.380233,0.441621,54.8225
710,0.540044,0.897112,54.95
711,-0.29067,0.00575217,55.0378
712,0.678486,1.26909,55.3866
713,-0.930864,-1.25309,55.4905
714,-0.30849,-0.817602,55.7497
715,-0.00768121,-0.31179,55.8421
716,-0.127969,0.618621,56.3995
717,0.497974,0.370694,56.4157
718,1.00516,0.993207,56.4159
719,0.135456,-0.269837,56.5801
720,0.375523,1.19603,57.2534
721,-0.527432,-1.08362,57.5627
722,0.828894,-0.285115,58.8037
723,0.265924,0.561108,58.8909
724,0.611286,0.473687,58.9098
725,-0.239464,0.854201,60.1059
726,0.140948,0.120582,60.1063
727,0.752048,1.2359,60.3404
728,-0.244352,-1.10227,61.0765
729,-0.102735,-0.330224,61.1282
730,0.426968,0.516652,61.1362
731,0.465159,0.527232,61.1401
732,0.556668,0.765833,61.1838
733,-0.0452182,0.337069,61.33
734,0.728139,1.07069,61.4473
735,-0.249641,-0.5038,61.5119
736,0.841678,0.965866,61.5274
737,-0.341889,-0.457195,61.5406
738,0.568792,0.997121,61.7241
739,0.324344,-0.52911,62.4525
740,0.165702,0.907196,63.0023
741,0.396976,-0.31094,63.5035
742,0.59341,1.1368,63.7987
743,-0.272082,-0.902527,64.1962
744,0.344704,0.200663,64.2169
745,0.390769,0.67287,64.2965
746,0.769395,0.426344,64.4142
747,0.741876,0.947384,64.4564
748,0.0345157,-0.128649,64.4831
749,0.769165,1.26104,64.725
750,-1.06762,-1.26492,64.7639
751,-0.39625,-0.861724,64.9806
752,0.435485,-0.419072,65.7109
753,0.65654,0.495613,65.7368
754,0.590028,0.530393,65.7403
755,0.485426,0.754841,65.8129
756,-0.0803618,0.361419,66.0081
757,0.738313,1.04358,66.1013
758,-0.6757,-0.416253,66.1686
759,-0.248276,1.0705,67.9077
760,-0.567032,-0.729235,67.9341
761,0.239512,0.576653,68.0477
762,0.541548,0.315689,68.0987
763,0.2753,1.03347,68.6736
764,0.410811,-0.400585,69.3319
765,0.403858,1.08539,69.7964
766,-0.38554,-0.769463,69.9438
767,0.0241174,0.496714,70.1671
768,-0.194257,0.423747,70.5491
769,0.621298,0.897628,70.6254
770,-0.0518606,-0.000906481,70.628
771,0.548958,1.26929,71.1469
772,-0.506034,-1.2558,71.709
773,0.179902,-0.827054,72.723
774,-0.0991966,-0.334366,72.7783
775,0.800303,0.595363,72.8203
776,0.85626,0.403451,73.0253
777,1.00445,0.950727,73.0282
778,-0.081285,-0.1444,73.0322
779,0.310335,1.25603,73.9266
780,-0.505955,-1.25196,74.4831
781,0.321467,-0.817568,75.7805
782,0.389512,-0.311373,76.2717
783,0.116613,0.618995,76.5241
784,0.324182,0.370171,76.5262
785,0.593952,0.993861,76.6862
786,-0.394939,-0.271811,76.7013
787,0.687243,1.19472,76.9588
788,-0.886906,-1.07986,76.9961
789,1.01771,-0.274106,78.6649
790,0.0506852,0.570855,78.9354
791,0.519509,0.461542,78.9388
792,-0.24117,0.873027,80.1802
793,0.101837,0.0714155,80.1812
794,0.792881,1.25477,80.3945
795,-0.27271,-1.18279,81.2227
796,-0.225741,-0.582175,81.3498
797,0.493498,0.170663,81.454
798,0.382434,0.784571,81.6157
799,0.60836,0.189425,81.7912
800,1.12546,1.18514,81.7948
801,0.00838565,-0.909541,82.6374
802,0.0887149,0.197371,82.6492
803,-0.19736,0.6726,83.406
804,0.219735,0.425863,83.4485
805,0.734487,0.947877,83.494
806,0.323466,-0.130099,83.6998
807,0.838673,1.26067,83.8778
808,-1.68974,-1.26402,84.0591
809,-0.58222,-0.858656,84.1355
810,0.116352,-0.411414,84.414
811,0.724585,0.505437,84.4621
812,0.393843,0.518923,84.4777
813,0.448997,0.774638,84.5837
814,-0.092843,0.315587,84.7506
815,0.735182,1.09296,84.8786
816,-0.732298,-0.577705,84.9025
817,-0.453839,0.860647,86.6303
818,-0.653761,-0.21031,86.827
819,0.326835,1.19627,87.5829
820,0.465284,-1.06658,89.9295
821,0.198354,-0.233763,90.1163
822,0.237041,0.603521,90.2506
823,-0.230287,0.419938,90.6734
824,1.35812,0.934169,90.8531
825,0.439813,-0.0957604,91.1399
826,1.33824,1.26741,91.1449
827,-0.881205,-1.2776,91.3021
828,-0.92269,-0.904933,91.3024
829,0.39071,-0.529745,92.1496
830,0.344471,0.335639,92.1497
831,0.601395,0.683362,92.1564
832,0.923131,0.446915,92.3832
833,0.427774,0.925382,92.6308
834,0.451114,-0.0647914,92.897
835,0.683314,1.27174,93.2432
836,-0.817,-1.28368,93.461
837,-0.876898,-0.925449,93.4634
838,0.22906,-0.584144,94.1247
839,0.573091,0.244652,94.2325
840,0.507965,0.74096,94.2868
841,0.691811,0.304764,94.4366
842,0.902474,1.09225,94.4726
843,-0.028827,-0.578798,94.7751
844,1.44061,0.858666,95.1138
845,-0.710983,-0.205869,95.3689
846,0.829148,1.19826,95.5052
847,-0.792381,-1.07193,95.5833
848,0.497516,-0.249181,96.1409
849,-0.153654,0.591492,96.6961
850,0.064551,0.435438,96.8337
851,1.27944,0.911999,96.9687
852,0.569021,-0.0338066,97.3321
853,1.26662,1.272,97.3321
854,-0.836339,-1.27532,97.5248
855,-0.885917,-0.89541,97.5249
856,0.521339,-0.505059,98.5784
857,0.277096,0.374258,98.5878
858,0.633336,0.652385,98.5882
859,0.807154,0.516429,98.6727
860,0.640944,0.822338,98.7056
861,0.210698,0.208193,98.7056
862,0.763178,1.18602,98.8844
863,-0.335541,-0.90684,99.2108
864,-0.479158,0.204504,99.6782
865,0.162736,0.669397,99.9349
866,0.131658,0.434021,100.026
867,0.516359,0.937095,100.203
868,0.400131,-0.0991999,100.453
869,1.24592,1.26735,100.453
870,-1.89674,-1.27841,100.835
871,-0.635942,-0.907868,100.909
872,0.0819513,-0.537437,101.293
873,0.641839,0.323265,101.395
874,0.351903,0.692468,101.511
875,0.586151,0.425662,101.536
876,0.489919,0.954077,101.752
877,0.421416,-0.146668,102.074
878,0.75595,1.25611,102.325
879,-0.905073,-1.25293,102.446
880,-0.60839,-0.820923,102.491
881,0.205794,-0.319357,102.767
882,0.775458,0.610939,102.794
883,0.368391,0.381649,102.794
884,0.534653,0.979364,102.992
885,-0.368555,-0.22832,103.011
886,0.625793,1.22083,103.365
887,-0.926911,-1.15508,103.417
888,0.900578,-0.501654,105.384
889,0.118728,0.301156,105.417
890,0.335827,0.722531,105.566
891,-0.0303359,0.359475,105.718
892,0.837535,1.03585,105.758
893,0.00806908,-0.39433,105.92
894,0.303326,1.09306,106.543
895,0.835892,-0.790991,109.19
896,0.175878,0.451985,109.266
897,-0.363888,0.476696,109.973
898,0.419955,0.81746,110.131
899,0.0475734,0.207471,110.156
900,0.667704,1.18498,110.424
901,-0.393476,-0.903595,110.684
902,0.434072,0.212416,110.733
903,-0.0393125,0.665753,111.231
904,1.35449,0.443207,112.061
905,-0.268187,0.924721,113.484
906,0.550871,-0.0641895,113.862
907,0.919802,1.27165,113.986
908,-1.78638,-1.28318,114.239
909,-0.722219,-0.923678,114.28
910,0.0165421,-0.579406,114.635
911,0.595058,0.2529,114.752
912,0.33575,0.736636,114.913
913,0.544444,0.316184,114.965
914,0.932137,1.08103,114.987
915,0.0124424,-0.541219,115.294
916,1.39021,0.914224,115.52
917,-0.735946,-0.332494,115.683
918,0.956769,1.11949,115.709
919,-0.67842,-0.854322,115.74
920,0.48318,0.314035,115.769
921,-0.131058,0.605638,116.312
922,0.840827,0.580694,116.379
923,0.503516,0.709603,116.422
924,0.383214,0.469257,116.429
925,0.482864,0.904598,116.607
926,0.123364,-0.00483996,116.624
927,0.830167,1.27135,116.818
928,-0.373071,-1.2643,117.612
929,-0.128552,-0.856444,118.142
930,0.167841,-0.406185,118.472
931,0.528312,0.512086,118.472
932,0.672074,0.51102,118.498
933,0.777136,0.788028,118.498
934,0.129443,0.283923,118.522
935,0.346272,1.12355,119.126
936,-0.294777,-0.682138,119.276
937,-0.753412,0.685629,121.347
938,-0.513965,0.137238,121.771
939,0.465793,1.17932,122.28
940,0.412211,-0.905945,124.018
941,0.414453,0.204765,124.062
942,0.367478,0.669516,124.153
943,0.859328,0.433876,124.334
944,0.431924,0.937307,124.589
