t,predict_test,teacher
501,0.381822,0.550643,0.0285006
502,0.578854,0.776757,0.0676662
503,-0.0317612,0.320502,0.191755
504,0.437164,1.08922,0.616928
505,-0.0478171,-0.564801,0.884201
506,0.0811366,0.880165,1.52265
507,-0.206467,-0.254006,1.52491
508,0.187633,1.17372,2.49728
509,0.312457,-1.00488,4.23265
510,0.394574,-0.0615716,4.44072
511,0.0473106,0.693229,4.85793
512,0.428866,0.308735,4.87236
513,1.21376,1.07452,4.89174
514,0.362096,-0.523825,5.6766
515,1.10404,0.938208,5.7041
516,-0.498866,-0.389475,5.71607
517,0.752912,1.0691,5.81604
518,-0.423747,-0.716994,5.90203
519,0.480862,0.601016,5.91647
520,0.0494608,0.279193,5.96925
521,0.614552,1.07118,6.17775
522,-0.0469633,-0.522628,6.40401
523,0.373167,0.938957,6.72413
524,-0.195799,-0.391084,6.76226
525,-0.00817332,1.06756,7.91947
526,-0.39834,-0.712889,8.01841
527,0.542418,0.608773,8.02281
528,-0.0726032,0.267287,8.13834
529,0.690678,1.08261,8.29195
530,-0.0628391,-0.560684,8.5398
531,0.385805,0.884671,8.78867
532,-0.165147,-0.263905,8.79842
533,0.0231552,1.1679,10.1089
534,-0.352344,-0.988749,10.5139
535,0.588999,-0.0183049,10.8827
536,-0.247953,0.702906,11.7868
537,0.449294,0.3028,11.8083
538,1.19755,1.08251,11.8215
539,0.409761,-0.549714,12.7421
540,1.25997,0.901692,12.8705
541,-0.333345,-0.303183,12.8714
542,0.934986,1.14182,12.9142
543,-0.718604,-0.916208,12.9532
544,0.538491,0.167333,13.091
545,0.0506781,0.685937,13.4945
546,0.479806,0.391486,13.5023
547,0.843973,0.991215,13.524
548,0.347341,-0.258064,13.8905
549,1.23502,1.20413,13.8915
550,-0.931106,-1.10732,13.9225
551,-0.478465,-0.355367,13.9377
552,0.37413,0.491005,13.9513
553,0.754982,0.555869,13.991
554,0.596558,0.714715,14.0049
555,0.287152,0.451616,14.032
556,0.272815,0.928875,14.4624
557,-0.0193484,-0.0724465,14.4652
558,0.833597,1.27131,14.6568
559,-0.576106,-1.28447,15.1586
560,0.381608,-0.928417,16.8748
561,-0.0825427,-0.592082,17.1344
562,0.581131,0.23069,17.2572
563,0.706915,0.747871,17.2589
564,0.439188,0.286172,17.2823
565,0.45797,1.10971,17.7071
566,-1.03824,-0.638183,17.8671
567,1.41102,0.762725,18.2874
568,-0.144191,-0.00590313,18.3065
569,1.46661,1.22877,18.3631
570,-0.040524,-1.11559,19.5188
571,0.647285,-0.373733,20.5613
572,-0.0414065,0.469775,20.8226
573,0.755543,0.578916,20.8538
574,0.299311,0.671731,20.9925
575,0.285011,0.541963,21.0586
576,0.765608,0.790307,21.0592
577,0.380583,0.288171,21.0677
578,0.410626,1.12083,21.5721
579,-0.438345,-0.672322,21.6268
580,0.232716,0.703427,21.8484
581,-0.279861,0.10557,21.997
582,0.335475,1.19543,22.7365
583,0.43648,-0.968986,24.7118
584,0.495542,0.0441194,24.9156
585,0.100468,0.706579,25.283
586,0.644621,0.31428,25.3921
587,0.400807,1.07369,25.8449
588,-0.107001,-0.519658,26.0152
589,0.802722,0.944045,26.0351
590,-0.496235,-0.403607,26.0437
591,1.16231,1.05515,26.0552
592,-0.57391,-0.679775,26.0664
593,0.598966,0.669615,26.0714
594,0.0918228,0.16833,26.0772
595,0.616082,1.16122,26.3744
596,-0.130989,-0.83729,26.8733
597,0.522881,0.366888,26.8976
598,0.0618124,0.560364,27.1462
599,0.314142,0.670456,27.2731
600,0.161783,0.538793,27.4153
601,-0.358577,0.79472,28.7454
602,0.401294,0.277426,28.7607
603,0.258574,1.13066,29.5212
604,0.383017,-0.706536,30.7084
605,0.437464,0.640329,30.7495
606,-0.197286,0.214009,30.9187
607,0.429709,1.12798,31.4063
608,0.363319,-0.717069,32.5735
609,0.547746,0.618531,32.5785
610,0.116918,0.249267,32.596
611,0.396385,1.09857,33.0891
612,0.103617,-0.614823,33.6052
613,0.487008,0.800361,33.7034
614,-0.368787,-0.0812563,33.7861
615,0.202716,1.23086,34.8432
616,-0.0234393,-1.14542,36.102
617,0.729412,-0.46751,37.5347
618,-0.419151,0.350383,38.1268
619,0.550111,0.687871,38.1458
620,0.538801,0.442682,38.1551
621,0.95012,0.932008,38.1554
622,0.648739,-0.0832892,38.6913
623,0.751455,1.26989,38.96
624,-0.916576,-1.28266,39.094
625,-0.354107,-0.922325,39.4169
626,-0.141887,-0.575755,39.6052
627,0.658759,0.259212,39.7648
628,0.79923,0.733207,39.7692
629,0.286084,0.325135,39.7707
630,0.405925,1.07196,40.2143
631,-0.660116,-0.511211,40.2365
632,1.27812,0.955718,40.3404
633,-0.407085,-0.43212,40.341
634,1.00067,1.0253,40.3416
635,0.0539844,-0.601363,40.7711
636,0.671157,0.801297,40.7881
637,-0.051768,-0.0793157,40.7888
638,0.655738,1.23158,41.1204
639,-0.19749,-1.14731,42.0226
640,0.72912,-0.473359,43.4685
641,0.191708,0.342113,43.4911
642,0.652551,0.694135,43.4929
643,0.657219,0.428081,43.5454
644,0.801666,0.951686,43.5679
645,0.586275,-0.139564,44.0947
646,0.760728,1.25824,44.3422
647,-0.918243,-1.25829,44.4579
648,-0.365925,-0.839146,44.6818
649,-0.085219,-0.363319,44.7591
650,0.684914,0.563456,44.7739
651,0.6889,0.446529,44.8326
652,1.17012,0.889893,44.9112
653,-0.0330838,0.0252855,44.9146
654,0.76459,1.26607,45.1661
655,-0.441333,-1.23653,45.7984
656,0.0543244,-0.76079,46.4628
657,0.10545,-0.181281,46.545
658,0.256847,0.725755,46.7649
659,0.231543,0.208207,46.7654
660,1.14969,1.15704,46.7655
661,0.163093,-0.811763,47.7158
662,0.38408,0.424568,47.7175
663,-0.0144727,0.50411,47.9864
664,0.506735,0.771592,48.0566
665,0.037284,0.317737,48.1352
666,0.124759,1.09014,49.0672
667,0.270319,-0.568441,49.7707
668,0.534929,0.874666,49.8861
669,0.176922,-0.241589,50.0613
670,0.530096,1.18069,50.4845
671,0.232863,-1.02411,52.0645
672,0.470769,-0.11412,52.4066
673,-0.126433,0.674534,53.0482
674,0.448809,0.32877,53.0626
675,1.27101,1.05103,53.1109
676,0.281557,-0.447912,53.6431
677,0.871058,1.03443,53.6698
678,-0.879726,-0.632451,53.7309
679,0.772729,0.750339,53.7314
680,0.505685,0.0220526,53.9653
681,0.489219,1.22442,54.5058
682,0.136657,-1.09227,56.0161
683,0.15018,-0.302959,56.2214
684,0.441753,0.54382,56.2319
685,0.560272,0.495076,56.2361
686,0.646169,0.820006,56.2663
687,0.0159026,0.207149,56.3029
688,0.648643,1.18593,56.5916
689,-0.347906,-0.906847,56.904
690,-0.163075,0.204458,57.0391
691,-0.251363,0.669422,57.8869
692,0.509715,0.433962,57.8927
693,0.916465,0.937174,57.8931
694,0.150849,-0.0994249,57.9557
695,1.00688,1.26731,58.0235
696,-1.05415,-1.27834,58.0738
697,-0.81426,-0.907627,58.0825
698,-0.0655194,-0.536805,58.3046
699,0.582436,0.324288,58.3713
700,1.03181,0.691731,58.4869
701,0.190632,0.427399,58.543
702,0.310874,0.951782,58.9537
703,0.0128496,-0.140024,58.9771
704,0.937488,1.25809,59.0799
705,-1.17684,-1.2579,59.0865
706,-0.325161,-0.8378,59.3493
707,-0.071761,-0.360042,59.4324
708,0.617347,0.567177,59.4349
709,0.796685,0.441621,59.561
710,1.17606,0.897112,59.6388
711,-0.0356037,0.00575217,59.6405
712,0.759073,1.26909,59.9006
713,-0.450356,-1.25309,60.545
714,0.0519407,-0.817602,61.3011
715,0.109056,-0.31179,61.4782
716,0.280577,0.618621,61.5925
717,0.303226,0.370694,61.597
718,1.08647,0.993207,61.6057
719,0.293402,-0.269837,61.923
720,0.807149,1.19603,62.0742
721,-0.509974,-1.08362,62.4033
722,0.272999,-0.285115,62.7147
723,0.129066,0.561108,62.9014
724,0.978513,0.473687,63.1563
725,0.203234,0.854201,63.58
726,0.477753,0.120582,63.7076
727,0.714082,1.2359,63.9799
728,-0.78996,-1.10227,64.0774
729,-0.393377,-0.330224,64.0814
730,-0.154735,0.516652,64.5322
731,0.260015,0.527232,64.6036
732,0.477497,0.765833,64.6867
733,0.394863,0.337069,64.6901
734,0.515299,1.07069,64.9985
735,-0.120897,-0.5038,65.1451
736,0.453896,0.965866,65.4072
737,-0.5007,-0.457195,65.4091
738,0.673585,0.997121,65.5138
739,0.55141,-0.52911,66.6813
740,0.532757,0.907196,66.8215
741,0.0922264,-0.31094,66.9841
742,0.680009,1.1368,67.1927
743,-0.196494,-0.902527,67.6912
744,0.720581,0.200663,67.9615
745,0.00210458,0.67287,68.4115
746,0.758084,0.426344,68.5215
747,0.261695,0.947384,68.9917
748,0.16603,-0.128649,69.0785
749,1.00531,1.26104,69.1439
750,-0.891999,-1.26492,69.283
751,-0.563311,-0.861724,69.372
752,0.117121,-0.419072,69.6595
753,0.622433,0.495613,69.6756
754,0.985016,0.530393,69.8823
755,0.71852,0.754841,69.8836
756,0.0832954,0.361419,69.961
757,0.766025,1.04358,70.038
758,-0.126369,-0.416253,70.122
759,0.913626,1.0705,70.1467
760,-0.152114,-0.729235,70.4797
761,0.184384,0.576653,70.6336
762,0.116919,0.315689,70.6731
763,0.549822,1.03347,70.907
764,0.223634,-0.400585,71.2967
765,-0.104209,1.08539,72.7118
